"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Blood Progenitor","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6424],[1],[221],"Merveil, the Returned",[100],[191],"Nassar, Lion of the Seas",[2588],[-50],"Soul of the Brine King",[30],1164,1389,1390,1391,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[541],[-10],[5832],"Spinner of False Hope",[20],[6330],"Queen of the Great Tangle",[6088],[40],"Soul of Arakaali",[20],1294,1392,1393,1394,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Lord of the Ashen Arrow","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6153,6154]","[6,20]",[6155],"Megaera",[1],[6156],"Jorus, Sky's Edge",[6159],[50],"Soul of Solaris",[-8],1426,1395,1396,1397,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6160,6161]","[1,1]",[6162],"Captain Clayborne, The Accursed",[-6],[15324],"It That Fell",[6164],[100],"Soul of Lunaris",[10],1426,1398,1399,1400,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14676],[-60],"[6908,5833]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1200,1402,71,71,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5842],[1],[6145],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1386,1405,71,71,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tunneltrap","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10911,14677]","[-50,50]",[1276],"",[],[],"",[],[],"Soul of Yugul",[-30],1438,1406,71,71,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Preethi, Eye-Pecker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11804,11805]","[-50,3]","[3419,6512]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1629,1407,71,71,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5835],[3],[11762],"",[],[],"",[],[],"Soul of Tukohama",[120],1175,1401,71,71,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6152,3380]","[-25,1]",[14320],"",[],[],"",[],[],"Soul of Ralakesh",[1],1273,1404,71,71,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3585],[-60],"[2399,5846]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1566,1408,71,71,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5838,5839]","[3,60]",[15856],"",[],[],"",[],[],"Soul of Ryslatha",[-50],1193,1403,71,71,"",[]
