"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,10713,9510,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,10714,9511,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,10715,9512,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,10716,9513,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,10717,9514,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,10718,9515,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,10719,9516,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,10720,9517,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,10721,9518,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,10722,9519,"Reforms after being killed",2
10,10723,9520,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,10724,9521,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,10725,9599,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,10726,9600,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,10727,9601,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby allies have +10 Fortification",5
15,10728,9609,"Cyclones\r\nLacerates\r\nRains down blades",2
16,10729,9610,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect",2
17,10730,9611,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect\r\nImpales of nearby allies last one additional hit",2
18,10731,9540,"Throws Physical Projectiles",1
19,10732,9541,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,10733,9542,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,10734,9522,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,10735,9523,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,10736,9524,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,10737,9549,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,10738,9550,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,10739,9551,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,10740,9534,"Cyclones\r\nCleaves",1
28,10741,9535,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,10742,9536,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,10743,9578,"",3
31,10744,9579,"",3
32,10745,9580,"",3
33,10746,9531,"Vomits Blood\r\nApplies Corrupting Blood",1
34,10747,9532,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
