"rownum","Id","Tag","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire",515,9018,10229,10685
1,"cold","Cold",516,9019,10230,10686
2,"lightning","Lightning",517,9020,10231,10687
3,"chaos","Chaos",518,9021,10232,10688
4,"spell","Spell",520,"","",""
5,"projectile","Projectile",519,9029,"",""
6,"bow","Bow",522,9023,"",""
7,"melee","Melee",521,9022,"",""
8,"minion","Minion",523,9017,"",""
9,"strength","",754,9025,"",10690
10,"dexterity","",755,9026,"",10691
11,"intelligence","",756,9027,"",10692
12,"aura","Aura",1059,9024,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7897,9028,"",""
15,"duration","Duration",7896,"","",""
16,"support","Support",2216,2429,"",""
17,"curse","Curse",2021,"","",17339
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10694
20,"trap","Trap",7988,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1256,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2137,"","",10693
25,"grants_active_skill","","","","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3162,"","",""
28,"golem","Golem",3166,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6134,"","",""
32,"brand","Brand","","","",""
33,"physical","Physical","","",10233,10689
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13063,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
45,"random_element","Prismatic","","","",""
46,"arcane","Arcane","","","",""
47,"critical","Critical","","","",""
48,"exceptional","Exceptional","","","",""
49,"link","Link","","","",17766
50,"blessing","Blessing","","","",""
51,"awakened","","","","",""
