"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool_48","bool_49","i32_50","i32_54","i32_58","i32_62","bool_66","bool_67","[rid]_68","[rid]_84","i32_100","bool_104","bool_105","i32_106"
0,6884,1957,1959,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,6883,2197,2197,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,7207,2628,2628,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,7208,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,7209,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,5182,1089,1089,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,8009,3483,3483,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,8226,3753,3753,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,8227,3753,3753,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,8230,3753,3753,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,8231,3753,3753,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8587,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8588,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8589,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8591,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8592,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8593,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8594,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8595,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8596,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8598,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8600,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8601,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,9155,4419,4419,1,1,0,1,5,60,"","",[],[],0,"","",0
24,9464,4419,4419,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,9465,4419,4419,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,9466,4419,4419,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,8010,3483,3483,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8590,4419,4419,1,1,60,1,20,120,"",1,[],[],0,"","",0
29,8853,1957,1959,1,1,60,1,25,120,1,1,[],[],60,1,"",180
