"rownum","rid","i32","Status","Stat","StatValue"
0,0,0,"Idling","",0
1,1,0,"Mining Crimson Iron",20419,1
2,1,1,"Mining Orichalcum",20419,2
3,1,2,"Mining Petrified Amber",20419,3
4,1,3,"Mining Bismuth",20419,4
5,1,4,"Mining Verisium",20419,5
6,2,0,"Smelting Crimson Iron",20421,1
7,2,1,"Smelting Orichalcum",20421,2
8,2,2,"Smelting Petrified Amber",20421,3
9,2,3,"Smelting Bismuth",20421,4
10,2,4,"Smelting Verisium",20421,5
11,3,0,"",20424,1
12,3,1,"",20424,2
13,3,2,"",20424,3
14,3,3,"",20424,4
15,3,4,"",20424,5
16,3,5,"",20424,6
17,4,0,"Disenchanting","",0
18,5,0,"Mapping",20430,1
19,5,1,"Mapping",20430,2
20,5,2,"Mapping",20430,3
21,6,0,"",20427,1
22,6,1,"",20427,2
23,6,2,"",20427,3
24,7,0,"Fishing","",0
25,8,0,"Missing","",0
26,8,1,"Missing","",0
27,8,2,"Missing","",0
28,9,0,"Slain in the Atlas","",0
29,9,1,"Slain in the Atlas","",0
30,9,2,"Slain in the Atlas","",0
