"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32","DivCards"
0,1143,8345,"",381,2047,"[35,103,32,1]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","","",7,9,11,12,"[2965,2993,3102,3326]"
1,1144,9546,"",381,2048,[0],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","","",7,9,11,12,"[2951,2981,3075,3318]"
2,1155,8334,"",390,2059,"[39,90,3]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,"",3,5,7,9,"[2940,2968,3220,3327]"
3,1156,9722,"",390,2060,[2],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","","",3,5,7,9,"[2959,2985,3070,3239]"
4,1145,8342,"",382,2049,"[48,109,97,34,16,5]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","","",6,8,10,12,"[3014,3197,3294,3349]"
5,1146,12552,"",382,2050,[4],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","","",6,8,10,12,"[2946,3284,3331,3339]"
6,1200,8350,"",426,2102,"[58,32,7]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","","",9,11,12,13,"[3000,3096,3106,3111]"
7,1201,9565,"",426,2103,[6],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","","",9,11,12,13,"[2962,2968,3000,3099]"
8,1153,8314,"",389,2057,"[113,80,94,9]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","","",4,6,8,10,"[3178,3230,3232,3255]"
9,1154,12793,"",389,2058,[8],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","","",4,6,8,10,"[2985,3011,3052,3233]"
10,1177,8428,"",406,2080,"[108,69,11]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","","",6,8,10,12,"[3071,3149,3170,3227]"
11,1178,12791,"",406,2081,[10],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","","",6,8,10,12,"[2945,3012,3071,3120]"
12,1188,8351,"",415,2091,"[100,40,13]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","","",13,14,15,16,"[2932,3043,3063,3346]"
13,1189,12551,"",415,2092,[12],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","","",13,14,15,16,"[2984,3044,3127,3273]"
14,1224,8376,"",446,2125,"[63,56,79,77,15]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","","",13,14,15,16,"[2974,2982,3100,3298]"
15,1225,9876,"",446,2126,[14],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","","",13,14,15,16,"[2948,3064,3072,3100]"
16,1217,8354,"",441,2118,"[39,72,17,4]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","","",5,7,9,11,"[3022,3072,3181,3264]"
17,1218,9608,"",441,2119,[16],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","","",5,7,9,11,"[3017,3201,3252,4875]"
18,1172,8347,"",403,2076,"[83,71,68,75,19]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","","",8,10,12,13,"[2936,2953,3087,3344]"
19,1173,9658,"",403,2077,[18],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","","",8,10,12,13,"[3087,3168,3186,3246]"
20,1115,8328,"",350,2019,"[52,66,103,21]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","","",5,7,9,11,"[3061,3075,3301,4875]"
21,1116,10043,"",350,2020,[20],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","","",5,7,9,11,"[2928,2954,2993,2997]"
22,1185,8357,"",413,2088,"[86,102,67,38,23]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","","",15,16,16,16,"[2945,3012,3040,3155]"
23,1186,9641,"",413,2089,[22],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","","",15,16,16,16,"[2937,3015,3136,3171]"
24,1147,8371,"",383,2051,"[63,61,59,43,25]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","","",12,13,14,15,"[2981,2997,3132,3352]"
25,1223,9662,"",383,2124,[24],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","","",12,13,14,15,"[2962,3014,3106,3111]"
26,1157,8364,"",391,2061,"[95,49,27]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","","",16,16,16,16,"[3051,3094,3115,3349]"
27,1158,12165,"",391,2062,[26],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","","",16,16,16,16,"[3004,3046,3053,3083]"
28,1165,8304,"",398,2069,"[113,33,96,94,29]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","","",6,8,10,12,"[2971,3050,3109,3167]"
29,1166,8452,"",398,2070,[28],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","","",6,8,10,12,"[2943,2952,2975,2978]"
30,1169,8360,"",401,2073,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","","",7,9,11,12,"[2955,3066,3200,3238]"
31,1127,8391,"",366,2031,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","","",15,16,16,16,"[2992,3026,3134,3205]"
32,1203,8355,"",428,2105,"[84,0,6]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","","",8,10,12,13,"[2967,3027,3029,3265]"
33,1216,8416,"",440,2117,"[88,65,89,28]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","","",7,9,11,12,"[2972,3095,3169,4620]"
34,1136,8429,"",374,2040,"[50,42,4]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","","",7,9,11,12,"[2947,2952,2996,3049]"
35,1236,8399,"",457,2137,"[84,114,97,30,0]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","","",8,10,12,13,"[2960,3056,3135,3164]"
36,1205,8382,"",429,2107,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","","",4,6,8,10,"[2953,3073,3097,3340]"
37,1191,8427,"",417,2094,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,"",3,5,7,9,"[2988,3193,3272,3330]"
38,1139,8305,"",377,2043,"[70,99,105,22]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","","",16,16,16,16,"[3063,3147,3158,3182]"
39,1243,8417,"",464,2144,"[37,48,2,16]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","","",4,6,8,10,"[2930,2963,3179,3280]"
40,1108,8362,"",343,2012,"[51,104,101,12]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","","",12,13,14,15,"[2925,2957,3357,4621]"
41,1126,8422,"",365,2030,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","","",11,12,13,14,"[3084,3161,3284,3318]"
42,1215,8421,"",439,2116,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","","",8,10,12,13,"[2948,3114,3190,3329]"
43,1133,8319,"",371,2037,"[106,55,57,24]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","","",11,12,13,14,"[3064,3069,3220,4619]"
44,1163,8434,"",396,2067,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","","",13,14,15,16,"[2958,3243,3286,3288]"
45,1167,8323,"",399,2071,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","","",13,14,15,16,"[2956,3189,3292,3310]"
46,1213,8316,"",437,2115,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","","",16,16,16,16,"[2931,2983,3124,3250]"
47,1152,8326,"",388,2056,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","","",10,12,13,14,"[2944,3029,3031,3110]"
48,1101,8302,"",336,2005,"[39,50,90,4]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","","",5,7,9,11,"[2998,2999,3113,3132]"
49,1202,8352,"",427,2104,"[46,26]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","","",16,16,16,16,"[3091,3150,3165,3268]"
50,1212,8315,"",436,2114,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","","",6,8,10,12,"[2947,2996,3049,4740]"
51,1125,8430,"",364,2029,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","","",12,13,14,15,"[2984,3003,3130,3198]"
52,1110,8335,"",345,2014,"[109,97,30,20]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","","",6,8,10,12,"[2946,3128,3140,3283]"
53,1174,8348,"",404,2078,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","","",4,6,8,10,"[3004,3185,3275,3304]"
54,1242,8394,"",463,2143,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","","",11,12,13,14,"[3055,3176,3251,3306]"
55,1230,8361,"",451,2131,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","","",12,13,14,15,"[2942,3044,3300,3315]"
56,1199,8346,"",425,2101,"[55,14]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","","",12,13,14,15,"[2944,2966,3070,3217]"
57,1112,8436,"",347,2016,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","","",10,12,13,14,"[2934,3007,3146,3330]"
