"rownum","Id","i32_8","i32_12","bool_16","i32_17","i32_21","i32_25","i32_29","i32_33","i32_37"
0,"None",0,0,"",1677721600,0,0,335544320,0,0
1,"Act2Default",3,0,"",1627389952,16777216,0,771751936,0,0
2,"Act3Default",3,0,"",1627389952,16777216,0,1476395008,0,0
3,"Act4Default",3,0,"",1627389952,33554432,0,-2113929216,0,0
4,"Act5EarlyDefault",3,0,"",1627389952,33554432,0,-973078528,0,0
5,"Act5LateDefault",4,0,"",1610612736,50331648,0,134217728,1,0
6,"Act6Default",8,0,"",1543503872,100663296,0,1375731712,1,0
7,"Act7Default",8,0,"",1543503872,117440512,0,-872415232,1,0
8,"Act8Default",8,0,"",1543503872,117440512,0,1442840576,2,0
9,"Act9Default",8,0,"",1543503872,134217728,0,-536870912,2,0
10,"Act10Default",8,0,"",1543503872,134217728,0,2080374784,3,0
11,"Map",0,0,"",1677721600,0,0,100663296,4,16777216
12,"Tier1Map",25,3,1,1191182336,234881024,0,436207616,4,0
13,"Tier2Map",26,3,1,1174405120,234881024,0,234881024,5,0
14,"Tier3Map",27,3,1,1157627904,234881024,0,33554432,6,0
15,"Tier4Map",28,3,1,1140850688,234881024,0,-167772160,6,0
16,"Tier5Map",29,3,1,1124073472,234881024,0,-369098752,7,0
17,"Tier6Map",30,4,1,1090519040,234881024,0,-570425344,8,0
18,"Tier7Map",31,4,1,1073741824,234881024,0,-771751936,9,0
19,"Tier8Map",32,4,1,1056964608,234881024,0,-973078528,10,0
20,"Tier9Map",33,4,1,1040187392,234881024,0,-1174405120,11,0
21,"Tier10Map",34,4,1,1023410176,234881024,0,-1342177280,12,0
22,"Tier11Map",35,5,1,989855744,268435456,0,-1509949440,13,0
23,"Tier12Map",36,5,1,973078528,268435456,0,-1140850688,14,0
24,"Tier13Map",37,5,1,956301312,268435456,0,-771751936,15,0
25,"Tier14Map",38,5,1,939524096,268435456,0,-402653184,16,0
26,"Tier15Map",39,5,1,922746880,268435456,0,-33554432,17,0
27,"Tier16Map",40,5,1,905969664,268435456,0,335544320,19,0
28,"Tier17Map",41,6,1,872415232,268435456,0,704643072,20,0
