"rownum","rid_0","i32_16","[i32]_20","[rid]_36","rid_52","i32_68","bool_72","i32_73","i32_77","i32_81","i32_85"
0,8627,0,[3],[6750],"",0,1,-30,0,150,800
1,8627,1,[1],"[6755,10611]","",0,1,-30,0,150,800
2,8630,0,[1],[],"",0,1,0,0,150,800
3,8632,0,"[1,3]","[6754,10611]","",0,1,-30,0,150,800
4,8634,0,"[1,3]","[6731,10611]","",0,1,-30,0,150,800
5,8636,0,[2],[1765],"",10,1,-15,0,150,800
6,8638,0,[2],[6736],"",10,1,10,0,150,800
7,8640,0,"[3,1]",[6751],"",0,1,-30,0,150,800
8,8642,0,"[1,3]","[6731,10611]","",0,1,-30,0,150,800
9,8644,0,[2],"[6736,1771]","",10,1,10,0,150,800
10,8646,0,"[3,1]",[6751],"",0,1,-30,0,150,800
11,8647,0,"[1,3]","[6731,10611]","",0,1,-30,0,150,800
12,8648,0,[2],"[6736,1771]","",10,1,10,0,150,800
13,8649,0,"[3,1]",[6752],"",0,1,-30,0,150,800
14,8650,0,"[1,3]",[6731],"",0,1,-30,0,150,800
15,8701,0,"[3,1]","[6785,10611]","",0,1,-30,0,150,800
16,8703,0,[3],"[6786,10611]","",0,1,-30,0,150,800
17,8703,1,[1],[],"",0,1,-30,0,150,800
18,8705,0,"[1,3]","[6787,10611]","",0,1,-30,0,150,800
19,8707,0,"[1,3]","[6788,10611]","",0,1,-30,0,150,800
20,8709,0,[2],[7618],"",10,1,-15,0,150,800
21,8711,0,[2],[4248],"",10,1,10,0,150,800
22,8713,0,[2],[],9161,10,1,5,0,150,800
23,8715,0,"[3,1]","[6785,10611]","",0,1,-30,0,150,800
24,8716,0,[3],"[6786,10611]","",0,1,-30,0,150,800
25,8716,1,[1],[],"",0,1,-30,0,150,800
26,8717,0,"[1,3]","[6787,10611]","",0,1,-30,0,150,800
27,8718,0,"[1,3]","[6788,10611]","",0,1,-30,0,150,800
28,8720,0,[2],[7618],"",10,1,-15,0,150,800
29,8721,0,[2],[4248],"",10,1,10,0,150,800
30,8722,0,[2],[],9161,10,1,5,0,150,800
31,8723,0,[3],"[6786,10611]","",0,1,-30,0,150,800
32,8723,1,[1],[],"",0,1,-30,0,150,800
33,8725,0,"[1,3]","[6788,10611]","",0,1,-30,0,150,800
34,8727,0,"[3,1]",[6789],"",0,1,-15,0,150,800
35,8729,0,[2],[4248],"",10,1,10,0,150,800
36,8731,0,[3],"[6786,10611]","",0,1,-30,0,150,800
37,8731,1,[1],[],"",0,1,-30,0,150,800
38,8732,0,"[1,3]","[6788,10611]","",0,1,-30,0,150,800
39,8733,0,"[3,1]",[6789],"",0,1,-15,0,150,800
40,8734,0,[2],[4248],"",0,1,10,0,150,800
41,8735,0,"[3,1]",[6790],"",0,1,-30,0,150,800
42,8736,0,[2],[4249],"",10,1,10,0,150,800
43,8654,0,[2],[10630],"",0,1,0,0,150,800
44,8661,0,[1],[7634],"",0,1,0,0,150,800
45,8663,0,[1],[7634],"",0,1,0,0,150,800
46,8665,0,[1],[7634],"",0,1,0,0,150,800
47,8668,0,[1],[7634],"",0,1,0,0,150,800
48,8670,1,[2],[646],"",0,1,0,0,150,800
49,8673,0,[1],[7634],"",0,1,0,0,150,800
50,8698,0,[1],[7634],"",0,1,0,0,150,800
51,8657,0,[1],[7634],"",0,1,0,0,150,800
52,8659,0,[1],[7634],"",0,1,0,0,150,800
53,8675,0,[2],[9160],"",0,1,15,0,150,800
54,8676,0,[2],[9160],"",0,1,15,0,150,800
55,8677,0,[2],[9160],"",0,1,15,0,150,800
56,8680,0,[2],[9158],"",0,1,15,0,150,800
57,8682,0,[2],[9158],"",0,1,15,0,150,800
58,8683,0,[2],[9158],"",0,1,15,0,150,800
59,8686,0,[2],[],"",0,1,0,0,150,800
60,8688,0,[2],[],"",0,1,0,0,150,800
61,8689,0,[2],[],"",0,1,0,0,150,800
62,8692,0,[2],[6821],"",5,1,-30,0,150,800
63,8693,0,[2],[6821],"",5,1,-30,0,150,800
64,8694,0,[2],[6821],"",5,1,-30,0,150,800
65,8751,0,[3],[],"",0,1,0,1,150,800
66,8754,0,[1],[],"",0,1,0,1,150,800
67,8755,0,[1],[],"",0,1,0,1,150,800
68,8760,0,[2],[6805],"",0,1,-30,0,150,800
69,8764,0,[2],[7629],"",0,1,-30,0,150,800
