"rownum","rid","i32","f32","[rid]","i32","i32","i32","f32","f32"
0,0,0,12,[5174],30,30,1,0,0
1,1,0,12,[6295],30,30,1,0,0
2,2,0,8,[8064],30,30,1,0,0
3,3,0,8,[8118],30,30,1,0,0
4,4,0,8,[8147],30,30,1,0,0
5,5,0,8,[8093],10,10,1,0,0
6,6,0,8,[8211],30,30,1,0,0
7,7,0,8,[5175],30,30,1,0,0
8,8,0,8,[6297],20,20,1,0,0
9,9,0,8,[8829],30,30,1,0,0
10,10,0,4,"[8064,8093,8118,8147,5175,6297,8829,8211]",30,30,2,0,2
11,11,0,5,[6296],10,50,15,1,5
12,12,0,4,[8476],1,1,1,1.5,3
13,13,0,3,"[4754,4755,4756,4757]",10,40,3,0,0
14,14,0,5,"[8930,8931]",40,40,1,0,0
15,15,0,10,[3046],50,70,1,0,0
16,16,0,12,[9030],10,10,1,0,0
17,17,0,10,[9413],20,20,1,0,0
18,18,0,10,[10096],15,80,2,1,3
19,19,0,15,"[4780,4781,4782]",50,70,1,1,0
