"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","bool_25","string_26","bool_34","i32_35","i32_39","string_43"
0,"Specials","Specials","Offres du moment","Angebote","特売品","할인 아이템","Especiais","Скидки","Especiales","ราคาพิเศษ","特殊",1,"","","","",-16843010,-16843010,""
1,"NewItems","New","— Nouveautés —","Neu","新商品","신규","Novos","Новинки","Nuevo","มาใหม่","新品上架",1,"","","","",-16843010,-16843010,""
2,"StashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บเก็บของ","倉庫頁",1,"","","","",-16843010,-16843010,""
3,"Bundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包",1,"","","","",-16843010,-16843010,""
4,"ArmourEffects","Armour","Pièces d'armure","Rüstung","アーマー","방어구","Armaduras","Доспехи","Armaduras","ชุดเกราะ","護甲效果",1,"","","","",-16843010,-16843010,""
5,"BackAttachments","Back Attachments","Accessoires dorsaux","Rückenzusätze","背面装飾品","등 부착물","Adornos Dorsais","Заплечные украшения","Accesorios para la espalda","แฟชั่นติดหลัง","背飾",1,"","","","",-16843010,-16843010,""
6,"WeaponEffects","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Armas","อาวุธ","武器效果",1,"","","","",-16843010,-16843010,""
7,"Weapon","Weapon","Arme","Waffe","武器","무기","Armas","Оружие","Armas","อาวุธ","武器","","","","","",-16843010,-16843010,""
8,"FinisherEffects","Finisher Effects","Effets de mise à mort","Vollstreckereffekte","フィニッシャーエフェクト","마무리 이펙트","Efeitos Finalizadores","Эффекты добивания","Efectos de remate","เอฟเฟคปลิดชีพ","終結特效",1,"","","","",-16843010,-16843010,""
9,"Portals","Portals","Portails","Portale","ポータル","포탈","Portais","Порталы","Portales","วาร์ป","傳送門",1,"","","","",-16843010,-16843010,""
10,"AlternateSkillEffects","Skill Effects","Effets d'aptitudes","Fertigkeiten","スキルエフェクト","스킬 이펙트","Habilidades","Эффекты умений","Efectos de habilidades","เอฟเฟคสกิล","技能效果",1,"","","","",-16843010,-16843010,""
11,"CharacterEffects","Character","Effets de personnage","Charakter","キャラクター","캐릭터","Personagens","Персонаж","Personaje","ตัวละคร","角色效果",1,"","","","",-16843010,-16843010,""
12,"Character","Character","Perosnnage","Charakter","キャラクター","캐릭터","Personagens","Персонаж","Personaje","ตัวละคร","角色","","","","","",-16843010,-16843010,""
13,"FootprintEffects","Footprints","Effet d'empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","足跡效果",1,"","","","",-16843010,-16843010,""
14,"Guild","Guild","Guilde","Gilde","ギルド","길드","Guilda","Гильдия","Hermandad","กิลด์","公會功能",1,"","","","",-16843010,-16843010,""
15,"GuildHideout","Guild Hideout","Repaire de Guilde","Gildenversteck","ギルドの隠れ家","길드 은신처","Refúgios de Guilda","Убежище гильдии","Guarida de hermandad","ที่ซ่อนกิลด์","公會藏身處",1,"","","","",-16843010,-16843010,""
16,"Pets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物",1,"","","","",-16843010,-16843010,""
17,"Hideout","Hideout","Repaire","Versteck","隠れ家","은신처","Refúgio","Убежище","Guarida","ที่ซ่อน","裝飾物",1,"","","","",-16843010,-16843010,""
18,"VisualEffects","Visual Effects","Effets visuels","Visuelle Effekte","視覚エフェクト","시각 이펙트","Efeitos Visuais","Визуальные эффекты","Efectos visuales","ภาพเอฟเฟค","視覺效果",1,"","","","",-16843010,-16843010,""
19,"GuildHideouts","Hideouts","Repaires","Verstecke","隠れ家","은신처","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處","","","","","",-16843010,-16843010,""
20,"GuildStashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","보관함 탭","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บ","倉庫頁","","","","","",-16843010,-16843010,""
21,"GuildHideoutSkins","Utility Skins","Apparences utilitaires","Allgemeine Skins","ユーティリティスキン","특수 스킨","Visuais Utilitários","Прочие декорации для убежища гильдии","Aspectos de utilidad","สกินช่วยเหลือ","功能外觀","","","","","",-16843010,-16843010,""
22,"GuildBundles","Bundles","Bundles","Pakete","バンドル","꾸러미","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包","","","","","",-16843010,-16843010,""
23,"GuildHideoutDecorations","Decorations","Décorations","Dekorationen","装飾品","장식물","Decoraçõeas","Декорации","Decoraciones","ของตกแต่ง","裝飾物","","","","","",-16843010,-16843010,""
24,"Consumable","Consumable","Consommable","Verbrauchbar","消耗品","소모품","Consumível","Расходуемое","Consumibles","ใช้แล้วหมดไป","消耗品","","","","","",-16843010,-16843010,""
25,"MysteryPacks","Mystery Packs","Packs mystères","Überraschungspakete","ミステリーパック","미스터리 팩","Pacotes Misteriosos","Загадочные коробки","Paquetes misteriosos","แพ็คปริศนา","神秘寶箱","",24,"","","",-16843010,-16843010,""
26,"MostPopular","Most Popular","Plus populaires","Am beliebtesten","最も人気","최고 인기","Mais Populares","Популярные","Los más populares","เป็นที่นิยม","熱門商品","","","","","",-16843010,-16843010,""
27,"AccountFeatures","Account Features","Fonctions de compte","Kontoeigenschaften","アカウント機能","계정 요소","Funcionalidades da Conta","Свойства аккаунта","Características para la cuenta","ฟีเจอร์บัญชี","帳號功能",1,"","","","",-16843010,-16843010,""
28,"ClassicEffects","Classic Effects","Effets classiques","Klassische Effekte","クラシックエフェクト","고전적인 이펙트","Efeitos Clássicos","Эффекты","Efectos clásicos","เอฟเฟคคลาสสิก","經典效果","","","","","",-16843010,-16843010,""
29,"PoE2MysteryBoxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","Mystery Boxes","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame13"
30,"PoE2StashTabs","Stash Tabs","Onglets de Réserve","Truhenfächer","スタッシュタブ","Stash Tabs","Abas de Baú","Секции сундука","Pestañas de alijo","แท็บเก็บของ","倉庫頁","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagStashes","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame1"
31,"PoE2Armour","Armour","Armure","Rüstung","防具","Armour","Armadura","Доспехи","Armaduras","เกราะ","護甲","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagArmour","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame2"
32,"PoE2Weapons","Weapon","Arme","Waffe","武器","Weapon","Armas","Оружие","Armas","อาวุธ","武器","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagWeapons","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame4"
33,"PoE2Portals","Portals","Portails","Portale","ポータル","Portals","Portais","Порталы","Portales","วาร์ป","時空之門","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPortals","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame5"
34,"PoE2Pets","Pets","Familiers","Begleiter","ペット","Pets","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPets","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame7"
35,"PoE2GemEffects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","Gem Effects","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame10"
36,"PoE2VisualEffects","Visual Effects","Effets visuels","Visuelle Effekte","視覚効果","Visual Effects","Efeitos Visuais","Визуальные эффекты","Efectos visuales","ภาพเอฟเฟค","視覺效果","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame9"
37,"PoE2Accessories","Accessories","Accessoires","Accessoires","アクセサリー","Accessories","Acessórios","Аксессуары","Accesorios","เครื่องประดับ","配件","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame11"
38,"PoE2AccountFeatures","Account Features","Fonctions de compte","Kontofunktionen","アカウント機能","Account Features","Recursos da Conta","Свойства аккаунта","<size:25>{Funciones de \nla cuenta}","ฟีเจอร์บัญชี","帳號功能","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame3"
39,"PoE2Hideouts","Hideouts","Repaires","Verstecke","隠れ家","Hideouts","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagHideouts","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame8"
40,"PoE2Bundles","Bundles","Bundles","Pakete","バンドル","Bundles","Pacotes","Наборы","Paquetes","ชุดสุดคุ้ม","組合包","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame6"
