"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey","rid"
0,"Hatred",1,"",2725,20061
1,"Woe",1,"",2726,20062
2,"Greed",1,"",2727,20063
3,"Contempt",1,"",2728,20064
4,"Sorrow",2,"",2729,20065
5,"Anger",2,"",2730,20066
6,"Torment",2,"",2731,20067
7,"Fear",2,"",2732,20068
8,"Suffering",3,"",2733,20069
9,"Rage",3,"",2735,20070
10,"Wrath",3,"",2734,20071
11,"Doubt",3,"",2736,20072
12,"Anguish",4,"",2737,20073
13,"Loathing",4,"",2738,20074
14,"Spite",4,"",2740,20075
15,"Zeal",4,"",2739,20076
16,"Misery",5,"",2741,20077
17,"Dread",5,"",2742,20078
18,"Scorn",5,"",2743,20079
19,"Envy",5,"",2744,20080
20,"Hysteria",6,1,2745,20081
21,"Insanity",6,1,2746,20082
22,"Horror",6,1,2747,20083
23,"Delirium",6,1,2748,20084
24,"NotEssence",0,"",2749,20085
