"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32_48","i32_52","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7884,7,0,0,0,0,1,1,"","",""
1,42,7885,6,0,0,1,3,1,1,"","",""
2,43,7886,1,0,0,0,0,1,1,"","",""
3,44,7887,2,0,0,0,0,1,1,"","",""
4,45,7888,2,1,0,0,0,1,1,"","",""
5,47,7889,2,2,0,0,0,1,1,"","",""
6,48,7890,9,0,0,0,0,1,1,"","",""
7,49,7891,1,1,0,0,0,"","","","",""
8,50,7892,15,0,0,0,0,1,1,"","",""
9,51,7893,4,0,0,0,0,1,1,"","",""
10,52,7894,9,2,0,0,0,1,1,"","",""
11,53,7895,6,2,0,2,3,1,1,"","",""
12,54,7896,16,0,0,0,0,1,1,"","",""
13,55,7897,16,2,0,0,0,1,1,"","",""
14,56,7898,9,4,0,0,0,1,1,"","",""
15,58,7900,8,0,0,0,0,1,1,"","",""
16,59,7901,8,2,0,0,0,1,1,"","",""
17,60,7903,6,4,0,0,0,1,1,"","",""
18,61,7904,6,6,0,0,0,1,1,"","",""
19,62,7905,2,3,0,0,0,1,1,"","",""
20,64,7907,2,4,0,0,0,1,1,"","",""
21,66,7909,11,0,0,0,0,"","","","",""
22,67,7910,1,2,0,0,0,1,1,"","",""
23,68,7911,1,3,0,0,0,1,1,"","",""
24,70,7913,1,4,0,0,0,1,1,"","",""
25,71,7914,15,2,0,0,0,1,1,"","",""
26,72,7915,15,4,0,0,0,1,1,"","",""
27,74,7917,16,4,0,0,0,1,1,"","",""
28,75,7918,16,6,0,0,0,1,1,"","",""
29,76,7919,16,8,0,0,0,1,1,"","",""
30,77,7920,16,10,0,0,0,1,1,"","",""
31,78,7921,16,12,0,0,0,1,1,"","",""
32,79,7922,16,14,0,0,0,1,1,"","",""
33,80,7923,16,16,0,0,0,"","","","",""
34,81,7924,16,18,0,0,0,1,1,"","",""
35,82,7925,16,20,0,0,0,1,1,"","",""
36,83,7926,1,5,0,0,0,1,1,"","",""
37,84,7927,14,0,0,0,0,1,1,"","",""
38,85,7928,4,1,0,0,0,1,1,"","",""
39,86,7929,14,2,0,0,0,1,1,"","",""
40,88,7931,14,4,0,0,0,1,1,"","",""
41,89,7932,14,6,0,0,0,1,1,"","",""
42,90,7933,14,8,0,0,0,1,1,"","",""
43,91,7934,14,10,0,0,0,1,1,"","",""
44,92,7935,14,12,0,0,0,1,1,"","",""
45,93,7936,13,0,0,0,0,1,1,"","",""
46,94,7937,13,2,0,0,0,1,1,"","",""
47,95,7938,13,4,0,0,0,1,1,"","",""
48,96,7939,13,6,0,0,0,1,1,"","",""
49,97,7940,13,8,0,0,0,1,1,"","",""
50,98,7941,13,10,0,0,0,1,1,"","",""
51,99,7942,13,12,0,0,0,1,1,"","",""
52,100,7943,13,14,0,0,0,1,1,"","",""
53,101,8476,1,6,0,0,0,1,1,"","",""
54,102,8477,1,7,0,0,0,1,1,"","",""
55,103,8478,12,0,0,0,0,1,1,"","",""
56,104,8479,12,2,0,0,0,1,1,"","",""
57,105,8480,12,4,0,0,0,1,1,"","",""
58,106,8481,12,6,0,0,0,1,1,"","",""
59,107,8482,17,0,0,0,0,1,1,"","",""
60,108,8483,17,2,0,0,0,1,1,"","",""
61,109,8484,17,4,0,0,0,1,1,"","",""
62,110,8485,17,6,0,0,0,1,1,"","",""
63,111,8486,17,8,0,0,0,1,1,"","",""
64,112,8924,7,2,0,0,0,1,1,"","",""
65,113,8925,6,8,0,2,4,1,1,"","",""
66,263,8926,6,10,0,1,4,1,1,"","",""
67,114,8926,6,0,0,0,0,"","",66,"",""
68,115,8927,15,6,0,0,0,1,1,"","",""
69,117,8929,17,10,0,0,0,1,1,"","",""
70,118,8930,16,22,0,0,0,1,1,"","",""
71,119,8931,5,0,0,1,3,1,1,"","",""
72,129,8932,16,24,0,0,0,1,1,"","",""
73,121,8933,17,12,0,0,0,1,1,"","",""
74,122,8934,17,14,0,0,0,1,1,"","",""
75,123,8935,8,4,0,0,0,1,1,"","",""
76,124,8936,1,8,0,0,0,1,1,"","",""
77,126,8937,13,16,0,0,0,1,1,"","",""
78,127,8938,13,18,0,0,0,1,1,"","",""
79,128,8939,14,14,0,0,0,1,1,"","",""
80,130,8940,4,2,0,0,0,1,1,"","",""
81,132,8942,14,16,0,0,0,1,1,"","",""
82,133,8943,14,18,0,0,0,1,1,"","",""
83,135,8945,8,6,0,2,3,1,1,"","",""
84,136,8946,15,8,0,0,0,1,1,"","",""
85,137,8947,9,6,0,0,0,1,1,"","",""
86,139,8949,9,8,0,0,0,1,1,"","",""
