"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32_48","MiscAnimatedKey","i32_68","i32_72","[i32]_76","[i32]_92","[i32]_108","[i32]_124","[i32]_140","[i32]_156","i32_172","i32_176","[rid]_180","MonsterVarietiesKey2"
0,7513,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7514,0,0,0,[3074],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7515,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7516,0,0,0,[3074],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7517,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7527,0,1,0,[3073],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7530,0,1,1,[3077],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7533,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7537,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7540,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7545,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7546,2,0,0,[3078],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7550,2,1,1,[3081],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7553,2,1,0,[3080],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7558,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7561,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7564,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7569,3,0,0,[3086],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7572,3,0,0,[3086],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7578,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7579,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7582,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7588,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
