"rownum","rid_0","[rid]_16","bool_32","i32_33","i32_37"
0,19080,"[3520,5167,5331,6245,7444]","",0,0
1,19081,"[5328,5325,5319,5322]","",0,0
2,19083,"[6236,6238,6240,6243]","",0,0
3,19084,"[5075,5070,5079,5064]","",0,0
4,19085,"[7429,7432,7435,7438]","",0,0
5,19086,"[8070,8095,8120,8149]","",0,0
6,19115,[8510],1,0,0
7,19116,[8514],1,0,0
8,19117,[8518],1,0,0
9,19119,[6885],"",0,0
10,19140,"[2618,2623,2628,2631,2634,2639,2642,2644,2647,2649,2651,2656,2658,2660,2662,2665,2669,2672,2674,2679,2681,2683,2687,2690,2692,2694,2696,2701,2704,2708,2710,2713,2717,2719]",1,16777216,0
11,19230,[3209],1,0,0
12,19310,[5750],1,0,0
