"rownum","rid","i32","i32","rid","bool","string","bool","rid","bool","u16","bool"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon",1,"","",0,""
1,1,0,1,16,1,"","","","",0,""
2,1,1,2,22,1,"","","","",0,""
3,1,2,3,17,1,"","","","",0,""
4,1,3,4,21,1,"","","","",0,""
5,1,4,5,13,1,"","","","",0,""
6,1,5,6,12,1,"","","","",0,""
7,1,6,7,2,1,"","","","",0,""
8,1,7,8,20,1,"","","","",0,""
9,1,8,9,37,1,"","","","",0,""
10,1,9,10,38,1,"","","","",0,""
11,1,10,11,34,1,"","","","",0,""
12,1,11,12,36,1,"","","","",0,""
13,1,12,13,35,1,"","","","",0,""
14,1,13,14,14,1,"","","","",0,""
15,1,14,15,18,1,"","","","",0,""
16,1,15,16,43,1,"","","","",0,""
17,1,16,17,12531,"","","","","",0,""
18,1,17,18,39,1,"","","","",0,""
19,1,18,19,11,1,"","","","",0,""
20,2,0,20,"",1,"Art/2DArt/UIImages/InGame/MTX/KrampusTradeWindow/KrampusPlayerTradeIcon","","","",0,""
21,3,0,21,"",1,"","","","",0,""
22,3,1,22,"",1,"","","","",0,""
23,3,2,23,"",1,"","","","",0,""
24,3,3,24,"",1,"","","","",0,""
25,3,4,25,"",1,"","","","",0,""
26,3,5,26,"",1,"","","","",0,""
27,3,6,27,"",1,"","","","",0,""
28,3,7,28,"",1,"","","","",0,""
29,3,8,29,"",1,"","","","",0,""
30,3,9,30,"",1,"","","","",0,""
31,3,10,21,"",1,"","","",1,0,""
32,3,11,22,"",1,"","","",1,0,""
33,3,12,23,"",1,"","","",1,0,""
34,3,13,24,"",1,"","","",1,0,""
35,3,14,25,"",1,"","","",1,0,""
36,3,15,26,"",1,"","","",1,0,""
37,3,16,27,"",1,"","","",1,0,""
38,3,17,28,"",1,"","","",1,0,""
39,3,18,29,"",1,"","","",1,0,""
40,3,19,30,"",1,"","","",1,0,""
41,4,0,31,"",1,"","","","",0,""
42,4,1,32,"",1,"","","","",0,""
43,4,2,31,"",1,"","","",1,0,""
44,4,3,32,"",1,"","","",1,0,""
45,5,0,33,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","","",0,""
46,5,1,33,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","",1,0,""
