"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7873,9,1
1,"UniqueBow2",7882,13,1
2,"UniqueWand4",9854,8,1
3,"UniqueClaw4",9644,6,3
4,"UniqueStaff4",9891,14,4
5,"UniqueStaff9",10811,14,4
6,"UniqueBow4",8935,13,5
7,"UniqueDagger11",11580,7,5
8,"UniqueOneHandAxe3",9887,11,6
9,"UniqueRapier1",8914,10,7
10,"UniqueBow8",9456,13,9
11,"UniqueOneHandSword12",11589,9,10
12,"UniqueOneHandMace6",11591,12,10
13,"UniqueTwoHandSword2",7892,15,12
14,"UniqueClaw9",11585,6,12
15,"UniqueWand12",12133,8,24
16,"UniqueTwoHandAxe3",8938,16,13
17,"UniqueStaff13",11584,57,13
18,"UniqueDagger12",11581,7,15
19,"UniqueOneHandAxe7",11587,11,16
20,"UniqueTwoHandMace1",7888,17,17
21,"UniqueRapier2",9639,10,17
22,"UniqueDagger3",8928,56,20
23,"UniqueOneHandMace1",8933,12,20
24,"UniqueOneHandMace7",11592,12,20
25,"UniqueOneHandSword16",12201,9,20
26,"UniqueTwoHandMace7",9764,17,22
27,"UniqueOneHandSword7",10038,10,22
28,"UniqueTwoHandSword7",10290,15,22
29,"UniqueClaw6",9647,6,26
30,"UniqueRapier5",12560,10,26
31,"UniqueTwoHandMace2",7889,17,27
32,"UniqueOneHandSword4",9735,9,28
33,"UniqueBow11",10034,13,28
34,"UniqueOneHandSword13",11590,9,28
35,"UniqueOneHandAxe6",11423,11,29
36,"UniqueDagger2",7916,7,30
37,"UniqueWand9",11497,8,30
38,"UniqueBow3",7886,13,32
39,"UniqueOneHandMace8",11593,12,32
40,"UniqueTwoHandAxe2",8912,16,33
41,"UniqueClaw2",8959,6,34
42,"UniqueTwoHandMace10",12195,17,40
43,"UniqueSceptre1",8956,32,41
44,"UniqueSceptre2",9576,32,41
45,"UniqueRapier4",12203,10,43
46,"UniqueTwoHandSword1",7891,15,44
47,"UniqueDagger13",12197,56,44
48,"UniqueTwoHandAxe4",9455,16,45
49,"UniqueClaw8",11429,6,46
50,"UniqueOneHandClaw12",12179,6,46
51,"UniqueOneHandSword18",12235,9,47
52,"UniqueOneHandMace10",12199,12,50
53,"UniqueTwoHandSword3",8913,15,51
54,"UniqueStaff18",12705,14,52
55,"UniqueBow7",8948,13,53
56,"UniqueOneHandSword5",9798,9,53
57,"UniqueTwoHandMace4",8939,17,54
58,"UniqueTwoHandAxe14",12193,16,55
59,"UniqueSceptre10",11420,32,72
60,"UniqueWand11",12117,8,59
61,"UniqueTwoHandMace3",8923,17,57
62,"UniqueTwoHandAxe1",7872,16,58
63,"UniqueDagger8",9893,56,58
64,"UniqueOneHandSword11",11424,9,58
65,"UniqueWand1",8919,8,59
66,"UniqueOneHandAxe1",9667,11,65
67,"UniqueTwoHandSword10",12385,15,59
68,"UniqueOneHandMace4",11418,12,60
69,"UniqueOneHandSword19",12376,9,60
70,"UniqueClaw18",12780,6,60
71,"UniqueDagger16",12781,7,60
72,"UniqueDagger21",12846,7,60
73,"UniqueTwoHandSword11",12415,15,61
74,"UniqueBow5",8937,13,62
75,"UniqueBow6",8942,13,62
76,"UniqueClaw3",9610,6,62
77,"UniqueOneHandSword6",10035,9,62
78,"UniqueTwoHandAxe16",12991,16,62
79,"UniqueTwoHandMace11",12418,17,77
80,"UniqueOneHandAxe10",12821,11,63
81,"UniqueOneHandSword3",9656,9,64
82,"UniqueBow10",9774,13,64
83,"UniqueDagger9",10083,56,64
84,"UniqueTwoHandAxe10",12103,16,64
85,"UniqueOneHandSword17",12210,9,64
86,"UniqueOneHandAxe5",9879,11,65
87,"UniqueTwoHandSword8",10797,15,65
88,"UniqueTwoHandMace12",12684,17,65
89,"UniqueBow1",7878,13,66
90,"UniqueClaw1",8950,6,66
91,"UniqueBow9",9743,13,70
92,"UniqueOneHandMace5",11419,12,66
93,"UniqueClaw10",12051,6,66
94,"UniqueTwoHandAxe15",12680,16,66
95,"UniqueDagger17",12951,56,66
96,"UniqueTwoHandMace6",9733,17,67
97,"UniqueTwoHandSword6",9795,15,67
98,"UniqueStaff7",10042,57,71
99,"UniqueBow15",12223,13,68
100,"UniqueClaw14",12383,6,68
101,"UniqueOneHandSword20",12419,9,77
102,"UniqueBow17",12533,13,77
103,"UniqueTwoHandAxe13",12645,16,68
104,"UniqueOneHandSword24",12747,9,68
105,"UniqueOneHandAxe2",9819,11,69
106,"UniqueClaw13",12218,6,70
107,"UniqueClaw15",12536,6,77
108,"UniqueStaff20",12771,14,66
109,"UniqueStaff27",12831,57,60
110,"UniqueStaff22",12986,57,64
111,"UniqueStaff24",13107,57,68
112,"UniqueOneHandSword29",13038,9,56
113,"UniqueOneHandSword30",13039,9,56
114,"UniqueOneHandSword31",13453,9,62
115,"UniqueTwoHandSword12",12541,15,67
116,"UniqueTwoHandSword13",12541,15,67
117,"UniqueTwoHandSword14",14105,15,67
118,"UniqueDagger20",12827,7,60
119,"UniqueBow18",12580,13,58
120,"UniqueBow19",12581,13,58
121,"UniqueBow22",13161,13,57
122,"UniqueBow23",14051,13,58
123,"UniqueBow21",12971,13,75
124,"UniqueBow20",12952,13,62
125,"UniqueBow16",12400,13,64
126,"UniqueTwoHandAxe7",10007,16,64
127,"UniqueTwoHandAxe9",11507,16,66
