"rownum","Id","i32_8","[rid]_12"
0,"absolution_blast",0,[5516]
1,"vaal_absolution_blast",0,[9614]
2,"flame_golem",-4,[9179]
3,"flame_golem",-3,[9146]
4,"flame_golem",-2,[8035]
5,"flame_golem",-1,[4353]
6,"flame_golem",0,[4352]
7,"flame_golem",1,[4354]
8,"flame_golem_monster",1,[4367]
9,"lightning_golem",-4,[9181]
10,"lightning_golem",-3,[9148]
11,"lightning_golem",-2,[8037]
12,"lightning_golem",-1,[4388]
13,"lightning_golem",0,[4383]
14,"lightning_golem",1,[4384]
15,"ice_golem_monster",1,[4342]
16,"ice_golem",-4,[9178]
17,"ice_golem",-3,[9145]
18,"ice_golem",-2,[8034]
19,"ice_golem",-1,[4340]
20,"ice_golem",0,[4338]
21,"ice_golem",1,[4339]
22,"stone_golem",-4,[9182]
23,"stone_golem",-3,[9149]
24,"stone_golem",-2,[8038]
25,"stone_golem",-1,[4641]
26,"stone_golem",0,[4640]
27,"chaos_golem_monster",1,[4125]
28,"chaos_golem",-4,[9180]
29,"chaos_golem",-3,[9147]
30,"chaos_golem",-2,[8036]
31,"chaos_golem",-1,[4381]
32,"chaos_golem",0,[4379]
33,"bone_golem",0,[8002]
34,"bone_golem",1,[8348]
35,"bone_golem",2,[8789]
36,"bone_golem",3,[8801]
37,"agony_crawler",0,[7038]
38,"agony_crawler",1,[7038]
39,"agony_crawler",2,[7038]
40,"agony_crawler",3,[7038]
41,"agony_crawler",4,[7038]
42,"agony_crawler",5,[7038]
43,"agony_crawler",6,[7038]
44,"agony_crawler",7,[7038]
45,"agony_crawler",8,[7038]
46,"agony_crawler",9,[7038]
47,"agony_crawler",10,[7210]
48,"agony_crawler",11,[7040]
49,"agony_crawler",12,[7039]
50,"agony_crawler",13,[7507]
51,"agony_crawler",14,[7691]
52,"agony_crawler",15,[8062]
53,"agony_crawler",16,[8346]
54,"agony_crawler",17,[8349]
55,"agony_crawler",18,[8573]
56,"agony_crawler",19,[8787]
57,"agony_crawler",20,[8839]
58,"purity_champion",0,[1362]
59,"purity_champion",1,[1362]
60,"purity_champion",2,[1362]
61,"purity_champion",3,[1362]
62,"purity_champion",4,[1362]
63,"purity_champion",5,[1362]
64,"purity_champion",6,[1362]
65,"purity_champion",7,[1362]
66,"purity_champion",8,[1362]
67,"purity_champion",9,[1362]
68,"purity_champion",10,[7211]
69,"purity_champion",11,[1365]
70,"purity_champion",12,[1366]
71,"purity_champion",13,[7508]
72,"purity_champion",14,[7692]
73,"purity_champion",15,[8063]
74,"purity_champion",16,[8347]
75,"purity_champion",17,[8350]
76,"purity_champion",18,[8574]
77,"purity_champion",19,[8788]
78,"purity_champion",20,[8840]
79,"tornado",0,[9241]
80,"tornado",1,[9441]
81,"triggered_summon_spider",0,[5508]
82,"triggered_summon_spider",1,[5509]
83,"raging_spirit",0,[3172]
84,"raging_spirit",1,[3173]
85,"raging_spirit",2,[3174]
86,"raging_spirit",3,[3175]
87,"raging_spirit",4,[3176]
88,"raging_spirit",5,[8011]
89,"raging_spirit",6,[3177]
90,"raging_spirit",7,[9036]
91,"raging_spirit",8,[9264]
92,"raging_spirit",9,[9265]
93,"raging_spirit",10,[9485]
94,"raging_spirit_monster",0,[3180]
95,"raging_spirit_monster",1,[3181]
96,"raging_spirit_monster",2,[3183]
97,"raging_spirit_monster",3,[3184]
98,"raging_spirit_monster",4,[3185]
99,"raging_spirit_monster",5,[8011]
100,"raging_spirit_monster",8,[9264]
101,"raging_spirit_monster",9,[9265]
102,"raging_spirit_monster",10,[9485]
103,"triggerbot",0,[8004]
104,"dominating_blow",0,[1361]
105,"dominating_blow",1,[8585]
106,"vaal_dominating_blow",0,[9615]
107,"vaal_dominating_blow",1,[9616]
108,"guardian_relic_fire",0,[7048]
109,"guardian_relic_cold",0,[7049]
110,"guardian_relic_lightning",0,[7050]
111,"radiant_sentinel",0,[1363]
112,"radiant_sentinel_ruthless",0,[1364]
113,"voodoo_doll",0,[10092]
114,"sacred_wisp",0,[10103]
