"rownum","BaseItem","Code","Order1","Show","Order2"
0,9,"alch",0,1,0
1,12,"alt",0,1,0
2,205,"annul",0,1,0
3,11,"aug",0,"",0
4,17,"bauble",0,"",0
5,24,"blessed",0,1,0
6,7,"chance",0,1,0
7,5,"chaos",20,1,40
8,19,"chisel",0,1,0
9,20,"chrome",0,1,0
10,23,"divine",0,1,20
11,209,"engineers",0,"",0
12,14,"exalted",0,1,0
13,413,"facetors",0,"",0
14,21,"fusing",0,1,0
15,18,"gcp",0,1,0
16,210,"infused-engineers-orb",0,"",0
17,22,"jewellers",0,1,0
18,1,"mirror",0,1,10
19,288,"offer",0,"",0
20,291,"offer-dedication",0,"",0
21,290,"offer-gift",0,"",0
22,289,"offer-tribute",0,"",0
23,16,"portal",0,"",0
24,15,"regal",0,1,0
25,3,"regret",0,1,0
26,13,"scour",0,1,0
27,0,"scrap",0,"",0
28,8,"transmute",0,"",0
29,33,"vaal",0,1,0
30,10,"whetstone",0,"",0
31,2,"wisdom",0,"",0
32,7541,"lesser-ember",0,1,0
33,7542,"greater-ember",0,1,0
34,7543,"grand-ember",0,1,0
35,7544,"excep-ember",0,1,0
36,7545,"lesser-echor",0,1,0
37,7546,"greater-echor",0,1,0
38,7547,"grand-echor",0,1,0
39,7548,"excep-echor",0,1,0
