"rownum","Mod","Type","bool"
0,31062,2,""
1,31063,2,""
2,31064,2,""
3,31065,2,""
4,31066,2,""
5,31067,2,""
6,31068,2,""
7,31069,2,""
8,31070,2,""
9,31071,2,""
10,31072,2,""
11,31073,2,""
12,31074,1,""
13,31075,1,""
14,31076,1,""
15,31077,1,""
16,31078,1,""
17,31079,1,""
18,31080,1,""
19,31081,1,""
20,31082,1,""
21,31083,1,""
22,31084,1,""
23,31085,1,""
24,31086,1,""
25,31087,0,""
26,31088,0,""
27,31089,0,""
28,31090,0,""
29,31091,0,""
30,31092,0,""
31,31093,0,""
32,31094,0,""
33,31095,0,""
34,31096,0,""
35,31097,0,""
36,31098,0,""
37,31099,0,""
38,31100,0,""
39,31101,2,""
40,31102,2,""
41,31103,2,""
42,31104,2,""
43,31105,2,""
44,31106,2,""
45,31107,2,""
46,31108,2,""
47,31109,2,""
48,31110,2,""
49,31111,2,""
50,31112,2,""
51,31114,2,""
52,31116,1,""
53,31117,1,""
54,31118,1,""
55,31119,1,""
56,31120,1,""
57,31121,1,""
58,31122,1,""
59,31123,1,""
60,31124,1,""
61,31125,1,""
62,31126,1,""
63,31127,1,""
64,31128,1,""
65,31130,0,""
66,31131,0,""
67,31132,0,""
68,31133,0,""
69,31134,0,""
70,31135,0,""
71,31136,0,""
72,31137,0,""
73,31138,0,""
74,31139,0,""
75,31140,0,""
76,31141,2,1
77,31142,2,1
78,31143,2,1
79,31144,2,1
80,31145,2,1
81,31146,2,1
82,31147,2,1
83,31148,2,1
84,31149,2,1
85,31150,2,1
86,31151,2,1
87,31152,2,1
88,31153,2,1
89,31154,2,1
90,31155,2,1
91,31156,2,1
92,31157,1,""
93,31158,1,""
94,31159,1,""
95,31160,1,""
96,31161,1,""
97,31162,1,""
98,31163,1,""
99,31164,1,""
100,31165,1,""
101,31166,1,""
102,31167,1,""
103,31168,1,""
104,31169,1,""
105,31170,1,""
106,31171,1,""
107,31172,1,""
108,31174,1,""
109,31175,1,""
110,31177,1,""
111,31178,1,""
112,31179,1,""
113,31180,1,""
114,31181,1,""
115,31183,2,1
116,31184,2,1
117,31186,2,1
118,31187,2,1
119,31188,2,1
120,31189,2,1
121,31190,2,1
122,31191,0,""
123,31192,0,""
124,31193,0,""
125,31194,0,""
126,31195,0,""
127,31196,0,""
128,31197,0,1
129,31224,2,1
130,31225,2,1
131,31226,2,1
132,31227,2,1
133,31228,2,1
134,31229,2,1
135,31230,2,1
136,31231,2,1
137,31232,2,1
138,31233,2,1
139,31234,2,1
140,31235,2,1
141,31236,2,1
142,31237,2,1
143,31238,2,1
144,31239,2,1
145,31240,2,1
146,31241,2,1
147,31242,2,1
148,31243,1,""
149,31244,1,""
150,31245,1,""
151,31246,1,""
152,31247,1,""
153,31248,1,""
154,31249,1,""
155,31250,1,""
156,31251,1,""
157,31252,1,""
158,31253,1,""
159,31254,1,""
160,31255,1,""
161,31256,1,""
162,31257,1,""
163,31258,1,""
164,31259,1,""
165,31260,1,""
166,31261,1,""
167,31263,1,""
168,31264,1,""
169,31265,1,""
170,31266,1,""
171,31267,1,""
172,31268,1,""
173,31269,1,""
174,31270,1,""
175,31271,2,1
176,31272,2,1
177,31273,2,1
178,31274,2,1
179,31275,2,1
180,31276,2,1
181,31277,2,1
182,31278,2,1
183,31279,0,""
184,31281,0,""
185,31282,0,""
186,31283,0,""
187,31284,0,""
188,31285,0,1
189,31310,1,""
190,31311,1,""
191,31312,1,""
192,31313,2,1
193,31314,2,1
194,31315,2,1
195,31316,0,""
196,31317,0,""
197,31318,0,""
198,31319,0,1
199,31320,0,1
200,31321,0,1
201,31322,1,""
202,31323,1,""
203,31324,1,""
204,31325,2,1
205,31326,2,1
206,31327,2,1
207,31328,0,""
208,31329,0,""
209,31330,0,""
210,31331,0,1
211,31332,0,1
212,31333,0,1
213,31198,1,""
214,31199,2,""
215,31200,1,""
216,31201,2,""
217,31202,1,""
218,31203,2,""
219,31204,1,""
220,31205,2,""
221,31206,1,""
222,31207,2,""
223,31208,1,""
224,31209,2,""
225,31210,1,""
226,31211,2,""
227,31212,1,""
228,31213,2,""
229,31214,1,""
230,31215,2,""
231,31216,1,""
232,31217,2,""
233,31218,1,""
234,31219,2,""
235,31220,1,""
236,31221,2,""
237,31222,1,""
238,31223,2,""
239,31286,1,""
240,31287,2,""
241,31288,1,""
242,31289,2,""
243,31290,1,""
244,31291,2,""
245,31292,1,""
246,31293,2,""
247,31294,1,""
248,31295,2,""
249,31296,1,""
250,31297,2,""
251,31298,1,""
252,31299,2,""
253,31300,1,""
254,31301,2,""
255,31302,1,""
256,31303,2,""
257,31304,1,""
258,31305,2,""
259,31306,1,""
260,31307,2,""
261,31308,1,""
262,31309,2,""
