"rownum","Id","i32","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","[i32]","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool","[rid]","bool","bool","bool","bool","[string]","NecropolisPack"
0,"Act1-ZombieDrownedStrand",0,[5],1,3,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],0
1,"Act1-SandspitterStrand",0,[5],1,3,0,0,[],"",[50],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],3
2,"Act1-CoastCrabs",0,"[6,7]",2,4,80,1,[4376],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],4
3,"Act1-ZombieDrowned",0,"[6,7]",3,4,0,0,[],"","[100,50]","[""BeachOceanShallowWet"",""BeachOceanShallow"",""BeachOceanShallowNonwalkable"",""BeachOceanDeep"",""BeachBottomWet""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],0
4,"Act1-SandspitterEmerge",0,[6],3,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],3
5,"Act1-WaterElementalTidal",0,"[8,10,11]",1,3,0,0,[],"","[20,20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],5
6,"Act1-WaterElementalTidalCoast",0,[7],1,3,0,0,[],"",[100],"[""BeachOceanShallowWet"",""BeachOceanShallow"",""CavePools""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],5
7,"Act1-ZombieMiredEmerge",0,[8],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],13
8,"Act1-Cannibal",0,[7],3,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],9
9,"Act1-Rhoa",0,[8],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],10
10,"Act1-RhoaBig",0,[8],1,2,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],11
11,"Act1-ZombieMired",0,"[8,9,10,11]",3,5,0,0,[],"","[20,100,20,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],13
12,"Act1-RhoaSkeleton",0,[9],3,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],20
13,"Act1-SkeletonMelee",0,"[9,10,11]",2,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],30
14,"Act1-SkeletonBow",0,[9],2,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],39
15,"Act1-SkeletonBowLedge",0,[12],2,4,10,1,"[1034,1035,1036,1037]","",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],39
16,"Act1-Spawn4",0,[10],3,8,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
17,"Act1-ShieldCrabTempestShieldCharge",0,[10],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],19
18,"Act1-Squid2",0,"[10,19]",2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],47
19,"Act1-Spawn",0,"[11,19]",3,8,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
20,"Act1-ShieldCrab2",0,[11],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],19
21,"Act1-SpawnTiny",0,[11],5,14,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
22,"Act1-WaterElementalSubmerged",0,[11],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],5
23,"Act1-SkeletonMelee4",0,[12],2,4,10,1,"[1034,1035,1036,1037]","",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],30
24,"Act1-CannibalLedge",0,[12],1,3,10,1,"[1034,1035,1036,1037]","",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],9
25,"Act1-GoatmanLeapSlamLedge",0,[12],2,4,10,1,"[1034,1035,1036,1037]","",[50],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],51
26,"Act1-GoatmanLeapSlamClimb",0,[13],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],51
27,"Act1-KiwethSeagull",0,[12],2,4,10,1,"[1034,1035,1036,1037]","",[50],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],54
28,"Act1-GoatmanShamanFireball",0,[13],2,3,0,0,[],"",[50],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],462
29,"Act1-SkeletonBowBurningArrow",0,[13],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],469
30,"Act1-CorpseWheel",0,[13],2,4,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],55
31,"Act1-CorpseWheelEmerge",0,[13],2,4,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],55
32,"Act1-SkeletonMelee3Lower",0,[14],2,4,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],31
33,"Act1-SkeletonMelee3Upper",0,[15],2,3,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],31
34,"Act1-SkeletonBowLightning",0,[14],2,3,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],480
35,"Act1-PrisonStalker",0,"[14,15]",3,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],57
36,"Act1-ZombiePrisonLower",0,[14],2,4,100,1,[416],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],56
37,"Act1-ZombiePrisonUpper",0,[15],2,4,100,1,[416],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],56
38,"Act1-PrisonSpider",0,"[14,15]",2,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],59
39,"Act1-SkeletonBowPuncture",0,[15],2,4,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],40
40,"Act1-SkeletonCasterCold",0,[15],2,4,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],457
41,"Act1-SkeletonCasterLightning",0,[15],2,4,100,1,[416],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],473
42,"Act1-Hellion2",0,"[16,24]",2,6,0,0,[],"","[100,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],61
43,"Act1-GoatmanLightningLeapSlam",0,[16],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],52
44,"Act1-GoatmanShamanLightning",0,[16],2,3,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],471
45,"Act1-SandspitterEmergeClimb",0,[16],3,4,0,0,[],"",[20],"[""ClimbDownGround"",""ClimbDownTopGround"",""ClimbDownBottomGround""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],3
46,"Act1-RhoaBigPale",0,[17],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],10
47,"Act1-ZombieTar",0,"[17,18]",3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],58
48,"Act1-GhostPirateChampion",0,[17],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],63
49,"Act1-WaterElementalColdSnap",0,[17],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],5
50,"Act1-SpawnEmerge",0,[17],5,12,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
51,"Act1-GhostPirateBlackFlickerStrike",0,[18],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],63
52,"Act1-WaterElementalWaterNova",0,[18],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],5
53,"Act1-GhostPirateBlackBow",0,"[18,19]",3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],64
54,"Act1-Spawn2",0,[18],6,12,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
55,"Act1-ShieldCrab1VulnerabilityCurse",0,"[18,19]",3,6,0,0,[],"","[20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],19
56,"Act1-GhostPirateBlackManaBurn",0,[19],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],63
57,"Act1-SeaWitchScreech",0,"[19,20]",3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],44
58,"Act1-CrabCoastCavern",0,[19],5,12,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],4
59,"Act1-SeaWitchSpawn",0,[20],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],44
60,"Act1-SpawnCavern",0,[20],6,11,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
61,"Act1-SeaWitchSpawnExploding",0,[20],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
62,"Act1-SpawnKamikaze",0,[20],6,11,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],42
63,"Act1-SandSpitterLightningCavern",0,[20],3,6,0,0,[],"",[40],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],3
64,"Act1-ParasiticSquid",0,[20],3,6,0,0,[],"",[40],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],47
65,"Act2-MonkeyBlood",0,"[22,32]",3,5,100,1,[362],"","[100,20]",[],[],0,100,[],100,"",0,"",[],1,"","",1,[],94
66,"Act2-SnakeMeleeSpitForest",0,"[22,31,36]",3,5,0,0,[],"","[100,100,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],79
67,"Act2-InsectWild",0,[22],5,10,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],83
68,"Act2-MossMonsterEmerge",0,[23],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],102
69,"Act2-BeastCleaveEnduringCry",0,"[23,25,30,32,36]",2,4,0,0,[],"","[100,20,20,20,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],71
70,"Act2-ScarecrowFarmer",0,"[23,25]",4,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],112
71,"Act2-MonkeyBloodEnrage",0,"[23,30]",4,7,100,1,[366],"","[100,20]",[],[],0,100,[],100,"",0,"",[],1,"","",1,[],95
72,"Act2-SandLeaper2",0,"[23,24,25]",4,8,0,0,[],"","[100,100,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],111
73,"Act2-GoatmanLeapSlam",0,[23],3,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],51
74,"Act2-BanditBowKraitynSpecific",0,[23],3,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],85
75,"Act2-BeastCave",0,[24],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],71
76,"Act2-SpiderSmall",0,[24],5,9,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],122
77,"Act2-MossMonsterCave",0,[24],2,4,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],102
78,"Act2-MonkeyJuvenileThrow",0,"[24,30]",4,10,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],97
79,"Act2-BanditMeleeSwordKraitynSpecific",0,[25],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],84
80,"Act2-BanditBowBurningArrow",0,"[25,30]",3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],85
81,"Act2-SkeletonBowSplitArrow",0,[25],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],39
82,"Act2-MossMonsterEmergeRoll",0,"[25,40]",2,4,0,0,[],"","[100,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],102
83,"Act2-BanditMeleePunctureKraitynSpecific",0,[30],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],84
84,"Act2-MossMonsterRoll",0,[30],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],102
85,"Act2-PlagueWasp",0,[30],4,10,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],143
86,"Act2-SkeletonMelee2",0,[26],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],30
87,"Act2-SkeletonCasterFire4",0,[26],2,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],464
88,"Act2-SpiderScaleViperStrike3",0,"[26,27]",3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],118
89,"Act2-GhostPirateBlackManaBurn",0,[26],3,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],63
90,"Act2-SkeletonCasterCold",0,[26],2,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],456
91,"Act2-SkeletonMelee5",0,[27],2,5,100,1,[413],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],30
92,"Act2-SkeletonCasterFire3",0,[27],2,4,100,1,[413],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],464
93,"Act2-SkeletonCasterColdHigh",0,[27],2,4,100,1,[413],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],456
94,"Act2-ZombieMoldyPoison",0,[28],2,6,100,1,[407],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],92
95,"Act2-SpiderScaleViperStrike4",0,[28],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],118
96,"Act2-SpiderSmall2",0,[28],4,10,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],122
97,"Act2-SkeletonBowLightning4",0,"[28,29]",3,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],478
98,"Act2-SkeletonMeleeLightning2",0,[29],2,5,100,1,[418],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],475
99,"Act2-SkeletonCasterLightningSpark",0,[29],2,4,100,1,[418],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],472
100,"Act2-SpiderScaleViperStrike",0,"[29,32]",3,6,0,0,[],"","[20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],118
101,"Act2-SkeletonCasterLightning",0,[29],2,4,100,1,[418],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],472
102,"Act2-TwigMonster",0,"[31,33,36,37]",3,5,0,0,[],"","[100,20,20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],127
103,"Act2-DropBear",0,"[31,37]",2,4,0,0,[],"","[20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],78
104,"Act2-DropBearGround",0,"[31,37]",2,4,0,0,[],"","[20,100]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],78
105,"Act2-BanditMelee",0,[31],3,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],68
106,"Act2-MonkeyBloodEnrage2",0,[31],4,7,100,1,[367],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],96
107,"Act2-SnakeFlame",0,[32],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],79
108,"Act2-RootSpiderHiddenCave",0,[38],1,2,0,0,[],"",[20],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],107
109,"Act2-RootSpiderHidden",0,[32],1,2,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],107
110,"Act2-SpiderScale2",0,[32],4,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],119
111,"Act2-SpiderScale2Ground",0,[33],3,7,0,0,[],"",[100],"[""ForestSpiderTerritory"",""SpiderTreeTrim""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],119
112,"Act2-BanditMeleeChaos",0,[33],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],67
113,"Act2-BanditMeleeKamikaze",0,[33],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],67
114,"Act2-BanditCaster",0,[33],3,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],66
115,"Act2-BanditMeleePuncture",0,[33],3,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],68
116,"Act2-ScalySabreSpider",0,[34],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],113
117,"Act2-SpiderClimbDownViperStrike",0,[34],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],118
118,"Act2-SpiderSmall4",0,[34],3,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],122
