"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20320,0,11,100,1,6,1,1
1,20321,0,50,100,3,6,1,1
2,20372,0,11,100,1,6,1,1
3,20376,0,11,100,1,6,1,1
4,20377,0,11,100,1,6,1,1
5,20378,0,11,100,1,6,1,1
6,20379,0,11,100,1,6,1,1
7,20384,0,11,100,1,6,1,1
8,20387,150,11,100,1,3,1,1
9,20388,150,25,100,4,5,1,1
10,20389,75,68,100,6,7,1,1
11,20390,150,11,100,1,3,1,1
12,20391,150,25,100,4,5,1,1
13,20392,75,68,100,6,7,1,1
14,20393,150,11,100,1,3,1,1
15,20394,150,25,100,4,5,1,1
16,20395,75,68,100,6,7,1,1
17,20386,75,68,100,3,6,1,1
18,20396,150,40,100,1,3,1,1
19,20397,75,68,100,4,5,1,1
20,20385,37,68,100,6,7,1,1
21,20374,0,11,100,1,3,1,1
22,20398,0,25,100,4,5,1,1
23,20399,0,68,100,6,7,1,1
24,20400,0,68,100,6,7,1,1
25,20380,0,11,100,1,3,1,1
26,20401,0,25,100,4,5,1,1
27,20402,0,68,100,6,7,1,1
28,20375,150,11,100,1,3,1,1
29,20403,75,40,100,4,5,1,1
30,20404,37,68,100,6,7,1,1
31,20381,150,11,100,1,6,1,1
32,20382,75,68,100,4,7,1,1
33,20405,150,68,100,3,7,1,1
