"rownum","Id","HASH16","ModTypeKey","Level","StatsKey1","StatsKey2","StatsKey3","StatsKey4","Domain","Name","GenerationType","Families","Stat1Min","Stat1Max","Stat2Min","Stat2Max","Stat3Min","Stat3Max","Stat4Min","Stat4Max","SpawnWeight_TagsKeys","SpawnWeight_Values","TagsKeys","GrantedEffectsPerLevelKeys","[i32]","MonsterMetadata","MonsterKillAchievements","ChestModType","Stat5Min","Stat5Max","StatsKey5","FullAreaClear_AchievementItemsKey","AchievementItemsKey","GenerationWeight_TagsKeys","GenerationWeight_Values","ModifyMapsAchievements","IsEssenceOnlyModifier","Stat6Min","Stat6Max","StatsKey6","MaxLevel","bool","CraftingItemClassRestrictions","MonsterOnDeath","i32","[rid]","Heist_SubStatValue1","Heist_SubStatValue2","Heist_StatsKey0","Heist_StatsKey1","Heist_AddStatValue1","Heist_AddStatValue2","InfluenceTypes","ImplicitTagsKeys","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BuffTemplate","ArchnemesisMinionMod","HASH32","[rid]","i32","[rid]"
0,"Strength1",22100,368,1,573,"","","",1,"of the Brute",2,[118],8,12,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",-888300199,[],0,[]
1,"Strength2",53672,368,11,573,"","","",1,"of the Wrestler",2,[118],13,17,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1447528431,[],0,[]
2,"Strength3",27615,368,22,573,"","","",1,"of the Bear",2,[118],18,22,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",472807409,[],0,[]
3,"Strength4",49948,368,33,573,"","","",1,"of the Lion",2,[118],23,27,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",730523798,[],0,[]
4,"Strength5",34513,368,44,573,"","","",1,"of the Gorilla",2,[118],28,32,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",712944815,[],0,[]
5,"Strength6",7645,368,55,573,"","","",1,"of the Goliath",2,[118],33,37,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",-211685700,[],0,[]
6,"Strength7",13917,368,66,573,"","","",1,"of the Leviathan",2,[118],38,42,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1034750960,[],0,[]
7,"Strength8",4242,368,74,573,"","","",1,"of the Titan",2,[118],43,50,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2080074601,[],0,[]
8,"Strength9",49770,368,82,573,"","","",1,"of the Gods",2,[118],51,55,0,0,0,0,0,0,"[2,3,26,38,41,42,44,12,11,37,10,15,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1757850284,[],0,[]
9,"Strength10",18858,368,85,573,"","","",1,"of the Godslayer",2,[118],56,60,0,0,0,0,0,0,"[26,0]","[1000,0]",[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[634],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2127116131,[],0,[]
