"rownum","Width","Height","i32","Item"
0,1,1,0,5226
1,1,2,0,5227
2,1,3,0,5228
3,1,4,0,5229
4,2,1,0,5230
5,2,2,0,5231
6,2,3,0,5232
7,2,4,0,5233
8,3,1,0,5236
9,3,2,0,5234
10,3,3,0,5235
11,4,1,0,5237
12,1,1,1,5260
13,1,2,1,5261
14,1,3,1,5262
15,1,4,1,5263
16,2,1,1,5264
17,2,2,1,5265
18,2,3,1,5266
19,2,4,1,5267
20,3,1,1,5269
21,3,2,1,5268
22,4,1,1,5270
23,1,1,2,5238
24,1,2,2,5239
25,1,3,2,5240
26,1,4,2,5241
27,2,1,2,5242
28,2,2,2,5243
29,2,3,2,5244
30,2,4,2,5245
31,3,2,2,5246
32,3,1,2,5247
33,4,1,2,5248
34,1,1,3,5249
35,1,2,3,5250
36,1,3,3,5251
37,1,4,3,5252
38,2,1,3,5253
39,2,2,3,5254
40,2,3,3,5255
41,2,4,3,5256
42,3,2,3,5257
43,3,1,3,5258
44,4,1,3,5259
