"rownum","InfluenceMod","UpgradedMod","bool"
0,14935,24973,1
1,14936,24974,1
2,14937,14938,""
3,14938,24975,1
4,14939,14940,""
5,14940,24976,1
6,14941,14942,""
7,14942,24977,1
8,14943,24978,1
9,14945,24979,1
10,14947,14948,""
11,14948,24980,1
12,14949,14950,""
13,14950,24981,1
14,14951,24982,1
15,14952,14953,""
16,14953,24983,1
17,14954,14955,""
18,14955,24984,1
19,14956,14957,""
20,14957,24985,1
21,14958,14959,""
22,14959,24986,1
23,14960,14961,""
24,14961,24987,1
25,14962,14963,""
26,14963,24988,1
27,14964,14965,""
28,14965,24989,1
29,14966,14967,""
30,14967,24990,1
31,14968,14969,""
32,14969,24991,1
33,14970,14971,""
34,14971,24992,1
35,21099,21100,""
36,21100,24993,1
37,21175,21176,""
38,21176,24994,1
39,21177,24995,1
40,21181,21182,""
41,21182,24998,1
42,21183,24999,1
43,21184,21185,""
44,21185,25000,1
45,21186,21187,""
46,21187,25001,1
47,21188,21189,""
48,21189,25002,1
49,21190,25003,1
50,21191,25004,1
51,21192,21193,""
52,21193,21194,""
53,21194,25005,1
54,21195,21196,""
55,21196,25006,1
56,21197,25007,1
57,21198,21199,""
58,21199,25008,1
59,21200,21201,""
60,21201,25009,1
61,21202,25010,1
62,21203,21204,""
63,21204,25011,1
64,21205,25012,1
65,21206,25013,1
66,21207,25014,1
67,21208,21209,""
68,21209,25015,1
69,21210,25016,1
70,21211,21212,""
71,21212,25017,1
72,21213,21214,""
73,21214,25018,1
74,21215,21216,""
75,21216,25019,1
76,21217,21218,""
77,21218,25020,1
78,21219,21220,""
79,21220,25021,1
80,21221,25023,1
81,21222,25024,1
82,21223,21224,""
83,21224,25025,1
84,21225,21226,""
85,21226,25026,1
86,21227,21228,""
87,21228,25027,1
88,21229,21230,""
89,21230,25028,1
90,14868,14869,""
91,14869,14870,""
92,14870,25029,1
93,14871,14872,""
94,14872,14873,""
95,14873,25030,1
96,14874,14875,""
97,14875,25031,1
98,14876,14877,""
99,14877,14878,""
100,14878,25032,1
101,14879,14880,""
102,14880,14881,""
103,14881,25033,1
104,14885,14886,""
105,14886,14887,""
106,14887,25035,1
107,14888,14889,""
108,14889,14890,""
109,14890,25036,1
110,14891,14892,""
111,14892,14893,""
112,14893,25037,1
113,14894,14895,""
114,14895,14896,""
115,14896,25038,1
116,14897,14898,""
117,14898,14899,""
118,14899,25039,1
119,14900,14901,""
120,14901,14902,""
121,14902,25040,1
122,14903,14904,""
123,14904,25041,1
124,14905,25042,1
125,14906,14907,""
126,14907,14908,""
127,14908,25043,1
128,14909,14910,""
129,14910,14911,""
130,14911,25044,1
131,14912,14913,""
132,14913,14914,""
133,14914,25045,1
134,14915,14916,""
135,14916,14917,""
136,14917,25046,1
137,14918,14919,""
138,14919,14920,""
139,14920,25047,1
140,14921,14922,""
141,14922,25048,1
142,14923,14924,""
143,14924,25049,1
144,14925,14926,""
145,14926,25050,1
146,14927,14928,""
147,14928,14929,""
148,14929,25051,1
149,14930,14931,""
150,14931,14932,""
151,14932,25052,1
152,14933,25053,1
153,14934,25054,1
154,20988,20989,""
155,20989,25055,1
156,21095,21096,""
157,21096,25056,1
158,21101,21102,""
159,21102,25058,1
160,21103,25059,1
161,21104,21105,""
162,21105,25060,1
163,21106,21107,""
164,21107,25061,1
165,21108,25062,1
166,21109,21110,""
167,21110,21111,""
168,21111,25063,1
169,21112,21113,""
170,21113,21114,""
171,21114,25064,1
172,21115,21116,""
173,21116,21117,""
174,21117,25065,1
175,21118,25066,1
176,21119,21120,""
177,21120,25067,1
178,21121,21122,""
179,21122,21123,""
180,21123,25068,1
181,21124,21125,""
182,21125,25069,1
183,21126,25070,1
184,21127,21128,""
185,21128,21129,""
186,21129,25071,1
187,21130,21131,""
188,21131,25072,1
189,21132,25073,1
190,21133,21134,""
191,21134,21135,""
192,21135,25074,1
193,21136,21137,""
194,21137,25075,1
195,21138,21139,""
196,21139,25076,1
197,21140,25077,1
198,21141,25078,1
199,21142,21144,""
200,21144,25079,1
201,21146,21147,""
202,21147,25081,1
203,21148,21149,""
204,21149,25082,1
205,21150,21151,""
206,21151,25083,1
207,21152,21153,""
208,21153,25084,1
209,21154,21155,""
210,21155,21156,""
211,21156,25085,1
212,21157,21158,""
213,21158,21159,""
214,21159,25086,1
215,21160,21161,""
216,21161,21162,""
217,21162,25087,1
218,21163,21164,""
219,21164,21165,""
220,21165,25088,1
221,21166,21167,""
222,21167,21168,""
223,21168,25089,1
224,21169,25090,1
225,21170,21171,""
226,21171,25091,1
227,21172,25092,1
228,21173,25093,1
229,21174,25094,1
230,14805,14806,""
231,14806,14807,""
232,14807,25095,1
233,14808,14809,""
234,14809,14810,""
235,14810,25096,1
236,14811,14812,""
237,14812,14813,""
238,14813,25097,1
239,14814,25098,1
240,14815,14816,""
241,14816,14817,""
242,14817,25099,1
243,14818,14819,""
244,14819,14820,""
245,14820,25100,1
246,14821,14822,""
247,14822,14823,""
248,14823,25101,1
249,14824,25102,1
250,14829,14830,""
251,14830,14831,""
252,14831,25105,1
253,14832,14833,""
254,14833,14834,""
255,14834,25106,1
256,14835,14836,""
257,14836,14837,""
258,14837,25107,1
259,14838,14839,""
260,14839,14840,""
261,14840,25108,1
262,14841,14842,""
263,14842,14843,""
264,14843,25109,1
265,14844,14845,""
266,14845,14846,""
267,14846,25110,1
268,14847,14848,""
269,14848,14849,""
270,14849,25111,1
271,14850,14851,""
272,14851,25112,1
273,14854,14855,""
274,14855,14856,""
275,14856,25113,1
276,14857,14858,""
277,14858,25114,1
278,14859,14860,""
279,14860,14861,""
280,14861,25115,1
281,14862,14863,""
282,14863,14864,""
283,14864,25116,1
284,14865,14866,""
285,14866,14867,""
286,14867,25117,1
287,18332,18333,""
288,18333,25118,1
289,18346,18347,""
290,18347,25119,1
291,18361,18362,""
292,18362,25120,1
293,18377,18378,""
294,18378,25121,1
295,20979,20980,""
296,20980,20981,""
297,20981,25122,1
298,21024,21025,""
299,21025,25123,1
300,21028,21029,""
301,21029,25125,1
302,21030,21031,""
303,21031,25126,1
304,21032,21033,""
305,21033,25127,1
306,21034,25128,1
307,21035,25129,1
308,21036,21037,""
309,21037,21038,""
310,21038,25130,1
311,21039,21040,""
312,21040,21041,""
313,21041,25131,1
314,21042,25132,1
315,21043,21044,""
316,21044,21045,""
317,21045,25133,1
318,21046,21047,""
319,21047,21048,""
320,21048,25134,1
321,21049,21050,""
322,21050,21051,""
323,21051,25135,1
324,21052,21053,""
325,21053,21054,""
326,21054,25136,1
327,21055,25137,1
328,21056,21057,""
329,21057,25138,1
330,21058,25139,1
331,21059,21060,""
332,21060,25140,1
333,21061,21062,""
334,21062,25141,1
335,21063,21064,""
336,21064,25142,1
337,21065,21066,""
338,21066,25143,1
339,21067,21068,""
340,21068,25144,1
341,21069,21070,""
342,21070,21071,""
343,21071,25145,1
344,21072,21073,""
345,21073,25146,1
346,21074,21075,""
347,21075,25147,1
348,21076,25148,1
349,21077,25149,1
350,21078,25150,1
351,21079,25151,1
352,21080,21081,""
353,21081,25152,1
354,21083,21084,""
355,21084,25153,1
356,21085,21086,""
357,21086,25154,1
