"rownum","StatsKey","MonsterPacksKeys"
0,16727,"[1861,1877,1878]"
1,16728,"[1867,1877,1878]"
2,16729,"[1873,1877,1878]"
3,16730,"[1874,1877,1878]"
4,16731,"[1875,1877,1878]"
5,1016,"[724,725,726,727,728,729,730,731,868]"
6,1015,"[780,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,818,923,942,947,1021,1025,819,820,821,822,823,1054,1055,1056]"
7,1017,"[746,747,748,749,750]"
8,1018,"[789,790,791,792,793,794,830]"
9,1019,"[767,768,769,770,771,772,773,903,904,905]"
10,1020,"[740,782,783,784,789,807,847,848,849,868,869,870,871,872,873,874,914,956,963]"
11,2009,"[738,745,756,774,829,906,928,937,939,754,1028,1030,1031,1032,1038]"
12,2010,"[880,881,882,883,884]"
13,5282,"[963,964,965,966,967,968,969]"
14,2011,"[787,977,959,920,921,922]"
15,5601,"[831,832,833,834,835,836,837,838,839]"
16,5602,"[875,876,877,878]"
17,6292,"[1006,1007,1008,1009,1014,1015,1016,1017,1018,893,892]"
18,6293,"[1010,1011,1012,1013,1022,1023,1024,1027,890]"
19,6294,"[741,742,743,982,998,999,1040,744]"
20,6857,"[975,976,977,978,979,980,1047,1043,1044,1045,1046,1042,1064,1065]"
21,7957,"[840,841,842,843,844,845,846,847,848,849,850]"
22,19130,"[925,1003,1491]"
23,19148,"[2928,2929]"
24,19150,"[2930,2931]"
