"rownum","Id","ExorciseIcon","Name","i32","IllustratuionIcon","TextAudioLong","Achievements","TextAudioShort","rid"
0,"Helmet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconHelmet","Helmet",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationHelmet",16988,10304,17040,25
1,"BodyArmour","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBodyArmour","Body Armour",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBodyArmour",16990,10298,17042,24
2,"Gloves","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconGloves","Gloves",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGloves",16991,10303,17043,22
3,"Boots","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBoots","Boots",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBoots",16993,10299,17045,23
4,"Shield","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconShield","Shield",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationShield",16995,10308,17047,26
5,"Belt","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBelt","Belt",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBelt",16997,10297,17049,21
6,"Amulet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAmulet","Amulet",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",16999,10295,17051,4
7,"Ring","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Ring",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing",17001,10307,17053,5
8,"Dagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconDagger","Dagger",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationDagger",17003,10302,17055,7
9,"RuneDagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRuneDagger","Rune Dagger",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRuneDagger",17003,10302,17055,56
10,"Bow","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBow","Bow",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBow",17009,10300,17061,13
11,"Quiver","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconQuiver","Quiver",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationQuiver",17015,10306,17067,20
12,"OneHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandMace","One-Handed Mace",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandMace",17021,10305,17073,12
13,"Sceptre","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconMace","Sceptre",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationSceptre",17021,10305,17073,32
14,"TwoHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandMace","Two-Handed Mace",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandMace",17021,10305,17073,17
15,"OneHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandAxe","One-Handed Axe",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandAxe",17023,10296,17075,11
16,"TwoHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAxe","Two-Handed Axe",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandAxe",17023,10296,17075,16
17,"OneHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandSword","One-Handed Sword",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandSword",17019,10310,17071,9
18,"TwoHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandSword","Two-Handed Sword",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandSword",17019,10310,17071,15
19,"Staff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconStaff","Staff",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationStaff",17025,10309,17077,14
20,"Warstaff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWarStaff","Warstaff",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWarStaff",17025,10309,17077,57
21,"Claw","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconClaw","Claw",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationClaw",17027,10301,17079,6
22,"Wand","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWand","Wand",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWand",17028,10311,17080,8
23,"PerandusUnique","","Perandus",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPerandus",17030,"",17030,""
24,"PhreciaUnique","","Phrecia",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPhrecia",17032,"",17032,""
25,"VerusoUnique","","Veruso",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationVeruso",17034,"",17034,""
26,"NevaliusUnique","","Nevalius",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationNavalius",17036,"",17036,""
27,"GrattusUnique","","Grattus",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGrattus",17038,"",17038,""
28,"Talisman","","Talisman",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",16999,10295,17051,""
