"rownum","ModsKey","i32","i32","i32"
0,22655,2,9,100
1,22656,10,14,100
2,22657,15,20,100
3,22665,21,30,50
4,22658,2,9,100
5,22659,10,14,100
6,22660,15,30,100
7,22571,15,30,10
8,22572,15,30,10
9,22573,15,30,10
10,22574,10,14,0
11,22575,15,30,0
12,22576,10,14,0
13,22577,15,30,0
14,22578,10,14,0
15,22579,15,30,0
16,22580,10,14,20
17,22581,15,30,20
18,22582,5,14,35
19,22583,15,30,35
20,22584,5,9,50
21,22585,10,15,50
22,22586,15,30,50
23,22587,2,9,25
24,22588,10,14,25
25,22589,15,20,25
26,22670,21,30,25
27,22590,5,9,25
28,22591,10,14,25
29,22592,15,30,25
30,22593,5,9,25
31,22594,10,14,25
32,22595,15,30,25
33,22596,2,9,25
34,22597,10,14,25
35,22598,15,20,25
36,22671,21,30,25
37,22599,5,9,25
38,22600,10,14,25
39,22601,15,30,25
40,22602,5,9,25
41,22603,10,14,25
42,22604,15,30,25
43,22605,2,9,25
44,22606,10,14,25
45,22607,15,20,25
46,22668,21,30,25
47,22608,5,9,25
48,22609,10,14,25
49,22610,15,30,25
50,22611,5,9,25
51,22612,10,14,25
52,22613,15,30,25
53,22614,2,9,25
54,22615,10,14,25
55,22616,15,20,25
56,22669,21,30,25
57,22617,10,14,25
58,22618,15,17,25
59,22619,15,30,25
60,22620,5,9,25
61,22621,10,14,25
62,22622,15,30,25
63,22623,2,9,25
64,22624,10,14,25
65,22625,15,20,25
66,22672,21,30,25
67,22626,10,14,25
68,22627,15,17,25
69,22628,18,30,25
70,22629,10,14,20
71,22630,15,30,20
72,22631,2,9,20
73,22632,10,14,20
74,22633,15,30,20
75,22634,10,14,10
76,22635,15,17,10
77,22636,15,30,10
78,22637,2,9,100
79,22638,10,14,100
80,22639,15,30,100
81,22640,10,14,25
82,22641,15,30,25
83,22642,10,14,25
84,22643,15,30,25
85,22644,10,14,25
86,22645,15,30,25
87,22646,10,14,0
88,22647,15,30,0
89,22648,10,14,10
90,22649,15,20,10
91,22667,21,30,10
92,22650,10,14,10
93,22651,15,30,10
94,22652,2,9,30
95,22653,10,14,30
96,22654,15,30,30
97,22661,2,9,40
98,22662,10,14,40
99,22663,15,20,40
100,22666,21,30,40
