"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","i32","i32","i32","bool"
0,7676,[8296],"[1583,7005]",134,"","","","",1,"",1,100,1,""
1,7677,[8296],"[1583,7005]",134,"","","","",1,"",1,100,1,""
2,7678,[8296],"[1583,7005]",134,"","","","",1,"",1,100,1,""
3,7679,[8296],"[1583,7005]",134,"","","","",1,"",1,100,1,""
4,7681,[8297],[1583],134,"","","","",1,"",1,100,1,""
5,7682,[8297],[1583],134,"","","","",1,"",1,100,1,""
6,7683,[8297],[1583],134,"","","","",1,"",1,100,1,""
7,7684,[8297],[1583],134,"","","","",1,"",1,100,1,""
8,7691,[8300],[],134,"","","","",1,"",1,100,1,""
9,7692,[8300],[],134,"","","","",1,"",1,100,1,""
10,7693,[8300],[],134,"","","","",1,"",1,100,1,""
11,7694,[8300],[],134,"","","","",1,"",1,100,1,""
12,7696,[8301],[],134,"","","","",1,"",1,100,1,""
13,7697,[8301],[],134,"","","","",1,"",1,100,1,""
14,7698,[8301],[],134,"","","","",1,"",1,100,1,""
15,7699,[8301],[],134,"","","","",1,"",1,100,1,""
16,7701,[8302],[],134,"","","","",1,"",1,100,1,""
17,7702,[8302],[],134,"","","","",1,"",1,100,1,""
18,7703,[8302],[],134,"","","","",1,"",1,100,1,""
19,7704,[8302],[],134,"","","","",1,"",1,100,1,""
20,7706,[8303],[],134,"","","","",1,"",1,100,1,""
21,7707,[8303],[],134,"","","","",1,"",1,100,1,""
22,7708,[8303],[],134,"","","","",1,"",1,100,1,""
23,7709,[8303],[],134,"","","","",1,"",1,100,1,""
24,7711,[8304],[],134,"","","","","","",1,100,1,""
25,9864,[18446],[7006],1,1,"","","","","",1,100,1,""
26,9865,[18447],[7006],1,1,"","","","","",1,100,1,""
27,9866,[18448],[7006],1,1,"","","","","",1,100,1,""
28,9867,[18449],"[7006,7144]",1,1,"","","","","",1,100,1,""
29,9868,[18450],[],24,1,"","","","","",1,100,4,""
30,9869,[18451],[],25,1,"","","","","",1,100,1,""
31,9870,[18452],[],26,1,"","","","","",1,100,1,""
32,9871,[18453],[],27,1,"","","","","",1,100,2,""
33,9872,[18454],[],28,1,"","","","","",1,100,1,""
34,9873,[18455],[7006],2,1,"","","","","",1,100,1,""
35,9874,[18456],[7006],2,1,"","","","","",1,100,1,""
36,9875,[18457],[7006],2,1,"","","","","",1,100,1,""
37,9876,[18458],"[7006,7145]",2,1,"","","","","",1,100,1,""
38,9877,[18459],[],29,1,"","","","","",1,100,2,""
39,9878,[18460],[],30,1,"","","","","",1,100,1,""
40,9881,[18461],[],31,1,"","","","","",1,100,2,""
41,9880,[18462],[],32,1,"","","","","",1,100,1,""
42,9879,[18463],[],33,1,"","","","","",1,100,1,""
43,9882,[18464],[7006],3,1,"","","","","",1,100,1,""
44,9883,[18465],[7006],3,1,"","","","","",1,100,1,""
45,9884,[18466],[7006],3,1,"","","","","",1,100,1,""
46,9885,[18467],"[7006,7146]",3,1,"","","","","",1,100,1,""
47,9886,[18468],[],3,1,"","","","","",1,100,2,""
48,9887,[18469],[],101,1,"","","","","",1,100,1,""
49,9888,[18470],[],102,1,"","","","","",1,100,1,""
50,9889,[18471],[7006],0,1,"","","","","",1,100,1,""
51,9890,[18472],[7006],0,1,"","","","","",1,100,1,""
52,9891,[18473],[7006],0,1,"","","","","",1,100,1,""
53,9892,[18474],"[7006,7147]",0,1,"","","","","",1,100,1,""
54,9893,[18475],[7006],0,1,"","","","","",1,100,1,""
55,9894,[18476],[7006],0,1,"","","","","",1,100,1,""
56,9895,[18477],[7006],0,1,"","","","","",1,100,1,""
57,9896,[18478],[7006],0,1,"","","","","",1,100,1,""
