"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","i32","i32","i32","[rid]","i32","i32","rid","i32","i32","i32","i32","bool","bool","bool","bool"
0,0,"[2449,2450,2451,2452]","",[],0,0,72,0,[],0,0,17315,20,20,15,15,"","","",""
1,1,"[2449,2450,2451,2452]","",[],0,0,72,0,[],0,0,17315,30,30,20,20,"","","",""
2,2,"[2449,2450,2451,2452]","",[],0,0,72,0,[],0,0,17315,40,40,25,25,"","","",""
3,3,"[2453,2454,2455,2456,2457]","",[],0,0,72,0,[],0,0,17315,20,20,15,15,"","","",""
4,4,"[2453,2454,2455,2456,2457]","",[],0,0,72,0,[],0,0,17315,30,30,20,20,"","","",""
5,5,"[2453,2454,2455,2456,2457]","",[],0,0,72,0,[],0,0,17315,40,40,25,25,"","","",""
6,6,"[2458,2459,2460,2461,2462]","",[],0,0,72,0,[],0,0,17315,20,20,15,15,"","","",""
7,7,"[2458,2459,2460,2461,2462]","",[],0,0,72,0,[],0,0,17315,30,30,20,20,"","","",""
8,8,"[2458,2459,2460,2461,2462]","",[],0,0,72,0,[],0,0,17315,40,40,25,25,"","","",""
9,9,"[2463,2464,2465]","",[],0,0,72,0,[],0,0,17315,20,20,15,15,"","","",""
10,10,"[2463,2464,2465]","",[],0,0,72,0,[],0,0,17315,30,30,20,20,"","","",""
11,11,"[2463,2464,2465]","",[],0,0,72,0,[],0,0,17315,40,40,25,25,"","","",""
12,12,[2466],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
13,13,[2467],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
14,14,[2468],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
15,15,[2469],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
16,16,[],"",[10798],0,0,72,0,[15],0,0,"",0,0,0,0,"","","",""
17,17,[2470],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
18,18,[2471],"",[],0,0,72,0,[],0,0,"",4,4,4,4,"","","",""
19,19,[2472],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
20,20,[],1447,[],5,0,956,0,[],0,0,"",0,0,0,0,"","","",""
21,21,[],1448,[],7,0,976,0,[],0,0,"",0,0,0,0,"","","",""
22,22,[],1449,[],4,0,1004,0,[],0,0,"",0,0,0,0,"","","",""
23,23,[],1450,[],5,0,1020,0,[],0,0,"",0,0,0,0,"","","",""
24,25,[],"",[],0,0,72,0,[],70,100,16124,3,3,3,3,1,"","",""
25,26,[],"",[],0,0,72,0,[],70,100,16124,3,3,3,3,1,"","",""
26,27,[],"",[],0,0,72,0,[],0,0,16124,8,18,8,18,1,"","",""
27,28,[],"",[],0,0,72,0,[],0,0,16124,10,23,10,20,1,"","",""
28,29,[],"",[],0,0,72,0,[],0,0,16124,12,28,12,22,1,"","",""
29,30,[],"",[],0,0,72,0,[],0,0,16124,14,32,14,24,1,"","",""
30,31,[],"",[],0,0,72,0,[],0,0,16124,16,36,16,26,1,"","",""
31,32,[],"",[],0,0,72,0,[],0,0,16124,18,48,18,28,1,"","",""
32,33,[],"",[],0,0,72,0,[],0,0,16124,20,60,20,30,1,"","",""
33,34,[],"",[],0,0,72,0,[],0,0,16124,20,60,20,30,1,"","",""
34,35,[],"",[],0,0,72,0,[],70,100,16125,3,3,3,3,1,"","",""
35,36,[],"",[],0,0,72,0,[],70,100,16125,3,3,3,3,1,"","",""
36,37,[],"",[],0,0,72,0,[],0,0,16125,8,18,8,18,1,"","",""
37,38,[],"",[],0,0,72,0,[],0,0,16125,10,23,10,20,1,"","",""
38,39,[],"",[],0,0,72,0,[],0,0,16125,12,28,12,22,1,"","",""
39,40,[],"",[],0,0,72,0,[],0,0,16125,14,32,14,24,1,"","",""
40,41,[],"",[],0,0,72,0,[],0,0,16125,16,36,16,26,1,"","",""
41,42,[],"",[],0,0,72,0,[],0,0,16125,18,48,18,28,1,"","",""
42,43,[],"",[],0,0,72,0,[],0,0,16125,20,60,20,30,1,"","",""
43,44,[],"",[],0,0,72,0,[],0,0,16125,20,60,20,30,1,"","",""
