"rownum","Id","i32","Stats","StatsValues","CraftingItemType","i32","CorpsesNotConsumed","CraftingItemTypes","Achievements","MatchingMonsters"
0,"NULL",0,[],[],"",0,"",[],[],0
1,"DoesNothing",1,[],[],"",0,"",[],[],0
2,"AdditionalExplicitMod",3,[19743],[1],"",0,"",[],[],0
3,"MinusExplicitMod",4,[19743],[-1],"",0,"",[],[],0
4,"Quality",5,[19745],[5],"",0,"",[],[],0
5,"Fracture",6,[19746],[25],"",0,"",[],"[10315,10329]",0
6,"MorePhysicalModWeighting1",7,[19894],[200],"",0,"",[],"[10319,10333]",0
7,"MorePhysicalModWeighting2",8,[19894],[500],"",0,"",[],"[10319,10333]",0
8,"MoreFireModWeighting1",9,[19895],[200],"",0,"",[],"[10319,10333]",0
9,"MoreFireModWeighting2",10,[19895],[500],"",0,"",[],"[10319,10333]",0
10,"MoreColdModWeighting1",11,[19896],[200],"",0,"",[],"[10319,10333]",0
11,"MoreColdModWeighting2",12,[19896],[500],"",0,"",[],"[10319,10333]",0
12,"MoreLightningModWeighting1",13,[19897],[200],"",0,"",[],"[10319,10333]",0
13,"MoreLightningModWeighting2",14,[19897],[500],"",0,"",[],"[10319,10333]",0
14,"MoreChaosModWeighting1",15,[19898],[200],"",0,"",[],"[10319,10333]",0
15,"MoreChaosModWeighting2",16,[19898],[500],"",0,"",[],"[10319,10333]",0
16,"MoreLifeModWeighting1",17,[19899],[200],"",0,"",[],"[10319,10333]",0
17,"MoreLifeModWeighting2",18,[19899],[500],"",0,"",[],"[10319,10333]",0
18,"MoreManaModWeighting1",19,[19900],[200],"",0,"",[],"[10319,10333]",0
19,"MoreManaModWeighting2",20,[19900],[500],"",0,"",[],"[10319,10333]",0
20,"MoreAttackModWeighting1",21,[19901],[100],"",0,"",[],"[10319,10333]",0
21,"MoreAttackModWeighting2",22,[19901],[300],"",0,"",[],"[10319,10333]",0
22,"MoreCasterModWeighting1",23,[19902],[100],"",0,"",[],"[10319,10333]",0
23,"MoreCasterModWeighting2",24,[19902],[300],"",0,"",[],"[10319,10333]",0
24,"MoreElementalModWeighting1",25,[19933],[100],"",0,"",[],"[10319,10333]",0
25,"MoreElementalModWeighting2",26,[19933],[300],"",0,"",[],"[10319,10333]",0
26,"MoreDefencesModWeighting1",27,[19934],[200],"",0,"",[],"[10319,10333]",0
27,"MoreDefencesModWeighting2",28,[19934],[500],"",0,"",[],"[10319,10333]",0
28,"MoreCriticalModWeighting1",29,[19935],[200],"",0,"",[],"[10319,10333]",0
29,"MoreCriticalModWeighting2",30,[19935],[500],"",0,"",[],"[10319,10333]",0
30,"MoreSpeedModWeighting1",31,[19936],[200],"",0,"",[],"[10319,10333]",0
31,"MoreSpeedModWeighting2",32,[19936],[500],"",0,"",[],"[10319,10333]",0
32,"MoreAttributeModWeighting1",33,[19937],[200],"",0,"",[],"[10319,10333]",0
33,"MoreAttributeModWeighting2",34,[19937],[500],"",0,"",[],"[10319,10333]",0
34,"MoreResistanceModWeighting1",35,[19938],[200],"",0,"",[],"[10319,10333]",0
35,"MoreResistanceModWeighting2",36,[19938],[500],"",0,"",[],"[10319,10333]",0
36,"MoreGemModWeighting1",37,[19939],[200],"",0,"",[],"[10319,10333]",0
37,"MoreGemModWeighting2",38,[19939],[500],"",0,"",[],"[10319,10333]",0
38,"MoreMinionModWeighting1",39,[19940],[200],"",0,"",[],"[10319,10333]",0
39,"MoreMinionModWeighting2",40,[19940],[500],"",0,"",[],"[10319,10333]",0
40,"RarerPhysicalModWeighting1",41,[19956],[100],"",0,"",[],"[10323,10337]",0
41,"RarerPhysicalModWeighting2",42,[19956],[300],"",0,"",[],"[10323,10337]",0
42,"RarerFireModWeighting1",43,[19957],[100],"",0,"",[],"[10323,10337]",0
43,"RarerFireModWeighting2",44,[19957],[300],"",0,"",[],"[10323,10337]",0
44,"RarerColdModWeighting1",45,[19958],[100],"",0,"",[],"[10323,10337]",0
45,"RarerColdModWeighting2",46,[19958],[300],"",0,"",[],"[10323,10337]",0
46,"RarerLightningModWeighting1",47,[19959],[100],"",0,"",[],"[10323,10337]",0
47,"RarerLightningModWeighting2",48,[19959],[300],"",0,"",[],"[10323,10337]",0
48,"RarerChaosModWeighting1",49,[19960],[100],"",0,"",[],"[10323,10337]",0
49,"RarerChaosModWeighting2",50,[19960],[300],"",0,"",[],"[10323,10337]",0
50,"RarerLifeModWeighting1",51,[19961],[100],"",0,"",[],"[10323,10337]",0
51,"RarerLifeModWeighting2",52,[19961],[300],"",0,"",[],"[10323,10337]",0
52,"RarerManaModWeighting1",53,[19962],[100],"",0,"",[],"[10323,10337]",0
53,"RarerManaModWeighting2",54,[19962],[300],"",0,"",[],"[10323,10337]",0
54,"RarerAttackModWeighting1",55,[19963],[50],"",0,"",[],"[10323,10337]",0
55,"RarerAttackModWeighting2",56,[19963],[150],"",0,"",[],"[10323,10337]",0
56,"RarerCasterModWeighting1",57,[19964],[50],"",0,"",[],"[10323,10337]",0
57,"RarerCasterModWeighting2",58,[19964],[150],"",0,"",[],"[10323,10337]",0
58,"RarerElementalModWeighting1",59,[19965],[50],"",0,"",[],"[10323,10337]",0
59,"RarerElementalModWeighting2",60,[19965],[150],"",0,"",[],"[10323,10337]",0
60,"RarerDefencesModWeighting1",61,[19966],[100],"",0,"",[],"[10323,10337]",0
61,"RarerDefencesModWeighting2",62,[19966],[300],"",0,"",[],"[10323,10337]",0
62,"RarerCriticalModWeighting1",63,[19967],[100],"",0,"",[],"[10323,10337]",0
63,"RarerCriticalModWeighting2",64,[19967],[300],"",0,"",[],"[10323,10337]",0
64,"RarerSpeedModWeighting1",65,[19968],[100],"",0,"",[],"[10323,10337]",0
65,"RarerSpeedModWeighting2",66,[19968],[300],"",0,"",[],"[10323,10337]",0
66,"RarerAttributeModWeighting1",67,[19969],[100],"",0,"",[],"[10323,10337]",0
67,"RarerAttributeModWeighting2",68,[19969],[300],"",0,"",[],"[10323,10337]",0
