"rownum","Id","rid","i32","[i32]","bool","bool","i32","i32","i32","bool"
0,"pitbull",684,2,[],"","",0,50,8,""
1,"pitbullB",684,2,[],"","",0,50,12,1
2,"pitbull_m1",684,4,[],"","",75,10,12,""
3,"pitbull_m2",684,3,[],"","",35,20,10,""
4,"pitbull_rs",684,4,[],1,"",0,10,16,""
5,"pitbull_re",684,4,[],"",1,0,10,8,""
6,"cockerel",685,2,[],"","",0,50,8,""
7,"cockerelB",685,2,[],"","",0,50,12,1
8,"cockerel_m1",685,4,[],"","",75,15,10,""
9,"cockerel_m2",685,6,[],"","",40,10,20,1
10,"cockerel_rs",685,4,[],1,"",0,4,16,""
11,"cockerel_re",685,4,[],"",1,0,12,8,""
12,"cockerel_reB",685,4,[],"",1,0,12,14,1
13,"cockerelbow",686,2,[],"","",0,50,8,""
14,"cockerelbowB",686,2,[],"","",0,50,12,1
15,"cockerelbow_m1",686,4,[],"","",75,15,10,""
16,"cockerelbow_m2",686,6,[],"","",40,10,20,1
17,"cockerelbow_rs",686,4,[],1,"",0,4,16,""
18,"cockerelbow_re",686,4,[],"",1,0,12,8,""
19,"cockerelbow_reB",686,4,[],"",1,0,12,14,1
