"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20933,"Quality (Elemental Damage Modifiers)",286,0
1,20934,"Quality (Caster Modifiers)",287,1
2,20935,"Quality (Attack Modifiers)",288,2
3,20936,"Quality (Defence Modifiers)",289,3
4,20937,"Quality (Life and Mana Modifiers)",290,4
5,20938,"Quality (Resistance Modifiers)",291,5
6,20939,"Quality (Attribute Modifiers)",292,6
7,20940,"Quality (Physical and Chaos Damage Modifiers)",293,7
8,20941,"Quality (Speed Modifiers)",294,8
9,20942,"Quality (Critical Modifiers)",295,9
