"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9557,7133,2,[9790],1,"","",""
1,1,9560,7139,0,[9791],"","","",""
2,2,9562,7145,0,[9792],"","","",""
3,3,9564,7135,0,[],"","","",""
4,4,9565,7144,2,[9793],"","","",""
5,5,9568,7146,1,[9794],"","","",""
6,6,9570,7137,1,[9795],"","","",""
7,7,9572,7136,0,[],"","","",""
8,8,9574,7136,0,[9796],"","","",""
9,9,9554,7146,1,[9797],"","","",""
10,10,9576,7144,2,[9798],"","","",""
11,11,9578,7134,1,[9799],"","","",""
12,12,9580,7135,1,[9800],"","","",""
13,13,9583,7137,1,[9801],"","","",""
14,14,9585,7136,0,[9802],"","","",""
15,15,9587,7144,1,[9803],"","","",""
16,16,9589,7137,2,[9804],"","","",""
17,17,9592,7144,2,[9805],"","","",""
18,18,9595,7139,0,[9806],"","","",""
19,19,9597,7137,0,[9807],"","","",""
20,20,9553,7092,3,[],"","","",""
21,21,9599,7136,0,[9808],"","","",""
22,22,9601,7137,1,[9809],"","","",""
23,23,9603,7144,2,[9810],"","","",""
24,24,9605,7144,2,[9811],"","","",""
25,25,9609,7144,2,[9812],"","","",""
26,26,9611,7136,0,[9813],"","","",""
27,27,9615,7144,2,[9814],"","","",""
28,28,9618,7136,0,[9815],"","","",""
29,29,9620,7137,1,[9816],"","","",""
30,30,9622,7144,2,[9817],"","","",""
31,31,9624,7137,1,[9818],"","","",""
32,32,9626,7137,1,[9819],"","","",""
33,33,9630,7136,0,[9820],"","","",""
34,47,9640,7092,3,[],"","","",""
35,48,9643,7092,3,[],"","","",""
36,49,9646,7135,0,[],"","","",""
37,50,9647,7092,3,[],"","","",""
38,51,9650,7092,3,[9821],"","","",""
39,52,9653,7135,0,[],"","","",""
40,53,9655,7136,0,[],"","","",""
41,54,9662,7092,3,[],"","","",""
42,55,9665,7092,3,[],"","","",""
43,56,9668,7092,3,[],"","","",""
44,57,9671,7092,3,[],"","","",""
45,58,9674,7092,3,[],"","","",""
46,59,9677,7092,3,[9822],"","","",""
