"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues","bool","bool","bool","bool"
0,"InnerTreasure",[7189],"",[],[],[],"","","",""
1,"DropVaalItem",[7196],"",[],[],[],"","","",""
2,"AlwaysIgnite",[],"",[],"[4987,610]","[1,100]","","","",""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],"","","",""
4,"Maimed",[],497,"[-30,1]",[],[],"","","",""
5,"AlwaysShock",[],"",[],"[4986,658]","[1,100]","","","",""
6,"TormentedExperimenterPossess","[9067,9158,9243,9245]","",[],[],[],"","","",""
7,"TormentedBlasphemerPossess","[9070,9156,9243,9245]","",[],[],[],"","","",""
8,"TormentedNecromancerPossess","[9073,9158,9243,9245]","",[],[],[],"","","",""
9,"TormentedArsonistPossess","[9076,9158,9243,9245]","",[],[],[],"","","",""
10,"TormentedThiefPossess","[9105,9159,9243,9245]","",[],[],[],"","","",""
11,"TormentedMutilatorPossess","[9118,9158,9243,9245]","",[],[],[],"","","",""
12,"TormentedCharlatanPossess","[9086,9158,9243,9245]","",[],[],[],"","","",""
13,"TormentedCannibalPossess","[9111,9158,9243,9245]","",[],[],[],"","","",""
14,"TormentedPoisonerPossess","[9079,9158,9243,9245]","",[],[],[],"","","",""
15,"TormentedCorrupterPossess","[9082,9159,9243,9245]","",[],[],[],"","","",""
16,"TormentedThugPossess","[9089,9156,9243,9245]","",[],[],[],"","","",""
17,"TormentedRoguePossess","[9092,9156,9093,9243,9245]","",[],[],[],"","","",""
18,"TormentedFishermanPossess","[9095,9159,9243,9245]","",[],[],[],"","","",""
19,"TormentedLibrarianPossess","[9098,9159,9243,9245]","",[],[],[],"","","",""
20,"TormentedCutthroatPossess","[9102,9156,9243,9245]","",[],[],[],"","","",""
21,"TormentedSpyPossess","[9108,9156,9243,9245]","",[],[],[],"","","",""
22,"TormentedMartyrPossess","[9115,9158,9243,9245]","",[],[],[],"","","",""
23,"TormentedEmbezzlerPossess","[9121,9159,9243,9245]","",[],[],[],"","","",""
24,"TormentedCounterfeiterPossess","[9127,9158,9243,9245]","",[],[],[],"","","",""
25,"TormentedWarlordPossess","[9130,9156,9243,9245]","",[],[],[],"","","",""
26,"TormentedFreezerPossess","[9134,9158,9243,9245]","",[],[],[],"","","",""
27,"TormentedSmugglerPossess","[9138,9136,9159,9243,9245]","",[],[],[],"","","",""
28,"MapSupporterEssenceDaemon","[35540,35541,35542,35543,35544,35545,35546,35547,35548]","",[],[],[],1,"","",""
29,"MonsterSupporterEnrageDaemon",[35549],"",[],[],[],"","","",""
30,"MonsterUberMapShaperTouched",[5838],"",[],[],[],"","","",""
31,"MonsterScarabUberScarab5",[18644],"",[],[],[],"","","",""
