"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7624,7,0,0,0,0,1,1,"","",""
1,42,7625,6,0,0,1,3,1,1,"","",""
2,43,7626,1,0,0,0,0,1,1,"","",""
3,44,7627,2,0,0,0,0,1,1,"","",""
4,45,7628,2,1,0,0,0,1,1,"","",""
5,47,7629,2,2,0,0,0,1,1,"","",""
6,48,7630,9,0,0,0,0,1,1,"","",""
7,49,7631,1,1,0,0,0,"","","","",""
8,50,7632,15,0,0,0,0,1,1,"","",""
9,51,7633,4,0,0,0,0,1,1,"","",""
10,52,7634,9,2,0,0,0,1,1,"","",""
11,53,7635,6,2,0,2,3,1,1,"","",""
12,54,7636,16,0,0,0,0,1,1,"","",""
13,55,7637,16,2,0,0,0,1,1,"","",""
14,56,7638,9,4,0,0,0,1,1,"","",""
15,58,7640,8,0,0,0,0,1,1,"","",""
16,59,7641,8,2,0,0,0,1,1,"","",""
17,60,7643,6,4,0,0,0,1,1,"","",""
18,61,7644,6,6,0,0,0,1,1,"","",""
19,62,7645,2,3,0,0,0,1,1,"","",""
20,64,7647,2,4,0,0,0,1,1,"","",""
21,66,7649,11,0,0,0,0,"","","","",""
22,67,7650,1,2,0,0,0,1,1,"","",""
23,68,7651,1,3,0,0,0,1,1,"","",""
24,70,7653,1,4,0,0,0,1,1,"","",""
25,71,7654,15,2,0,0,0,1,1,"","",""
26,72,7655,15,4,0,0,0,1,1,"","",""
27,74,7657,16,4,0,0,0,1,1,"","",""
28,75,7658,16,6,0,0,0,1,1,"","",""
29,76,7659,16,8,0,0,0,1,1,"","",""
30,77,7660,16,10,0,0,0,1,1,"","",""
31,78,7661,16,12,0,0,0,1,1,"","",""
32,79,7662,16,14,0,0,0,1,1,"","",""
33,80,7663,16,16,0,0,0,"","","","",""
34,81,7664,16,18,0,0,0,1,1,"","",""
35,82,7665,16,20,0,0,0,1,1,"","",""
36,83,7666,1,5,0,0,0,1,1,"","",""
37,84,7667,14,0,0,0,0,1,1,"","",""
38,85,7668,4,1,0,0,0,1,1,"","",""
39,86,7669,14,2,0,0,0,1,1,"","",""
40,88,7671,14,4,0,0,0,1,1,"","",""
41,89,7672,14,6,0,0,0,1,1,"","",""
42,90,7673,14,8,0,0,0,1,1,"","",""
43,91,7674,14,10,0,0,0,1,1,"","",""
44,92,7675,14,12,0,0,0,1,1,"","",""
45,93,7676,13,0,0,0,0,1,1,"","",""
46,94,7677,13,2,0,0,0,1,1,"","",""
47,95,7678,13,4,0,0,0,1,1,"","",""
48,96,7679,13,6,0,0,0,1,1,"","",""
49,97,7680,13,8,0,0,0,1,1,"","",""
50,98,7681,13,10,0,0,0,1,1,"","",""
51,99,7682,13,12,0,0,0,1,1,"","",""
52,100,7683,13,14,0,0,0,1,1,"","",""
53,101,8216,1,6,0,0,0,1,1,"","",""
54,102,8217,1,7,0,0,0,1,1,"","",""
55,103,8218,12,0,0,0,0,1,1,"","",""
56,104,8219,12,2,0,0,0,1,1,"","",""
57,105,8220,12,4,0,0,0,1,1,"","",""
58,106,8221,12,6,0,0,0,1,1,"","",""
59,107,8222,17,0,0,0,0,1,1,"","",""
60,108,8223,17,2,0,0,0,1,1,"","",""
61,109,8224,17,4,0,0,0,1,1,"","",""
62,110,8225,17,6,0,0,0,1,1,"","",""
63,111,8226,17,8,0,0,0,1,1,"","",""
64,112,8646,7,2,0,0,0,1,1,"","",""
65,113,8647,6,8,0,2,4,1,1,"","",""
66,263,8648,6,10,0,1,4,1,1,"","",""
67,114,8648,6,0,0,0,0,"","",66,"",""
68,115,8649,15,6,0,0,0,1,1,"","",""
69,117,8651,17,10,0,0,0,1,1,"","",""
70,118,8652,16,22,0,0,0,1,1,"","",""
71,119,8653,5,0,0,1,3,1,1,"","",""
72,129,8654,16,24,0,0,0,1,1,"","",""
73,121,8655,17,12,0,0,0,1,1,"","",""
74,122,8656,17,14,0,0,0,1,1,"","",""
75,123,8657,8,4,0,0,0,1,1,"","",""
76,124,8658,1,8,0,0,0,1,1,"","",""
77,126,8659,13,16,0,0,0,1,1,"","",""
78,127,8660,13,18,0,0,0,1,1,"","",""
79,128,8661,14,14,0,0,0,1,1,"","",""
