"rownum","BaseItemType","Scaling","Name"
0,10225,0.85,"Bazira"
1,10226,0.85,"Tsvet Matvei"
2,10227,0.85,"Bazira"
3,10228,0.85,"Count Geonor"
4,10229,0.85,"The Crimson Scribe"
5,10230,0.85,"The Midnight Tinkerer"
6,10231,0.85,"Aline Koltz"
7,10232,0.85,"Tsvet Matvei"
8,10233,0.85,"Administrator Qotra"
9,10234,0.85,"Count Geonor"
10,10235,0.85,"Nishem"
11,10236,0.85,"Aline Koltz"
12,10237,0.85,"Count Geonor"
13,10238,0.85,"Marcine Clavus"
14,10239,0.85,"Marcine Clavus"
15,10240,0.85,"Marcine Clavus"
16,10241,0.85,"Marcine Clavus"
17,10242,0.85,"Marcine Clavus"
18,10243,1.2,"Selwyn Eddard"
19,10244,1.2,"Kondor Larcius"
20,10245,1.2,"Grond Ironeye"
21,10246,1.2,"Bazira"
22,10247,1.2,"Bazira"
23,10248,1.2,"Kondor Larcius"
24,10249,1.2,"The Crimson Scribe"
25,10250,1.2,"Administrator Qotra"
26,10251,1.2,"Administrator Qotra"
27,10252,1.2,"The Crimson Scribe"
28,10253,1.2,"Remus Hestor"
29,10254,1.2,"Nishem"
30,10255,1.2,"The Crimson Scribe"
31,10256,1.2,"Anton Laffrey"
32,10257,1.5,"Tsvet Matvei"
33,10258,1.5,"Kondor Larcius"
34,10259,1.5,"The Midnight Tinkerer"
35,10260,1.5,"Bazira"
36,10261,1.5,"Kondor Larcius"
37,10262,1.5,"The Crimson Scribe"
38,10263,3,"Administrator Qotra"
39,10264,3,"Cardinal Uthelius"
40,10265,3,"Castor Pollinius III"
41,10266,0.3,""
42,10267,0.3,""
43,10268,0.3,""
44,10269,0.3,""
45,10270,0.3,""
46,10271,0.3,""
47,10272,0,"Karst"
48,10273,0,"Karst"
49,10274,0,"Karst"
50,10275,0,"Tibbs"
51,10276,0,"Tibbs"
52,10277,0,"Huck"
53,10278,0,"Huck"
54,10279,0,"Vinderi"
55,10280,0,"Vinderi"
56,10281,0,"Gianna"
57,10282,0,"Gianna"
58,10283,0,"Tullina"
59,10284,0,"Tullina"
60,10285,0,"Niles"
61,10286,0,"Niles"
62,10287,0,"Nenet"
63,10288,0,"Nenet"
64,10289,0,"Isla"
65,10290,0,"Isla"
66,10291,0,"Isla"
67,10292,0,"Adiyah"
68,10293,0,"Adiyah"
69,10294,0,"Adiyah"
70,10295,0,"Whakano"
71,10296,0,"Whakano"
72,10297,0,"Whakano"
73,10298,0,"Faustus"
74,10300,0,"Faustus"
75,10301,0,"Faustus"
76,10302,0,"Kurai"
77,10303,0,"Kurai"
78,10304,0,"Kurai"
79,10305,0,"Kurai"
