"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot"
0,"Metadata/Items/Currency/CurrencyEssenceHatred1",76,480,183,0,1,1,1
1,"Metadata/Items/Currency/CurrencyEssenceHatred2",77,408,183,1,1,1,1
2,"Metadata/Items/Currency/CurrencyEssenceHatred3",78,335,183,2,1,1,1
3,"Metadata/Items/Currency/CurrencyEssenceHatred4",79,263,183,3,1,1,1
4,"Metadata/Items/Currency/CurrencyEssenceHatred5",80,190,183,4,1,1,1
5,"Metadata/Items/Currency/CurrencyEssenceHatred6",81,117,183,5,1,1,1
6,"Metadata/Items/Currency/CurrencyEssenceHatred7",82,44,183,6,1,1,""
7,"Metadata/Items/Currency/CurrencyEssenceWoe1",83,480,256,7,1,1,1
8,"Metadata/Items/Currency/CurrencyEssenceWoe2",84,408,256,8,1,1,1
9,"Metadata/Items/Currency/CurrencyEssenceWoe3",85,335,256,9,1,1,1
10,"Metadata/Items/Currency/CurrencyEssenceWoe4",86,263,256,10,1,1,1
11,"Metadata/Items/Currency/CurrencyEssenceWoe5",87,190,256,11,1,1,1
12,"Metadata/Items/Currency/CurrencyEssenceWoe6",88,117,256,12,1,1,1
13,"Metadata/Items/Currency/CurrencyEssenceWoe7",89,44,256,13,1,1,""
14,"Metadata/Items/Currency/CurrencyEssenceGreed1",90,480,38,14,1,1,1
15,"Metadata/Items/Currency/CurrencyEssenceGreed2",91,408,38,15,1,1,1
16,"Metadata/Items/Currency/CurrencyEssenceGreed3",92,335,38,16,1,1,1
17,"Metadata/Items/Currency/CurrencyEssenceGreed4",93,263,38,17,1,1,1
18,"Metadata/Items/Currency/CurrencyEssenceGreed5",94,190,38,18,1,1,1
19,"Metadata/Items/Currency/CurrencyEssenceGreed6",95,117,38,19,1,1,1
20,"Metadata/Items/Currency/CurrencyEssenceGreed7",96,44,38,20,1,1,""
21,"Metadata/Items/Currency/CurrencyEssenceContempt1",97,480,111,21,1,1,1
22,"Metadata/Items/Currency/CurrencyEssenceContempt2",98,408,111,22,1,1,1
23,"Metadata/Items/Currency/CurrencyEssenceContempt3",99,335,111,23,1,1,1
24,"Metadata/Items/Currency/CurrencyEssenceContempt4",100,263,111,24,1,1,1
25,"Metadata/Items/Currency/CurrencyEssenceContempt5",101,190,111,25,1,1,1
26,"Metadata/Items/Currency/CurrencyEssenceContempt6",102,117,111,26,1,1,1
