"rownum","Item","Pack","Description"
0,11274,14,"Pack monsters are Harmless Frogs"
1,11275,16,"Pack monsters are Rats"
2,11276,485,"Pack monsters can drop Splinters of Xoph"
3,11277,486,"Pack monsters can drop Splinters of Tul"
4,11278,487,"Pack monsters can drop Splinters of Esh"
5,11279,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11280,489,"Pack monsters can drop Splinters of Chayula"
7,11281,490,"Pack monsters reward Sulphite on death"
8,11282,491,"Pack Monsters can drop Karui Tattoos"
9,11283,492,"Pack Monsters can drop Karui Tattoos"
10,11284,493,"Pack Monsters can drop Karui Tattoos"
11,11285,494,"Pack Monsters can drop Karui Tattoos"
12,11286,495,"Pack Monsters can drop Karui Tattoos"
13,11287,496,"Pack Monsters can drop Karui Tattoos"
14,11288,497,"Pack Monsters can drop Karui Tattoos"
15,11289,498,"Pack Monsters can drop Karui Tattoos"
16,11290,499,"Pack Monsters can drop Karui Tattoos"
17,11291,500,"Pack Monsters can drop Karui Tattoos"
18,11292,501,"Pack monsters can drop Abyssal Jewels"
19,11293,502,"Pack monsters can drop Tainted Currency"
20,11294,503,"Pack monsters can drop Tainted Currency"
21,11295,504,"Pack monsters can drop Tainted Currency"
22,11296,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11297,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11298,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11299,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11300,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11301,510,"Pack monsters can drop Broken Circle Artifacts"
28,11302,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11303,512,"Pack monsters can drop Black Scythe Artifacts"
30,11304,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11305,514,"Monster has greatly increased Life"
32,11306,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
33,11307,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
34,11308,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
35,11309,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
36,11310,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
37,11311,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
38,11312,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
39,11313,522,"Pack monsters can drop Omens"
40,11314,523,"Pack monsters can drop Omens"
41,11315,524,"Pack monsters can drop Omens"
42,11316,525,"Pack monsters can drop Timeless Karui Splinters "
43,11317,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11318,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11319,528,"Pack monsters can drop Timeless Templar Splinters "
46,11320,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11341,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters have a chance to leave corpses with a Special Craft"
48,11342,531,"Pack monsters can drop Shaper Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
49,11343,532,"Pack monsters can drop Elder Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
50,11344,536,"Pack monsters can drop Warlord Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
51,11345,534,"Pack monsters can drop Redeemer Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
52,11346,533,"Pack monsters can drop Crusader Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
53,11347,535,"Pack monsters can drop Hunter Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
54,11348,933,"Pack monsters can drop Omens\r\nPack monsters have a chance to leave corpses with a Special Craft"
55,11349,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters have a chance to leave corpses with a Special Craft"
56,11350,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters have a chance to leave corpses with a Special Craft"
57,11351,936,"Pack monsters have a chance to leave corpses with a Special Craft"
58,11352,945,"Pack monsters can drop Catalysts"
59,11353,946,"Pack monsters can drop Catalysts"
60,11354,937,"Pack monsters drop Currency Items"
61,11355,938,"Extra Monster drops items with +1 to number of Sockets\r\nExtra Monster drops fully Linked items"
62,11356,939,"Pack is composed of a Rogue Exile"
63,11357,940,"Pack monsters can drop Scarabs"
64,11358,941,"Pack monsters can drop Scarabs"
65,11359,942,"Pack monsters can drop Scarabs"
66,11360,943,"Pack monsters can drop Scarabs"
67,11361,944,"Pack monsters can drop Fractured Items"
68,11362,948,"Pack monsters have a chance to leave corpses with a Special Craft"
69,11363,947,"Pack monsters can drop Breach Splinters\r\nPack monsters have a chance to leave corpses with a Special Craft"
