"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,11028,0,0,0,""
1,11029,1,0,0,""
2,11030,2,0,0,""
3,11031,3,0,0,""
4,11032,4,0,0,""
5,11033,5,0,0,""
6,11034,6,0,0,""
7,11035,7,0,1,""
8,11036,8,0,1,""
9,11037,9,0,1,""
10,11038,10,2,1,""
11,11039,11,0,1,""
12,11040,12,0,1,""
13,11041,13,0,1,""
14,11042,14,0,2,""
15,11043,15,0,2,""
16,11044,16,0,2,""
17,11045,17,0,2,""
18,11046,18,0,2,""
19,11047,19,0,2,""
20,11048,20,0,2,""
21,11049,21,0,3,""
22,11050,22,0,3,""
23,11051,23,0,3,""
24,11052,24,2,3,""
25,11053,25,0,3,""
26,11054,26,0,3,""
27,11055,27,0,3,""
28,11056,28,0,4,""
29,11057,29,1,4,""
30,11058,30,2,4,""
31,11059,31,1,4,""
32,11060,32,1,4,""
33,11061,33,1,4,""
34,11062,34,2,4,""
35,11063,35,1,5,""
36,11064,36,1,5,""
37,11065,37,1,5,""
38,11066,38,2,5,""
39,11067,39,2,5,""
40,11068,40,1,5,""
41,11069,41,1,5,""
42,11070,42,1,6,""
43,11071,43,1,6,""
44,11072,44,1,6,""
45,11073,45,1,6,""
46,11074,46,1,6,""
47,11075,47,1,6,""
48,11076,48,1,6,""
49,11077,49,2,7,""
50,11078,50,2,7,""
51,11079,51,2,7,""
52,11080,52,2,7,""
53,11081,53,2,7,""
54,11082,54,2,7,""
55,11083,55,2,7,""
56,11084,56,1,8,""
57,11085,57,1,8,""
58,11086,58,2,8,""
59,11087,59,1,8,""
60,11088,60,2,8,""
61,11089,61,2,8,""
62,11090,62,1,8,""
63,11091,63,2,9,""
64,11092,64,2,9,""
65,11093,65,2,9,""
66,11094,66,0,9,""
67,11095,67,2,9,""
68,11096,68,2,9,""
69,11097,69,2,9,""
70,11098,70,3,10,""
71,11099,71,3,10,""
72,11100,72,3,10,""
73,11101,73,3,10,""
74,11102,74,3,10,""
75,11103,75,3,10,""
76,11104,76,3,10,""
77,11105,77,3,10,""
78,11106,78,4,10,""
79,11107,79,4,10,""
80,11108,80,4,10,""
81,11109,81,5,10,""
82,11110,82,5,10,""
83,11111,83,5,10,""
84,11112,84,6,10,""
85,11113,85,6,10,""
86,11114,86,6,10,""
87,11115,87,3,10,""
88,11116,88,3,10,""
89,11117,89,4,10,""
90,11118,90,5,10,""
91,11119,91,6,10,""
92,11120,92,7,10,15
