"rownum","rid","i32","[rid]"
0,99,1,[356]
1,382,1,[356]
2,100,1,[357]
3,383,1,[357]
4,101,1,[358]
5,384,1,[358]
6,96,1,"[362,363,364,365,366,367,368]"
7,379,1,"[362,363,364,365,366,367,368]"
8,97,1,[369]
9,380,1,[369]
10,95,1,[361]
11,378,1,[361]
12,102,1,[359]
13,385,1,[359]
14,103,1,[360]
15,386,1,[360]
16,105,1,[372]
17,388,1,[372]
18,209,2,[562]
19,488,2,[562]
20,210,2,[563]
21,489,2,[563]
22,213,2,[564]
23,492,2,[564]
24,218,2,[565]
25,497,2,[565]
26,225,2,[566]
27,504,2,[566]
28,231,2,[567]
29,510,2,[567]
30,238,2,[568]
31,517,2,[568]
32,248,2,[569]
33,527,2,[569]
34,256,2,[570]
35,535,2,[570]
36,201,2,[571]
37,480,2,[571]
