"rownum","BaseItemType","Tier","AreaLevel"
0,2786,1,1
1,2786,2,4
2,2786,3,7
3,2786,4,11
4,2786,5,15
5,2786,6,19
6,2786,7,23
7,2786,8,27
8,2786,9,32
9,2786,10,37
10,2786,11,42
11,2786,12,47
12,2786,13,53
13,2786,14,59
14,2788,1,1
15,2788,2,35
16,2788,3,53
17,2788,4,85
18,2788,5,86
19,2788,6,87
20,2788,7,88
21,2788,8,89
22,2788,9,90
23,2788,10,91
24,2788,11,92
25,2787,1,1
26,3126,1,1
27,3126,2,4
28,3126,3,7
29,3126,4,11
30,3126,5,15
31,3126,6,19
32,3126,7,23
33,3126,8,27
34,3126,9,32
35,3126,10,37
36,3126,11,42
37,3126,12,47
38,3126,13,53
39,3126,14,59
