"rownum","SkillGem","Supports"
0,411,"[107,6,26,264,16,96,496,269,270]"
1,420,"[5,94,107,17,106,496,97,19,647]"
2,421,"[5,94,107,17,106,266,496,97,680]"
3,422,"[5,94,107,17,106,266,496,97,19]"
4,319,"[166,351,335,600,43,640,685,352,496]"
5,65,"[11,488,491,492,347,664]"
6,536,"[488,490,265,492,270,664]"
7,379,"[490,167,491,492,269,662]"
8,282,"[167,14,36,559,555,519,474,521,671]"
9,322,"[5,11,106,224,83,97]"
10,76,"[164,165,353,225,498,26,410,500,553]"
11,125,"[35,168,124,106,26,564,123,641,629]"
12,143,"[166,165,522,26,564,589,628,591,652]"
13,2,"[351,106,270,461,100,474,495,505,672]"
14,42,"[35,331,161,225,555,559,500,496,671]"
15,69,"[11,377,505,502,275,408,265,606,679]"
16,33,"[107,6,362,501,409,460,496,123,680]"
17,318,"[168,211,93,224,469,210,106,410,700]"
18,81,"[165,161,26,499,552,589,628,96,652]"
19,115,"[94,99,161,519,499,552,521,627,678]"
20,114,"[11,378,468,225,505,408,275,502,606]"
21,1,"[165,11,527,100,410,589,627,656,672]"
22,320,"[11,107,501,268,409,460,641,599,657]"
23,390,"[338,328,11,106,519,521,410,588,498]"
24,131,"[96,504,5,339,167,107,552,463,97]"
25,145,"[99,165,166,26,225,564,624,600,648]"
26,389,"[99,461,166,100,498,26,410,564,652]"
27,384,"[5,209,504,499,339,83,269,590,633]"
28,387,"[99,164,165,224,678,410,588,589,635]"
29,545,"[490,488,491,492,664,666]"
30,514,"[164,490,266,491,492,666]"
31,430,"[12,95,353,18,96,10,496,269,19]"
32,67,"[488,35,491,96,83,347]"
33,546,"[488,490,491,265,473,270]"
34,325,"[56,110,369,96,43,475,644,685,688]"
35,108,"[490,11,266,498,492,567]"
36,346,"[11,353,492,43,96,651]"
37,537,"[488,489,491,265,666,667]"
38,40,"[22,7,49,504,592,603,597,611,594]"
39,524,"[331,487,96,43,496,270,167,474,17]"
40,507,"[9,487,569,504,554,336,590,602,611]"
41,144,"[187,206,43,527,268,269,270,656,669]"
42,190,"[338,99,554,573,96,50,594,669,697]"
43,310,"[35,98,12,48,205,499,464,574,594]"
44,311,"[11,7,8,48,499,504,301,83,464]"
45,324,"[326,11,487,519,521,96,473,635,594]"
46,307,"[22,304,375,96,224,466,19,50,636]"
47,312,"[49,335,469,499,15,574,224,626,700]"
48,542,"[9,8,338,504,47,574,465,630,701]"
49,476,"[572,373,124,504,565,499,83,50,597]"
50,541,"[12,338,569,332,573,574,619,594,83]"
51,62,"[113,303,505,269,377,352,266,684,270]"
52,309,"[11,375,304,527,499,498,466,500,521]"
53,30,"[167,376,505,266,352,269,270,14,706]"
54,313,"[326,304,11,224,504,19,466,590,620]"
55,316,"[167,6,527,43,96,301,270,464,669]"
56,34,"[35,572,99,96,573,498,496,500,594]"
57,306,"[209,7,22,93,339,46,83,574,648]"
58,512,"[72,12,167,205,573,162,472,15,574]"
59,549,"[376,490,668,664,491,666]"
60,321,"[489,264,492,581,621,649]"
61,333,"[5,263,109,46,97,463,262,265,269]"
62,383,"[489,263,491,492,505,667]"
63,308,"[209,22,80,265,266,267,268,269,270]"
64,323,"[71,49,187,265,267,268,269,660,605]"
65,200,"[72,80,35,205,55,352,128,560,358]"
66,388,"[331,164,80,162,571,565,566,470,83]"
67,116,"[167,265,267,268,269,11,263,505,270]"
68,204,"[377,378,264,505,266,267,268,269,270]"
69,540,"[489,263,266,472,663,668]"
70,21,"[22,72,565,332,83,337,352,583,332]"
71,0,"[71,334,105,55,47,465,567,336,605]"
72,392,"[164,14,80,560,565,554,561,470,50]"
73,117,"[338,328,27,481,266,267,482,470,270]"
74,315,"[7,209,105,339,46,267,268,83,50]"
75,75,"[49,331,167,349,560,205,301,337,464]"
76,82,"[7,57,487,47,560,83,336,561,711]"
77,314,"[35,331,80,339,46,574,83,330,571]"
78,44,"[49,105,80,205,349,48,337,83,472]"
79,73,"[209,7,49,93,339,55,268,269,270]"
80,32,"[105,370,371,263,48,619,711,472,553]"
81,74,"[164,11,113,55,558,47,83,15,336]"
82,61,"[334,211,27,339,93,567,83,352,162]"
83,182,"[14,377,122,265,266,267,472,269,270]"
84,51,"[167,11,118,366,266,503,269,528,608]"
85,53,"[167,11,118,366,266,503,269,528,608]"
86,52,"[572,167,363,366,367,503,169,270,608]"
87,28,"[11,365,363,367,366,528,503,270,608]"
88,317,"[338,105,162,55,15,83,566,80,605]"
89,24,"[328,11,206,505,563,520,83,337,465]"
90,171,"[338,162,55,47,15,83,336,497,632]"
91,37,"[167,331,338,46,560,16,463,83,359]"
92,63,"[11,57,105,560,573,162,561,472,464]"
93,126,"[80,22,560,83,465,471,8,554,302]"
94,129,"[338,80,162,48,15,83,619,632,472]"
95,54,"[211,80,558,210,352,470,267,599,640]"
96,45,"[71,489,16,491,492,668]"
97,517,"[164,167,491,266,470,471]"
98,412,"[9,351,6,18,568,106,15,123,270]"
99,277,"[164,488,265,491,268,269]"
100,526,"[488,490,265,266,492,269]"
101,66,"[488,9,43,347,660,605]"
102,38,"[12,205,303,504,373,570,410,619,624]"
103,295,"[331,163,11,26,571,15,496,521,586]"
104,297,"[71,11,206,504,562,83,465,336,658]"
105,183,"[376,370,373,106,100,371,123,359,576]"
106,292,"[7,99,225,496,8,554,498,500,474]"
107,160,"[187,70,462,568,504,465,123,83,630]"
108,294,"[12,376,486,162,106,100,83,123,15]"
109,170,"[35,162,486,552,270,9,635,604,605]"
110,291,"[72,205,462,106,270,6,568,128,123]"
111,513,"[6,572,166,576,96,267,473,19,496]"
112,147,"[353,6,576,96,564,269,270,11,631]"
113,157,"[187,206,162,70,270,571,573,574,496]"
114,479,"[377,378,167,266,267,268,269,270,586]"
115,478,"[16,499,552,352,11,6,72,565,83]"
116,293,"[167,303,14,96,332,504,359,358,83]"
117,142,"[35,163,571,100,410,123,496,628,650]"
118,184,"[206,70,572,571,43,565,496,471,465]"
119,551,"[12,11,469,100,106,464,358,700,619]"
120,20,"[6,486,303,106,123,564,631,680,687]"
121,511,"[9,11,167,43,47,83,15,336,573]"
122,477,"[165,99,100,527,225,500,564,589,628]"
123,296,"[22,49,103,554,43,267,566,561,270]"
124,372,"[489,263,581,622,649,665]"
125,382,"[164,11,353,498,55,564,566,270,593]"
126,381,"[487,264,265,266,267,268,269,27,352]"
127,39,"[27,264,265,266,267,268,269,270,376]"
128,4,"[270,80,11,497,364,55,560,83,463]"
129,130,"[265,266,267,268,269,270,167,80,583]"
130,29,"[363,118,365,366,367,169,503,270,608]"
