"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6988],"",[],[],[]
1,"DropVaalItem",[6995],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4824,598]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1225],[100]
4,"Maimed",[],505,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4823,648]","[1,100]"
6,"TormentedExperimenterPossess","[7786,7877,7937,7939]","",[],[],[]
7,"TormentedBlasphemerPossess","[7789,7875,7937,7939]","",[],[],[]
8,"TormentedNecromancerPossess","[7792,7877,7937,7939]","",[],[],[]
9,"TormentedArsonistPossess","[7795,7877,7937,7939]","",[],[],[]
10,"TormentedThiefPossess","[7824,7878,7937,7939]","",[],[],[]
11,"TormentedMutilatorPossess","[7837,7877,7937,7939]","",[],[],[]
12,"TormentedCharlatanPossess","[7805,7877,7937,7939]","",[],[],[]
13,"TormentedCannibalPossess","[7830,7877,7937,7939]","",[],[],[]
14,"TormentedPoisonerPossess","[7798,7877,7937,7939]","",[],[],[]
15,"TormentedCorrupterPossess","[7801,7878,7937,7939]","",[],[],[]
16,"TormentedThugPossess","[7808,7875,7937,7939]","",[],[],[]
17,"TormentedRoguePossess","[7811,7875,7812,7937,7939]","",[],[],[]
18,"TormentedFishermanPossess","[7814,7878,7937,7939]","",[],[],[]
19,"TormentedLibrarianPossess","[7817,7878,7937,7939]","",[],[],[]
20,"TormentedCutthroatPossess","[7821,7875,7937,7939]","",[],[],[]
21,"TormentedSpyPossess","[7827,7875,7937,7939]","",[],[],[]
22,"TormentedMartyrPossess","[7834,7877,7937,7939]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7840,7878,7937,7939]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7846,7877,7937,7939]","",[],[],[]
25,"TormentedWarlordPossess","[7849,7875,7937,7939]","",[],[],[]
26,"TormentedFreezerPossess","[7853,7877,7937,7939]","",[],[],[]
27,"TormentedSmugglerPossess","[7857,7855,7878,7937,7939]","",[],[],[]
