"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","HelpText","Description","Script","rid","rid","i32","[rid]","rid"
0,1132,2285,"",225,[],"","",904,918,"upgrade_map_device","","",4205,[],""
1,1133,1871,"",351,[],"","",6291,6289,"upgrade_map_device","","",4205,[],""
2,1134,1870,"",352,[],"","",6290,6288,"upgrade_map_device","","",4205,[],""
3,1141,2302,"",979,[],"",1,905,"","","","",4205,[],""
4,1142,2303,"",980,[],"",1,905,"","","","",4205,[],""
5,1143,2304,"",981,[],"",1,905,"","","","",4205,[],""
6,1144,2305,"",982,[],"",1,905,"","","","",4205,[],""
7,1657,954,"",207,[],"",1,907,"","","","",4205,[],""
8,1659,955,"",212,[],"",1,6268,"","","","",4205,[],""
9,1661,956,"",323,[],"",1,908,"","","","",4205,[],""
10,1663,957,"",328,[],"",1,6269,"","","","",4205,[],""
11,325,2008,"",662,[],"","",903,917,"skill_book","","",4205,[],""
12,326,2009,"",663,[],"","",903,917,"skill_book","","",4205,[],""
13,327,2010,"",664,[],"","",903,917,"skill_book","","",4205,[],""
14,328,2011,"",665,[],"","",903,917,"skill_book","","",4205,[],""
15,329,2013,"",675,[],"","",903,917,"skill_book","","",4205,[],""
16,330,2014,"",676,[],"","",903,917,"skill_book","","",4205,[],""
17,331,2694,"",4004,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
18,332,2695,"",4005,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
19,333,2696,"",4006,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
20,334,2697,"",4007,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
21,335,2698,"",4008,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
22,336,4958,"",4042,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
23,337,4959,"",4043,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
24,338,4960,"",4044,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
25,339,4961,"",4045,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
26,340,4962,"",4046,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
27,341,4963,"",4047,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
28,342,4964,"",4048,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
29,343,4965,"",4049,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
30,344,4966,"",4050,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
31,345,4967,"",4051,[],"","",7876,7883,"atlas_skill_book","","",4205,[],""
32,346,96,"",4165,[],"","",7877,7883,"skill_book","","",4205,[],""
33,347,97,"",4166,[],"","",7877,7883,"skill_book","","",4205,[],""
34,348,98,"",4167,[],"","",7877,7883,"skill_book","","",4205,[],""
35,349,99,"",4168,[],"","",7877,7883,"skill_book","","",4205,[],""
36,350,100,"",4169,[],"","",7877,7883,"skill_book","","",4205,[],""
37,351,2699,"",4009,[],"","",7878,7884,"skill_book","","",4205,[],""
38,352,2700,"",4010,[],"","",7878,7884,"skill_book","","",4205,[],""
39,353,2701,"",4011,[],"","",7878,7884,"skill_book","","",4205,[],""
40,354,2702,"",4012,[],"","",7878,7884,"skill_book","","",4205,[],""
41,355,2703,"",4013,[],"","",7879,7885,"skill_book","","",4205,[],""
42,356,2704,"",4014,[],"","",7879,7885,"skill_book","","",4205,[],""
43,357,2705,"",4015,[],"","",7879,7885,"skill_book","","",4205,[],""
44,358,2706,"",4016,[],"","",7879,7885,"skill_book","","",4205,[],""
45,359,2707,"",4017,[],"","",7880,7886,"skill_book","","",4205,[],""
46,360,2708,"",4018,[],"","",7880,7886,"skill_book","","",4205,[],""
47,361,2709,"",4019,[],"","",7880,7886,"skill_book","","",4205,[],""
48,362,2710,"",4020,[],"","",7880,7886,"skill_book","","",4205,[],""
49,363,2711,"",4021,[],"","",7881,7887,"skill_book","","",4205,[],""
50,364,2712,"",4022,[],"","",7881,7887,"skill_book","","",4205,[],""
51,365,2713,"",4023,[],"","",7881,7887,"skill_book","","",4205,[],""
52,366,2714,"",4024,[],"","",7881,7887,"skill_book","","",4205,[],""
