"rownum","Slot","ClusterJewelSize","ClusterIndex","ReplacesSlot","ProxySlot","StartIndices","rid"
0,5331,"",0,"","",[],""
1,5332,"",0,"","",[],""
2,5333,"",0,"","",[],""
3,5334,"",0,"","",[],""
4,5335,"",0,"","",[],""
5,5336,"",0,"","",[],""
6,5337,"",0,"","",[],""
7,5338,"",0,"","",[],""
8,5339,"",0,"","",[],""
9,5340,"",0,"","",[],""
10,5341,"",0,"","",[],""
11,5342,"",0,"","",[],""
12,5343,"",0,"","",[],""
13,5344,"",0,"","",[],""
14,5345,"",0,"","",[],""
15,5346,"",0,"","",[],""
16,5347,"",0,"","",[],""
17,5348,"",0,"","",[],""
18,5349,"",0,"","",[],""
19,5350,"",0,"","",[],""
20,5351,"",0,"","",[],""
21,5352,"",0,"","",[],""
22,5353,"",0,"","",[],""
23,5354,"",0,"","",[],""
24,4854,"",0,"","",[],0
