"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","bool","Message","MapPinsKeys1","i32","string","rid","[rid]","bool","[i32]","[i32]","i32","rid","row","[rid]"
0,0,0,[2936],[],"Quest Complete - You have slain the Bloated Miller and received a reward from Renly.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
1,0,1,[2935],[],"Renly has offered you a reward for slaying the Bloated Miller. Take it.","","Take Renly's reward",[8],0,"Take Renly's reward","",[],"",[],[],10,"",228,[]
2,0,2,"[2934,2890]",[],"The Blacksmith appears to be in charge in this logging encampment. Talk to him.","","Talk to the Blacksmith",[8],0,"Talk to the Blacksmith","",[],"",[],[],10,"",228,[]
3,0,3,[2934],"[281,368]","You have slain the Bloated Miller and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","","",[8],0,"Open the Passive Skill Screen\nSpend your Passive Skill Point","",[],"",[],[],10,"",228,[]
4,0,4,[2934],[],"You have slain the Bloated Miller. Enter the logging encampment.","","Enter town",[8],0,"Enter the logging encampment","",[],"",[],[],10,"",228,[]
5,0,5,[2933],[],"A logging encampment is under attack by a diseased monstrosity that was once human. Kill it.","","Slay the Bloated Miller",[5],0,"Kill the Bloated Miller and end his rage","",[],"",[],[],10,"",228,[]
6,0,6,[2801],[],"The wounded man mentioned his chief Miller went to warn Clearfell about a sickness plaguing their men. Track down the Miller and find safety in Clearfell.","","Find Clearfell",[5],0,"Search for the Miller and find safety in Clearfell","",[],"",[],[],10,"",228,[]
7,1,0,[2929],[],"Quest Complete - You have slain the Devourer and have received a reward from Renly.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
8,1,1,[2931],[],"You have slain the Devourer. Talk to Renly in Clearfell for your reward.","","Talk to Renly for your reward",[8],0,"Talk to Renly for your reward","",[],"",[],[],10,"",228,[]
9,1,2,[2932],[],"You have cornered the Devourer. Kill it.","","Kill the Devourer",[14],0,"Kill the Devourer",14,[],"",[],[],10,"",228,[]
10,1,3,"[2925,2892]",[],"You have found the Mud Burrow. Search the tunnels for the Devourer.","","Search the Mud Burrow",[14],0,"Find the Devourer and slay it",14,[],"",[],[],10,"",228,[]
11,1,4,[2925],[],"The Devourer lives underground in a Mud Burrow. Find it.","","Find the Mud Burrow",[9],0,"Search Clearfell to find the Mud Burrow entrance\nSlay the Devourer in its lair","","[71,148]","",[],[],10,"",228,[]
12,1,5,[2925],[],"Find the Devourer in its Mud Burrow and slay it so that the Ezomytes can safely leave the walls of Clearfell once more.","","Slay the Devourer",[9],0,"Search Clearfell for the entrance to the Mud Burrow\nSlay the Devourer in its lair","",[],"",[],[],10,"",228,[]
13,2,0,[4701],[],"Quest Complete - You have released a dark entity called the Hooded One from the Tree of Souls.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
14,2,1,[4696],[],"You have released a dark entity called the Hooded One from the Tree of Souls. Return to Clearfell Encampment and speak to Una.","","Meet Una in Clearfell",[8],0,"Return to Clearfell Encampment and speak to Una","",[],"",[],[],10,"",228,[]
15,2,2,[2957],[],"You have released a dark entity called the Hooded One from the Tree of Souls. Speak to Una for more information.","","Speak to Una",[18],4000,"Speak to Una about what you have just witnessed",18,[],"",[],[],10,"",228,[]
16,2,3,"[2955,2956]",[2954],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Last Rune Spike",[18],0,"Stab the last Rune Spike into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
17,2,4,"[2954,2956]",[2955],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Last Rune Spike",[18],0,"Stab the last Rune Spike into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
18,2,5,"[2954,2955]",[2956],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Last Rune Spike",[18],0,"Stab the last Rune Spike into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
19,2,6,[2956],"[2954,2955]","Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Rune Spikes",[18],0,"Stab the 2 remaining Rune Spikes into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
20,2,7,[2955],"[2954,2956]","Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Rune Spikes",[18],0,"Stab the 2 remaining Rune Spikes into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
21,2,8,[2954],"[2955,2956]","Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Rune Spikes",[18],0,"Stab the 2 remaining Rune Spikes into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
22,2,9,[2949],[],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","","Use the Rune Spikes",[18],0,"Stab the Rune Spikes into the Tree of Souls",18,[],"",[],[],10,"",228,[2695]
23,2,10,[2949],[],"You have taken the forged Rune Spikes from Renly. Return to the Grelwood with them.","","Return to the Grelwood",[18],0,"Take the forged Rune Spikes to the Hooded One in the Grelwood","",[],"",[],[],10,"",228,[2695]
24,2,11,[2948],[],"Renly has forged the Runes of Power from the Red Vale into spikes. Take them from him.","","Take the Rune Spikes from Renly",[8],0,"Take the forged Rune Spikes from Renly","",[],"",[],[],10,"",228,[2695]
25,2,12,"[3007,3008,3009]",[],"You have found the Runes of Power in the Red Vale. Take them to Renly for forging.","","Bring the Runes to Renly",[8],0,"Bring the Runes to Renly for forging",8,[],"",[],[],10,"",228,"[2700,2701,2702]"
26,2,13,"[2945,3085]",[],"Destroy the Rust King guarding the final Rune of Power.","","Defeat the Rust King",[27],5250,"Defeat the Rust King to obtain the final Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
27,2,14,"[2945,2946]",[],"Destroy the monsters guarding the Rune of Power.","","Defeat the Monsters",[27],500,"Defeat the monsters guarding the Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
28,2,15,"[2945,3008,3009]",[],"Collect the last Rune of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the last Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
29,2,16,"[2945,3007,3009]",[],"Collect the last Rune of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the last Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
30,2,17,"[2945,3007,3008]",[],"Collect the last Rune of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the last Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
31,2,18,"[2945,3009]",[],"Collect the 2 remaining Runes of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the 2 remaining Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
