"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9869,9873,9877,9881,9885,9904,9908,9910,9914,9915,9916,9917,9918,9919,9920,9921,9922,9923,9924,9925]","","",0,60,[],0,"[1,2]","[2579,2580]"
4,"EverythingSomewhere","[9870,9874,9878,9882,9886,9890,9894,9897,9899]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9871,9875,9879,9883,9887,9891,9895,9898,9900,9901,9903,9905,9906,9907,9909]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9871,9879,9883,9887,9895,9901,9903,9905,9906,9907,9909]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9891],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9871,9875,9879,9883,9887,9891,9895,9898,9900,9901,9903,9905,9906,9907]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9909],"","",0,0,[],0,[],[]
