"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[10121]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[10121,10164]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[10159]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[10159,10164]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[10160]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[10160,10164]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[10161]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[10161,10164]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[10162]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[10162,10164]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[10163]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[10163,10164]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[10110]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[10110,10111]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[10110]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[10110]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[10110]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[10110]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[10112]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[10112,10111]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[10112]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[10112]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[10112]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[10112]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[10113]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[10113,10111]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[10113]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[10113]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[10113]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[10113]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[10114]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[10114,10111]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[10114]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[10114]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[10114]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[10114]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[10115]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[10115,10111]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[10115]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[10115]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[10115]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[10115]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[10118,10116]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[10118,10116,10111]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[10118,10116]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[10118,10116]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[10118,10116]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[10118,10116]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[10119,10117]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[10119,10117,10111]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[10119,10117]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[10119,10117]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[10119,10117]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[10119,10117]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[10120,10110]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[10120,10118]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[10110,10111,11150]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[10110,10111,11150]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[10110,10111,11150]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[10110,10111,11150]"
