"rownum","rid","i32"
0,2,25
1,17,25
2,11,273
3,16,273
4,8,273
5,7,273
6,3,273
7,42,273
8,27,273
9,15,273
10,14,273
11,26,273
12,110,273
13,6,273
14,20,273
15,22,273
16,23,273
17,24,273
18,5,273
19,0,273
20,1,273
21,18,273
22,19,273
23,117,273
24,504,273
25,505,273
26,506,273
27,507,273
28,508,273
29,509,273
30,510,273
31,511,273
32,512,273
33,513,273
34,514,204
35,515,204
36,516,204
37,517,204
38,518,204
39,519,204
40,520,204
41,521,204
42,522,204
43,523,204
44,524,341
45,525,341
46,526,341
47,527,341
48,528,341
49,529,341
50,530,341
51,531,341
52,532,341
53,533,341
54,546,341
55,547,341
56,548,341
57,549,341
58,550,341
59,551,341
60,552,341
61,553,341
62,554,341
63,555,341
64,556,341
65,557,341
66,558,341
67,559,341
68,560,341
69,561,341
70,562,341
71,563,341
72,564,341
73,565,341
74,566,341
75,567,341
76,568,341
77,569,341
78,570,341
79,571,341
80,572,341
81,573,341
82,574,341
83,575,341
84,1740,33
85,1741,86
86,1742,191
87,1743,341
88,1744,409
89,1745,540
90,1746,727
91,1747,953
92,1748,1325
93,1749,1490
94,1750,1798
95,1751,1934
96,1752,2478
97,1753,48
98,1754,124
99,1755,278
100,1756,496
101,1757,596
102,1758,786
103,1759,1058
104,1760,1447
105,1761,1928
106,1762,2339
107,1763,2615
108,1764,2814
109,1765,3605
110,1766,33
111,1767,61
112,1768,169
113,1769,341
114,1770,459
115,1771,540
116,1772,727
117,1773,995
118,1774,1325
119,1775,1669
120,1776,1798
121,1777,2006
122,1778,2478
123,1779,48
124,1780,89
125,1781,246
126,1782,496
127,1783,596
128,1784,827
129,1785,1058
130,1786,1386
131,1787,1928
132,1788,2167
133,1789,2615
134,1790,3246
135,1791,3605
136,1792,33
137,1793,61
138,1794,169
139,1795,341
140,1796,459
141,1797,540
142,1798,727
143,1799,912
144,1800,1325
145,1801,1433
146,1802,1798
147,1803,2006
148,1804,2478
149,1805,48
150,1806,89
151,1807,278
152,1808,496
153,1809,596
154,1810,786
155,1811,1058
156,1812,1447
157,1813,1928
158,1814,2167
159,1815,2615
160,1816,2814
161,1817,3605
162,1818,33
163,1819,73
164,1820,169
165,1821,341
166,1822,459
167,1823,569
168,1824,727
169,1825,953
170,1826,1325
171,1827,1548
172,1828,1798
173,1829,2232
174,1830,2478
175,1831,33
176,1832,86
177,1833,215
178,1834,341
179,1835,409
180,1836,569
181,1837,727
182,1838,1038
183,1839,1325
184,1840,1608
185,1841,1798
186,1842,1934
187,1843,2478
188,1844,33
189,1845,86
190,1846,215
191,1847,341
192,1848,459
193,1849,512
194,1850,727
195,1851,953
196,1852,1325
197,1853,1548
198,1854,1798
199,1855,2006
200,1856,2478
201,1857,48
202,1858,89
203,1859,278
204,1860,496
205,1861,596
206,1862,745
207,1863,1058
208,1864,1270
209,1865,1928
210,1866,2252
211,1867,2615
212,1868,2917
213,1869,3605
214,1870,33
215,1871,86
216,1872,191
217,1873,341
218,1874,409
219,1875,540
220,1876,727
221,1877,912
222,1878,1325
223,1879,1490
224,1880,1798
225,1881,2006
226,1882,2478
227,1883,10
228,1884,10
229,1885,10
230,1886,10
231,1887,10
232,1888,10
233,1889,10
234,1890,10
235,1891,10
236,1892,10
237,1893,10
238,1894,10
239,1895,10
240,1896,15
241,1897,15
242,1898,15
243,1899,15
244,1900,15
245,1901,15
246,1902,15
247,1903,15
248,1904,15
249,1905,15
250,1906,15
251,1907,15
252,1908,15
253,1909,33
254,1910,73
255,1911,191
256,1912,341
257,1913,409
258,1914,540
259,1915,727
260,1916,1038
261,1917,1325
262,1918,1669
263,1919,1798
264,1920,2079
265,1921,2478
266,1922,48
267,1923,89
268,1924,246
269,1925,497
270,1926,633
271,1927,873
272,1928,1217
273,1929,1513
274,1930,2011
275,1931,2258
276,1932,2623
277,1933,3032
278,1934,3615
279,1935,10
280,1936,10
281,1937,10
282,1938,10
283,1939,10
284,1940,10
285,1941,10
286,1942,10
287,1943,10
288,1944,10
289,1945,10
290,1946,10
291,1947,10
292,1948,10
293,1949,10
294,1950,175
295,1951,175
296,1952,175
297,1953,175
298,1954,175
299,1955,175
300,1956,175
301,1957,175
302,1958,175
303,1959,175
304,1960,175
305,1961,175
306,1962,175
307,1963,50
308,1964,93
309,1965,289
310,1966,516
311,1967,657
312,1968,862
313,1969,1102
314,1970,1507
315,1971,2008
316,1972,2257
317,1973,2724
318,1974,3264
319,1975,3755
320,1976,4162
321,1977,4604
322,1978,50
323,1979,93
324,1980,289
325,1981,516
326,1982,620
327,1983,818
328,1984,1102
329,1985,1507
330,1986,2008
331,1987,2529
332,1988,2724
333,1989,3264
334,1990,3755
335,1991,4305
336,1992,4920
337,1993,50
338,1994,111
339,1995,289
340,1996,516
341,1997,696
342,1998,862
343,1999,1102
344,2000,1572
345,2001,2008
346,2002,2257
347,2003,2724
348,2004,3039
349,2005,3755
350,2006,4452
351,2007,5084
352,2008,93
353,2009,289
354,2010,516
355,2011,776
356,2012,1102
357,2013,1507
358,2014,2008
359,2015,2529
360,2016,2724
361,2017,2931
362,2018,3755
363,2019,4452
364,2020,4452
365,2021,4452
366,2022,5084
367,2023,111
368,2024,256
369,2025,516
370,2026,776
371,2027,1102
372,2028,1444
373,2029,2008
374,2030,2436
375,2031,2724
376,2032,3039
377,2033,3755
378,2034,4162
379,2035,4760
380,2036,93
381,2037,289
382,2038,516
383,2039,862
384,2040,1102
385,2041,1323
386,2042,2008
387,2043,2529
388,2044,2724
389,2045,2931
390,2046,3755
391,2047,4305
392,2048,4920
393,2049,30
394,2050,195
395,2051,310
396,2052,466
397,2053,661
398,2054,794
399,2055,1205
400,2056,1354
401,2057,1635
402,2058,1959
403,2059,2253
404,2060,30
405,2061,153
406,2062,310
407,2063,491
408,2064,661
409,2065,829
410,2066,1205
411,2067,1354
412,2068,1635
413,2069,1890
414,2070,2253
415,2071,30
416,2072,153
417,2073,310
418,2074,517
419,2075,661
420,2076,829
421,2077,1205
422,2078,1462
423,2079,1635
424,2080,1823
425,2081,2253
426,2082,78
427,2083,174
428,2084,310
429,2085,491
430,2086,661
431,2087,1205
432,2088,1635
433,2089,2253
434,2090,67
435,2091,153
436,2092,310
437,2093,517
438,2094,661
439,2095,1205
440,2096,1635
441,2097,2253
442,2098,67
443,2099,153
444,2100,310
445,2101,517
446,2102,661
447,2103,1205
448,2104,1635
449,2105,2253
450,2106,25
451,2107,145
452,2108,258
453,2109,431
454,2110,551
455,2111,1004
456,2112,1362
457,2113,1878
458,2114,25
459,2115,145
460,2116,258
461,2117,431
462,2118,551
463,2119,1004
464,2120,1362
465,2121,1878
466,2122,25
467,2123,163
468,2124,258
469,2125,388
470,2126,551
471,2127,1004
472,2128,1362
473,2129,1878
474,2130,65
475,2131,258
476,2132,551
477,2133,1004
478,2134,1362
479,2135,1878
480,2136,56
481,2137,258
482,2138,551
483,2139,1004
484,2140,1362
485,2141,1878
486,2142,46
487,2143,258
