"rownum","BaseItemTypesKey","i32","Description","HASH16","AchievementItemsKeys"
0,714,111,"Essence Item",52571,[]
1,715,131,"Currency Item",52259,[]
2,716,151,"Unique Item",18701,[]
3,717,121,"Map Item",22038,[]
4,718,251,"Unique Map Item",6696,[]
5,719,301,"Rare Abyss Item",41772,[]
6,720,301,"Fragment Item",60390,[]
7,721,301,"Scarab Item",32186,[]
8,722,151,"Essence Item",23218,[]
9,723,301,"Fossil Item",19642,[]
10,724,221,"Expedition Item",40101,[]
11,725,151,"Stacked Decks",34745,[]
12,726,151,"Talisman Item",43064,[]
13,727,161,"Enchanted Helmet",19352,[]
14,728,1001,"6-Linked Armour Item",6078,[]
15,729,141,"Currency Item",14134,[]
16,730,1501,"League-specific Unique Item",4526,[]
17,731,501,"Shaper or Elder Armour Item",61377,[]
18,732,501,"Shaper or Elder Weapon Item",53204,[]
19,733,701,"Shaper or Elder Trinket Item",61894,[]
20,734,501,"Elder Map Item",39336,[]
21,735,351,"Breach Item",43164,[]
22,736,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,737,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,738,301,"Item",31223,[]
25,739,121,"Quality Gem",16288,[]
26,740,151,"Bestiary Item",28161,[]
27,741,221,"Blight Item",19373,[]
28,742,221,"Metamorph Item",62324,[]
29,743,431,"Delirium Item",23535,[]
30,744,111,"Essence Item",46750,[]
31,745,131,"Currency Item",54300,[]
32,746,151,"Unique Item",59184,[]
33,747,121,"Map Item",43361,[]
34,748,251,"Unique Map Item",37492,[]
35,749,301,"Rare Abyss Item",2531,[]
36,750,301,"Fragment Item",4173,[]
37,751,301,"Scarab Item",25303,[]
38,752,151,"Essence Item",31454,[]
39,753,301,"Fossil Item",51101,[]
40,754,221,"Expedition Item",41074,[]
41,755,151,"Stacked Decks",47490,[]
42,756,151,"Talisman Item",23793,[]
43,757,161,"Enchanted Helmet",42868,[]
44,758,1001,"6-Linked Armour Item",12755,[]
45,759,141,"Currency Item",30048,[]
46,760,1501,"League-specific Unique Item",32094,[]
47,761,501,"Shaper or Elder Armour Item",38195,[]
48,762,501,"Shaper or Elder Weapon Item",28068,[]
49,763,701,"Shaper or Elder Trinket Item",52048,[]
50,764,501,"Elder Map Item",56725,[]
51,765,351,"Breach Item",39939,[]
52,766,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,767,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,768,301,"Item",55071,[]
55,769,121,"Quality Gem",43471,[]
56,770,151,"Bestiary Item",58563,[]
57,771,221,"Blight Item",24651,[]
58,772,221,"Metamorph Item",65346,[]
59,773,431,"Delirium Item",12740,[]
