"rownum","Id","RecipeItems","[string]","rid","i32","rid","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool"
0,"Ritual",[686],"[""爀礀唀氀琀椀洀愀琀甀洀""]",236,0,"",0,"",0,0,3670016,0,16777216,0,939524096,0,0,""
1,"Breach",[645],"[""aryUltimatum""]","",0,"",0,"",0,0,7864320,0,16777216,0,2013265920,0,0,""
2,"Delirium",[681],"[""愀爀礀唀氀琀椀洀愀琀甀洀""]",122,0,"",0,"",0,0,12320768,0,16777216,0,-1140850688,0,0,""
3,"ReliquaryWorldDrop",[699],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,18087936,0,0,0,335544320,1,0,1
4,"ReliquaryBreach",[700],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,22413312,0,0,0,1442840576,1,0,1
5,"ReliquaryUltimatum",[701],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,27131904,0,0,0,-1644167168,1,0,1
6,"ReliquaryRitual",[702],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,31457280,0,0,0,-536870912,1,0,1
7,"ReliquaryDelirium",[703],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,36044800,0,0,0,637534208,2,0,1
8,"ReliquaryExpedition",[704],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,40894464,0,0,0,1879048192,2,0,1
9,"ReliquaryPinnacle",[705],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,45481984,0,0,0,-1241513984,2,0,1
10,"ReliquarySanctumBase",[706],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,50462720,0,0,0,33554432,3,0,1
11,"ReliquarySanctumRelic2",[707],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,55705600,0,0,0,1375731712,3,0,1
12,"ReliquarySanctumRelic3",[708],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,60948480,0,0,0,-1577058304,3,0,1
13,"ReliquarySanctumRelic4",[709],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,66191360,0,0,0,-234881024,3,0,1
14,"ReliquarySanctumRelic5",[710],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,71434240,0,0,0,1107296256,4,0,1
15,"ReliquarySanctumRelic6",[711],"[""ReliquaryWorldDrop""]","",0,"",0,1,0,0,76677120,0,0,0,-1845493760,4,0,1
