"rownum","rid","[string]"
0,13304,"[""spiritprimal""]"
1,13305,"[""spiritprimal""]"
2,13306,"[""spiritprimal""]"
3,13307,"[""spiritprimal""]"
4,13308,"[""spiritprimal""]"
5,13309,"[""spiritprimal""]"
6,13310,"[""spiritwild""]"
7,13311,"[""spiritwild""]"
8,13312,"[""spiritwild""]"
9,13313,"[""spiritwild""]"
10,13314,"[""spiritwild""]"
11,13315,"[""spiritwild""]"
12,13316,"[""spiritvivid""]"
13,13317,"[""spiritvivid""]"
14,13318,"[""spiritvivid""]"
15,13319,"[""spiritvivid""]"
16,13320,"[""spiritvivid""]"
17,13321,"[""spiritvivid""]"
18,13322,"[""spiritsacred""]"
19,13323,"[""spiritsacred""]"
20,13324,"[""spiritsacred""]"
21,13326,"[""spiritsacred""]"
22,13327,"[""spiritsacred""]"
23,13388,"[""spiritvivid""]"
