"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16121],[3],4,1224,1244,0,"of Organised Chaos",5867
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5867
2,"MemoryLineDomination1",8,37208,"[14826,16111]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5867
3,"MemoryLineDomination2",8,35260,"[15974,16942]","[4,300]",3,1227,1247,0,"of the Pantheon",12955
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5867
5,"MemoryLineEssence2",9,23679,"[15986,12899,12990,14829,12991]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",12956
6,"MemoryLineAmbush1",1,46590,"[16143,4965]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",12957
7,"MemoryLineAmbush2",1,33628,"[4907,4968]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5867
8,"MemoryLineBreach1",6,40744,"[16029,12611,15458]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",12958
9,"MemoryLineBreach2",6,36724,"[16105,13023,12872]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",12959
10,"MemoryLineTorment1",17,19174,[2712],[1],1,1234,1254,0,"of Self-Possession",5867
11,"MemoryLineTorment2",17,24671,[2712],[1],3,1235,1255,0,"of Tormented Souls",12960
12,"MemoryLineHarbinger1",18,24813,"[16131,16184]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",12961
13,"MemoryLineHarbinger2",18,29521,[16003],[1],4,1237,1257,0,"of Phaaryl",12962
14,"MemoryLineBestiary1",3,50665,[2272],[2],3,1238,1258,0,"of Harvest Beasts",12963
15,"MemoryLineBestiary2",3,46008,"[2272,13072]","[2,100]",4,1239,1259,0,"of the Menagerie",5867
16,"MemoryLineIncursion1",13,23896,"[1359,2296,13107]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",12964
17,"MemoryLineBetrayal1",4,60599,[2272],[6],1,1241,1261,0,"of Bounty Hunters",5867
18,"MemoryLineHarvest1",11,39024,"[16116,16118,16157]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",12965
19,"MemoryLineAbyss1",0,55290,[15454],[1],4,1243,1263,0,"of Chasms",12966
