"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid","i32","i32","[rid]","[rid]","rid","[rid]","[i32]","rid","rid","rid","i32","i32"
0,1783,[],"[13304,13292]","[13297,13296]",4,100,100,"",158,[],[],22054,2,0,"[13374,13301]",[],22365,"[1066,1068,0]","[1500,1500,1000]","",13305,567,100,15
1,1784,[],"[13306,13292]","[13297,13296]",4,100,100,"",158,[],[],22054,2,0,"[13375,13301]",[],22366,"[1069,1067,0]","[1500,1500,1000]","",13307,565,100,15
2,1785,[],"[13308,13292]","[13297,13296]",4,100,100,"",158,[],[],22054,2,0,"[13376,13301]",[],22367,"[1068,1069,0]","[1500,1500,1000]","",13309,566,100,15
3,1786,[],"[13310,13293]","[13298,13296]",4,100,100,"",158,[],[],22055,2,1,"[13377,13302]",[],22368,"[1068,1066,0]","[1500,1500,1000]","",13311,572,100,15
4,1787,[],"[13312,13293]","[13298,13296]",4,100,100,"",158,[],[],22055,2,1,"[13378,13302]",[],22369,"[1067,1069,0]","[1500,1500,1000]","",13313,571,100,15
5,1788,[],"[13314,13293]","[13298,13296]",4,100,100,"",158,[],[],22055,2,1,"[13379,13302]",[],22370,"[1074,1067,1065,0]","[0,1500,1500,1000]","",13315,573,100,15
6,1789,[],"[13316,13294]","[13299,13296]",4,100,100,"",158,[],[],22056,2,2,"[13380,13303]",[],22371,"[1066,1068,0]","[1500,1500,1000]","",13317,569,100,15
7,1790,[],"[13318,13294]","[13299,13296]",4,100,100,"",158,[],[],22056,2,2,"[13381,13303]",[],22372,"[1068,1065,0]","[1500,1500,1000]","",13319,570,100,15
8,1792,[],"[13320,13294]","[13299,13296]",4,100,100,"",158,[],[],22056,2,2,"[13382,13303]",[],22373,"[1070,1067,0]","[1500,1500,1000]","",13321,568,100,15
9,1793,[],"[13322,13295]","[13300,13296]",33,100,9,"",158,[13323],[13324],22057,1,3,"[13383,13300]",[5125],"",[],[],"",13325,574,100,100
10,1794,[],"[13326,13295]","[13300,13296]",66,100,9,"",158,[],[],22057,0,3,"[13384,13300]",[5124],"",[],[],"",13327,575,100,100
11,1791,[],"[13318,13294]",[13299],0,100,0,"",158,[],[],22056,2,2,"[13381,13303]",[],"",[],[],"",13388,"",0,0
