"rownum","rid","rid","i32","bool","bool","bool","bool","bool"
0,15580,29,1,"",1,"",1,""
1,15584,30,1,"",1,"",1,""
2,15585,30,1,"",1,"",1,""
3,16185,35,0,1,1,1,1,""
4,17031,38,0,1,"","","",""
5,17228,37,0,1,"","","",""
6,17301,39,0,"","","","",""
7,17789,48,0,1,"","","",""
8,17837,50,0,"",1,"",1,""
9,18872,83,2,"","","",1,""
10,19328,93,0,"","","","",""
11,19735,96,0,"",1,"",1,""
12,19747,97,1,"",1,"",1,""
13,20071,99,0,"","","","",""
14,20093,100,0,1,"",1,"",""
15,20253,87,0,"",1,"",1,""
16,20926,113,0,1,1,1,"",""
17,21011,114,0,1,1,1,"",""
18,20312,109,0,"","","","",""
19,21531,119,0,"","",1,1,""
