"rownum","BaseItemType","Scaling","Name"
0,1050,0.85,"Bazira"
1,1051,0.85,"Tsvet Matvei"
2,1052,0.85,"Bazira"
3,1053,0.85,"Count Geonor"
4,1054,0.85,"The Crimson Scribe"
5,1055,0.85,"The Midnight Tinkerer"
6,1056,0.85,"Aline Koltz"
7,1057,0.85,"Tsvet Matvei"
8,1058,0.85,"Administrator Qotra"
9,1059,0.85,"Count Geonor"
10,1060,0.85,"Nishem"
11,1061,0.85,"Aline Koltz"
12,1062,0.85,"Count Geonor"
13,1063,0.85,"Marcine Clavus"
14,1064,0.85,"Marcine Clavus"
15,1065,0.85,"Marcine Clavus"
16,1066,0.85,"Marcine Clavus"
17,1067,0.85,"Marcine Clavus"
18,1068,1.2,"Selwyn Eddard"
19,1069,1.2,"Kondor Larcius"
20,1070,1.2,"Grond Ironeye"
21,1071,1.2,"Bazira"
22,1072,1.2,"Bazira"
23,1073,1.2,"Kondor Larcius"
24,1074,1.2,"The Crimson Scribe"
25,1075,1.2,"Administrator Qotra"
26,1076,1.2,"Administrator Qotra"
27,1077,1.2,"The Crimson Scribe"
28,1078,1.2,"Remus Hestor"
29,1079,1.2,"Nishem"
30,1080,1.2,"The Crimson Scribe"
31,1081,1.2,"Anton Laffrey"
32,1082,1.5,"Tsvet Matvei"
33,1083,1.5,"Kondor Larcius"
34,1084,1.5,"The Midnight Tinkerer"
35,1085,1.5,"Bazira"
36,1086,1.5,"Kondor Larcius"
37,1087,1.5,"The Crimson Scribe"
38,1088,3,"Administrator Qotra"
39,1089,3,"Cardinal Uthelius"
40,1090,3,"Castor Pollinius III"
41,1091,0.3,""
42,1092,0.3,""
43,1093,0.3,""
44,1094,0.3,""
45,1095,0.3,""
46,1096,0.3,""
47,1097,0,"Karst"
48,1098,0,"Karst"
49,1099,0,"Karst"
50,1100,0,"Tibbs"
51,1101,0,"Tibbs"
52,1102,0,"Huck"
53,1103,0,"Huck"
54,1104,0,"Vinderi"
55,1105,0,"Vinderi"
56,1106,0,"Gianna"
57,1107,0,"Gianna"
58,1108,0,"Tullina"
59,1109,0,"Tullina"
60,1110,0,"Niles"
61,1111,0,"Niles"
62,1112,0,"Nenet"
63,1113,0,"Nenet"
64,1114,0,"Isla"
65,1115,0,"Isla"
66,1116,0,"Isla"
67,1117,0,"Adiyah"
68,1118,0,"Adiyah"
69,1119,0,"Adiyah"
70,1120,0,"Whakano"
71,1121,0,"Whakano"
72,1122,0,"Whakano"
73,1123,0,"Faustus"
74,1125,0,"Faustus"
75,1126,0,"Faustus"
76,1127,0,"Kurai"
77,1128,0,"Kurai"
78,1129,0,"Kurai"
79,1130,0,"Kurai"
