"rownum","rid","rid","[i32]","string","bool","[rid]"
0,0,0,[1457],"","",[]
1,1,0,[1458],"","",[]
2,2,0,[1456],"","",[]
3,7,0,[1483],"","",[]
4,3,0,[1459],"","",[]
5,8,0,[1460],"","",[]
6,9,0,[1461],"","",[]
7,10,0,[1480],"","",[]
8,12,0,[1479],"","",[]
9,13,0,[1481],"","",[]
10,14,0,[1462],"","",[]
11,15,0,[1463],"","",[]
12,16,0,[1464],"","",[]
13,17,0,[1465],"","",[]
14,18,0,[1466],"","",[]
15,19,0,[1467],"","",[]
16,20,0,[1468],"","",[]
17,21,0,[1469],"","",[]
18,22,0,[1470],"","",[]
19,23,0,[1471],"","",[]
20,24,0,[1472],"","",[]
21,25,0,[1473],"","",[]
22,26,0,[1474],"","",[]
23,27,0,[1475],"","",[]
24,28,0,[1476],"","",[]
25,29,0,[1477],"","",[]
26,30,0,[1478],"","",[]
27,31,0,[1482],"","",[]
28,7,1,[2540],"","",[]
29,23,1,[2546],"","",[]
30,1,1,[2547],"","",[]
31,28,1,[2548],"","",[]
32,3,1,[2549],"","",[]
33,31,1,[2550],"","",[]
34,2,1,[2551],"","",[]
35,0,1,[2552],"","",[]
36,9,1,[2553],"","",[]
37,7,2,[7242],"","",[]
38,28,2,[7251],"","",[]
39,31,2,[7255],"","",[]
40,0,2,[7258],"","",[]
41,1,2,[7250],"","",[]
42,3,2,[7252],"","",[]
43,2,2,[7256],"","",[]
44,9,2,[7254],"","",[]
45,7,3,[8077],"","",[]
46,1,3,[8083],"","",[]
47,28,3,[8084],"","",[]
48,3,3,[8085],"","",[]
49,31,3,[8087],"","",[]
50,2,3,[8088],"","",[]
51,0,3,[8089],"","",[]
52,9,3,[8086],"","",[]
53,7,4,[8429],"","",[]
54,0,4,[8441],"","",[]
55,1,4,[8435],"","",[]
56,3,4,[8437],"","",[]
57,2,4,[8440],"","",[]
58,10,4,[8438],"","",[]
59,28,4,[8436],"","",[]
60,31,4,[8439],"","",[]
61,7,5,[9135],"","",[]
62,1,5,[9138],"","",[]
63,3,5,[9140],"","",[]
64,8,5,[9141],"","",[]
65,9,5,[9146],"","",[]
66,31,5,[9142],"","",[]
67,27,5,[9139],"","",[]
68,2,5,[9144],"","",[]
69,0,5,[9145],"","",[]
70,32,5,[9143],"","",[]
71,33,5,[9143],"","",[]
72,36,6,[17677],"","",[]
73,36,7,[17964],"","",[]
74,36,8,[18180],"","",[]
75,37,6,[17689],"","",[]
76,37,7,[17973],"","",[]
77,37,8,[18191],"","",[]
78,39,6,[17699],"","",[]
79,38,6,[17701],"","",[]
80,38,7,[17981],"","",[]
81,38,8,[18199],"","",[]
82,40,6,[17713],"","",[]
83,3,6,[17715],"","",[]
84,3,7,[17990],"","",[]
85,3,8,[18211],"","",[]
86,8,6,[17732],"","",[]
87,8,7,[17998],"","",[]
88,8,8,[18222],"","",[]
89,9,6,[17732],"","",[]
90,9,7,[17998],"","",[]
91,9,8,[18222],"","",[]
92,41,6,[17755],"","",[]
93,41,7,[18014],"","",[]
94,41,8,[18235],"","",[]
95,43,6,[17772],"","",[]
96,43,7,[18022],"","",[]
97,43,8,[18245],"","",[]
98,42,6,[17784],"","",[]
99,42,7,[18034],"","",[]
100,42,8,[18255],"","",[]
101,10,6,[17797],"","",[]
102,10,7,[18046],"","",[]
103,10,8,[18268],"","",[]
104,28,6,[17812],"","",[]
105,28,7,[18055],"","",[]
106,28,8,[18279],"","",[]
107,27,6,[17812],"","",[]
108,27,7,[18056],"","",[]
109,27,8,[18281],"","",[]
110,31,6,[17812],"","",[]
111,31,7,[18056],"","",[]
112,31,8,[18281],"","",[]
113,2,6,[17823],"","",[]
114,2,7,[18064],"","",[]
115,2,8,[18291],"","",[]
116,44,6,[17839],"","",[]
117,44,7,[18075],"","",[]
118,44,8,[18304],"","",[]
119,45,7,[18084],"","",[]
120,46,6,[17859],"","",[]
121,46,7,[18086],"","",[]
122,46,8,[18319],"","",[]
123,47,8,[18329],"","",[]
124,48,8,[18336],"","",[]
125,49,6,[17870],"","",[]
126,49,7,[18097],"","",[]
127,49,8,[18338],"","",[]
128,50,6,[17880],"","",[]
129,50,7,[18108],"","",[]
130,50,8,[18343],"","",[]
131,51,6,[17885],"","",[]
132,51,7,[18116],"","",[]
133,51,8,[18351],"","",[]
134,52,6,[17901],"","",[]
135,52,7,[18124],"","",[]
136,52,8,[18359],"","",[]
137,55,6,[17908],"","",[]
138,55,7,[18134],"","",[]
139,55,8,[18366],"","",[]
140,66,6,[17919],"","",[]
141,67,6,[],"","",[17928]
142,67,7,[],"","",[18145]
143,67,8,[],"","",[18379]
144,68,6,[],"","",[17936]
145,68,7,[],"","",[18155]
146,68,8,[],"","",[18389]
147,6,6,[17889],"","",[17947]
148,6,7,[18163],"","",[18163]
149,6,8,[18402],"","",[18402]
150,69,6,[],"","",[17957]
151,69,7,[],"","",[18170]
152,69,8,[],"","",[18414]
153,35,6,[18427],"WinAnimation","",[]
154,35,7,[18449],"WinAnimation","",[]
155,35,8,[18467],"WinAnimation","",[]
156,71,6,[17889],"","",[17947]
157,71,7,[18163],"","",[18163]
158,71,8,[18402],"","",[18402]
159,0,6,[17677],"","",[17677]
160,0,7,[17964],"","",[17964]
161,0,8,[18180],"","",[18180]
