"rownum","MonsterVarietiesKey","rid","rid","rid","rid","rid","rid","rid","rid","[i32]","rid","rid","rid","rid","rid"
0,1765,"","","","","","","","",[1],9,"","","",""
1,1766,"","","","","","","","",[1],9,"","","",""
2,1767,"","","","","","","","",[2],12,"","","",""
3,1768,"","","","","","","","",[2],12,"","","",""
4,1771,"","","","","","","","",[3],10,"","","",""
5,1772,"","","","","","","","",[3],10,"","","",""
6,1773,"","","","","","","","",[3],11,"","","",""
7,1774,"","","","","","","","",[3],11,"","","",""
8,1776,"","","","","","","","","[1,2]",17,"","","",""
9,1777,"","","","","","","","","[1,2]",17,"","","",""
10,1780,"","","","","","","","","[2,3]",19,"","","",""
11,1781,"","","","","","","","","[2,3]",19,"","","",""
