"rownum","BuffDefinitions","[i32]","StatsKeys","i32","i32","i32","[i32]","[rid]","[i32]","bool"
0,796,[],"[466,435]",0,0,0,[],[],[],""
1,815,[],[],0,1,0,[],[],[],""
2,842,[],[338],25,2,0,[],[],"[1,2,3]",""
3,844,"[1,1]",[466],0,3,0,[],[],[],""
4,846,[],"[167,166,5916,1114]",0,4,0,[],[],[],""
5,848,[],"[24,466,70,171]",0,5,0,[],[],[],""
6,1020,[],"[24,70,210,171,466]",0,6,0,[],[],[],""
7,841,[],"[6042,6043,6044]",0,7,0,[],[],[],""
8,1080,[1],[],30,8,0,[],[],[3],""
9,1191,[],[],0,9,0,[],[],[],""
10,1238,[],"[171,70]",0,10,0,[],[],[],""
11,1315,[],[24],0,11,0,[],[],[],""
12,1326,[],"[728,24]",0,12,0,[],[],[],""
13,1362,[],[134],0,17,0,[],[],[],""
14,1366,[],[1943],200,18,100,[],[],"[3,10]",""
15,1366,[],[1943],200,19,85,[],[],"[3,10]",""
16,1366,[],[1943],200,20,70,[],[],"[3,10]",""
17,1366,[],[1943],200,21,55,[],[],"[3,10]",""
18,1366,[],[1943],200,22,35,[],[],"[3,10]",""
19,1338,[],"[5673,5674,5676,5677,338]",74,23,0,[],[],"[3,10,11]",""
20,1339,[],"[5673,5674,5676,5677,338]",55,24,0,[],[],"[3,10,11]",""
21,1377,[],"[5673,5674,5676,5677,338]",74,25,0,[],[],"[3,10,18]",""
22,1378,[],"[5673,5674,5676,5677,338]",55,26,0,[],[],"[3,10,18]",""
23,849,[],"[24,466,70,171,3305]",0,28,0,[],[],[],""
24,845,"[1,1,1]",[466],0,29,0,[],[],[],""
25,847,[],"[167,166,5916,1114,9991]",0,30,0,[],[],[],""
26,843,[],[338],35,31,0,[],[],"[1,2]",""
27,850,[],"[584,648]",0,32,0,[],[],[],""
28,1566,[],[1942],23,33,0,[],[],"[3,5,10]",""
29,1566,[],[1942],11,34,0,[],[],"[3,5,10]",""
30,1624,[],"[466,145,147]",16,35,0,[],[],"[3,11]",""
31,1627,[],[338],0,36,0,[],[],[],""
32,1644,[-8],[1946],120,37,0,[],[],"[3,10,11]",""
33,1648,[],[466],28,38,0,[],[],"[2,10,14]",""
34,1626,[],[338],120,39,0,[],[],"[1,2,3,10]",""
35,1655,[],"[133,132]",0,40,0,[],[],[],""
36,1566,[],[1942],23,41,0,[],[],"[3,4,10]",""
37,1566,[],[1942],11,42,0,[],[],"[3,4,10]",""
38,1687,[],[2521],14,43,0,[],[],[3],""
39,1688,[],[2521],14,44,0,[400],[],[3],""
40,1714,[],[],0,45,0,[],[],[],""
41,1787,[],[1940],150,46,55,[],[],"[3,10]",""
42,1891,[],"[3243,1944]",38,47,28,[],[],[3],""
43,1912,[],"[70,210,208,14788]",0,48,0,[],[],[],""
44,1339,[],"[5673,5674,5676,5677,338]",48,49,0,[],[],"[3,10,11]",""
45,2028,[],[1946],15,50,0,[],[],"[3,10]",""
46,440,[1],[],0,51,0,[],[],[],""
47,1724,[10],[],0,1000,0,"[1,50]",[],[],""
48,2005,"[20,10]",[],0,1001,0,[],[],"[1,2,3]",""
49,2273,"[-20,30]",[],0,1003,0,[],[],[],""
50,2284,[],[22492],0,1004,0,[],[],[],""
51,2286,[0],"[18526,19539]",0,1005,0,[],[18986],[],""
52,499,[],[],25,1006,0,[],[],[3],""
53,2134,[],[],30,1007,0,[],[],"[24,14]",""
54,2135,[6000],[],30,1008,0,[],[],"[14,8]",""
55,2133,[],[346],30,1009,0,[],[],[3],""
56,2135,[180],[],30,1010,0,[],[],"[14,2]",""
57,111,[50],[],42,1011,0,[],[],[3],""
58,103,[40],[],50,1012,0,[],[],"[1,2]",""
59,105,"[25,25]",[],50,1013,0,[],[],"[1,2]",""
60,108,[30],[],25,1014,0,[],[],"[1,2]",""
61,107,[35],[],50,1015,0,[],[],"[1,2]",""
62,1892,"[25,40,-60]",[],32,1016,0,[],[],[3],""
63,1408,[],[],30,1017,0,"[6,-30]",[],[3],""
64,1890,[-3],[],36,1018,0,[],[],"[3,5]",""
65,111,[50],[],42,1019,0,[],[],[3],""
66,103,[40],[],50,1020,0,[],[],"[1,2]",""
67,105,"[25,25]",[],50,1021,0,[],[],"[1,2]",""
68,108,[30],[],25,1022,0,[],[],"[1,2]",""
69,107,[35],[],50,1023,0,[],[],"[1,2]",""
70,1892,"[25,40,-60]",[],32,1024,0,[],[],[3],""
71,1408,[],[],30,1025,0,"[6,-30]",[],[3],""
72,1890,[-3],[],36,1026,0,[],[],"[3,5]",""
73,1891,[],"[3243,1944]",38,1027,28,[],[],[3],""
74,105,"[12,12]",[],50,1028,0,[],[],"[1,2]",""
75,108,[10],[],50,1029,0,[],[],"[1,2]",""
76,1892,"[10,40,-20]",[],32,1030,0,[],[],[3],""
