"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,142,"Attributes - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,""
1,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,""
2,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,""
3,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,""
4,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,""
5,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,""
6,196,"Attack and Spell Block - Rank 1",[4],"",1,""
7,193,"Flask Duration - Rank 2",[11],"",2,""
8,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,""
9,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,""
10,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,""
11,197,"Attack and Spell Block - Rank 2",[4],"",2,""
12,253,"Global Energy Shield - Rank 2","[10,9]","",2,""
13,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,""
14,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,""
15,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,""
16,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,""
17,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,""
18,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,""
19,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,""
20,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,""
21,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,""
22,189,"Defences - Rank 3","[6,8,7,5,4]","",3,""
23,252,"Global Energy Shield - Rank 1","[10,9]","",1,""
24,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,""
25,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,""
26,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,""
27,153,"Life - Rank 5",[6],"",5,""
28,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,""
29,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,""
30,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,""
31,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,""
32,226,"Reduced Damage over Time","[4,11]","",0,""
33,227,"Animated Guardian and Light Radius",[6],"",0,""
34,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,""
35,254,"Criticals - Rank 3","[0,1,2,3]","",3,""
36,255,"Minions - Rank 3","[0,1,2,3]","",3,""
37,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,""
38,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,""
39,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,""
40,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,""
41,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,""
