"rownum","rid","[rid]"
0,2345,"[13904,13907,13910,13912,13914]"
1,2346,"[13917,13920,13923,13925,13927]"
2,2347,"[13930,13933,13936,13938,13940]"
3,2348,"[13943,13946,13949,13951,13953]"
4,2349,"[13956,13959,13962,13964,13966]"
5,2350,"[13969,13972,13975,13977,13979]"
6,2351,"[13982,13985,13988,13990,13992]"
7,2352,"[13995,13998,14001,14003,14005]"
8,2353,"[14008,14011,14014,14016,14018]"
9,2354,"[14021,14024,14027,14029,14031]"
10,2355,"[14034,14037,14040,14042,14044]"
11,2356,[14047]
12,2357,[14060]
13,2358,"[14073,14076,14079,14081,14083]"
14,2359,"[14086,14089,14092,14094,14096]"
15,2360,"[14099,14102,14107,14109,14111]"
16,2361,[14114]
17,2362,"[14130,14133,14136,14138,14140]"
18,2363,"[14145,14148,14151,14153,14155]"
19,2364,"[14160,14163,14166,14168,14170]"
20,2365,"[14175,14177,14179,14181,14183]"
21,2366,"[14190,14192,14194,14196,14198]"
22,2367,"[14203,14205,14207,14209,14211]"
23,2368,"[14216,14218,14220,14222,14224]"
24,2369,"[14227,14229,14231,14233,14235]"
25,2370,"[14238,14240,14242,14244,14246]"
26,2371,"[14249,14251,14253,14254,14255]"
27,2372,"[14257,14259,14261,14262,14263]"
28,2373,"[14265,14267,14269,14270,14271]"
29,2374,"[14273,14275,14277,14278,14279]"
30,2375,"[14281,14283,14285,14286,14287]"
31,2376,"[14289,14291,14293,14294,14295]"
32,2377,"[14297,14298,14299,14300,14301]"
33,2378,"[14303,14304,14305,14306,14307]"
34,2379,"[14309,14310,14311,14312,14313]"
35,2380,"[14315,14317,14319,14320,14321]"
36,2381,"[14323,14325,14327,14328,14329]"
37,2382,"[14331,14333,14335,14336,14337]"
38,2383,"[14339,14340,14341,14342,14343]"
39,2384,"[14345,14346,14347,14348,14349]"
40,2385,"[14351,14352,14353,14354,14355]"
41,2386,"[14357,14360,14363,14365,14367]"
42,2387,"[14370,14372,14374,14376,14378]"
43,2388,"[14381,14383,14385,14387,14389]"
44,2389,"[14392,14395,14398,14400,14402]"
45,2390,"[14405,14408,14411,14413,14415]"
46,2391,[14418]
47,2392,[14440]
48,2393,[14450]
49,2394,[14461]
