"rownum","Id","AOFile"
0,"Red","Metadata/Effects/misc/item_filter/redItemFilter.ao"
1,"Green","Metadata/Effects/misc/item_filter/greenItemFilter.ao"
2,"Blue","Metadata/Effects/misc/item_filter/blueItemFilter.ao"
3,"White","Metadata/Effects/misc/item_filter/WhiteFilter.ao"
4,"Brown","Metadata/Effects/misc/item_filter/BrownFilter.ao"
5,"Yellow","Metadata/Effects/misc/item_filter/yellowFilter.ao"
6,"Cyan","Metadata/Effects/misc/item_filter/CyanFilter.ao"
7,"Grey","Metadata/Effects/misc/item_filter/DarkGreyFilter.ao"
8,"Orange","Metadata/Effects/misc/item_filter/OrangeFilter.ao"
9,"Pink","Metadata/Effects/misc/item_filter/PinkFilter.ao"
10,"Purple","Metadata/Effects/misc/item_filter/PurpleFilter.ao"
