"rownum","rid","rid","rid","bool","[rid]"
0,658,2217,2218,"",[18185]
1,659,2219,2220,"",[18186]
2,660,2221,2222,"",[18187]
3,661,2223,2224,"",[18188]
4,662,2225,2226,"",[18189]
5,663,2227,2228,"",[18190]
6,664,2229,2230,"",[18191]
7,665,2231,2232,"",[18192]
8,667,2237,2238,1,[18286]
9,668,2240,2241,"",[18300]
10,669,2243,2244,"",[]
11,670,2245,2246,"","[18306,18307]"
12,789,2365,2366,1,[19063]
13,847,2477,2478,"","[20113,20114,20115]"
14,864,2525,2526,"",[20325]
15,877,2541,2542,"",[20477]
16,904,2642,2643,"",[21553]
17,912,2680,"","",[]
18,913,2678,2679,"",[21904]
19,914,2681,2682,"",[21909]
