"rownum","rid","[rid]","[i32]"
0,3893,[19942],[300]
1,3455,[18672],[-50]
2,3456,[19034],[50]
3,2885,[119],[750]
4,3282,[3281],[1]
5,3384,[1007],[1]
6,3393,[19166],[50]
7,3470,[408],[-25]
8,3471,[19565],[5]
9,2751,[171],[-20]
10,3309,[4693],[1]
11,2396,[118],[100]
12,3263,[19762],[1]
13,2420,[118],[30]
14,2872,[119],[900]
15,2886,[119],[240]
16,3261,[3508],[1]
17,3298,[19551],[2]
18,3299,[18908],[10]
19,3317,[9230],[100]
20,3318,[804],[10]
21,3380,[16857],[1]
22,3385,"[11260,11261,19371,11262,12301]","[10,30,10,1,1]"
23,3449,[9443],[100]
24,3508,[9595],[60]
25,3130,[201],[40]
26,3149,[132],[50]
27,3246,[14863],[40]
28,3257,[8932],[10]
29,3324,[5146],[25]
30,3387,[133],[-30]
31,3394,[3828],[1]
32,3395,[18412],[50]
33,3398,[9436],[25]
34,3448,[19364],[500]
35,3522,[19740],[1]
36,2874,[119],[750]
37,3278,[18789],[50]
38,3313,[19441],[25]
39,3486,[11239],[1]
40,3487,[11238],[1]
41,3676,[1306],[-1]
42,2452,[118],[-25]
43,3137,[14121],[-50]
44,3414,[1248],[25]
45,3492,[19765],[1]
46,3136,[14121],[-50]
47,3316,[18909],[20]
48,3325,[4487],[-20]
49,3326,[4488],[100]
50,3386,[133],[40]
51,3391,[7205],[1]
52,3454,[19686],[1]
53,3463,[181],[20]
54,3464,[3781],[1]
55,3465,[3782],[1]
56,2287,[140],[62]
57,2334,[135],[30]
58,2337,[135],[-10]
59,2450,[118],[50]
60,2749,[171],[-10]
61,2876,[119],[180]
62,2878,[119],[750]
63,2884,[119],[270]
64,2933,[99],[10]
65,2945,[101],[10]
66,3140,[1039],[15]
67,3315,[17030],[20]
68,3353,[423],[15]
69,3360,[3462],[-42]
70,3361,[2546],[-42]
71,3362,[3463],[-42]
72,3401,[1992],[1]
73,3402,[9396],[1]
74,3411,[1745],[1]
75,3425,[19540],[1]
76,3426,[19602],[1]
77,3427,[19603],[1]
78,3443,[2041],[1]
79,3444,[2042],[1]
80,3445,[2043],[1]
81,3451,[19621],[100]
82,3459,[19684],[100]
83,3460,[19724],[1]
84,3527,[3368],[25]
85,3528,[10383],[52]
86,3537,[20300],[1]
87,3538,[20037],[3]
88,3540,[19184],[1]
89,3546,[4456],[12]
90,3547,[15411],[10]
91,3868,[451],[1]
92,3878,[793],[1]
93,3883,[2277],[1]
94,2883,[119],[480]
95,2934,[99],[8]
96,2946,[101],[5]
97,2957,[70],[5]
98,2958,[70],[6]
99,2959,[70],[5]
100,2963,[70],[-5]
101,2964,[70],[7]
102,2995,[210],[-10]
103,2996,[210],[9]
104,3186,[18417],[45]
105,3194,[17893],[25]
106,3197,[25],[15]
107,3262,[18772],[1]
108,3311,[19817],[1]
109,3329,[2053],[6000]
110,3330,[2054],[6000]
111,3331,[2055],[6000]
112,3332,[2056],[6000]
113,3333,[1799],[1]
114,3335,[20268],[12]
115,3340,[19619],[1]
116,3341,[9226],[800]
117,3342,[19620],[1]
118,3343,[5710],[1]
119,3348,[3435],[25]
120,3372,[2111],[1]
121,3373,[3266],[25]
122,3374,[3266],[25]
123,3376,[19066],[1]
124,3379,[19742],[1]
125,3869,[18016],[100]
126,3874,[19372],[33]
127,3875,[19373],[33]
128,3876,[19374],[33]
129,3882,[19202],[1]
130,2428,[117],[50]
131,2744,[171],[10]
132,2745,[171],[15]
133,2746,[171],[15]
134,2747,[171],[10]
135,2748,[171],[15]
136,2750,[171],[10]
137,2752,[171],[10]
138,2753,[171],[20]
139,2754,[171],[20]
140,2757,[171],[15]
141,2760,[171],[12]
142,2762,[171],[15]
143,2767,[171],[10]
144,2879,[119],[1350]
145,3132,[199],[40]
146,3133,[198],[40]
147,3134,[200],[40]
148,3148,[132],[-5]
149,3240,[18661],[1]
150,3258,[20724],[1]
151,3259,[11265],[1]
152,3345,[1082],[10]
153,3364,[19729],[1]
154,3365,[19710],[30]
155,3367,[174],[1]
156,3368,[175],[1]
157,3370,[172],[5]
158,3371,[3370],[12]
159,3388,[133],[100]
160,3417,[19446],[90]
161,3418,[19442],[25]
162,3428,[18926],[1]
163,3461,[19723],[40]
164,3473,[19741],[1]
165,3507,[19795],[1]
166,3520,[215],[200]
167,3673,[844],[15]
168,3879,[704],[1]
169,2253,[138],[22]
170,2766,[171],[-10]
171,2882,[119],[240]
172,3142,[947],[5]
173,3284,[19589],[200]
174,3285,[6577],[1]
175,3410,[21495],[8000]
176,3424,[19595],[1]
177,3430,[19678],[1]
178,3431,[19677],[1]
179,3439,[19625],[1]
180,3440,[19626],[1]
181,3474,[439],[180]
182,3475,[772],[180]
183,3476,[1243],[25]
184,3504,[2794],[4]
185,3541,[209],[40]
186,3542,[3239],[40]
187,3753,[2357],[50]
188,3271,[14599],[20]
189,2961,[70],[7]
190,3184,[18228],[50]
191,3511,[18122],[7]
192,3512,[18888],[7]
193,3519,[17769],[1]
194,2224,[592],[75]
195,2344,[135],[-30]
196,2449,[118],[-5]
197,2451,[118],[-20]
198,2454,[118],[8]
199,2761,[171],[-10]
200,2989,[18220],[15]
201,3005,[18221],[15]
202,3033,[543],[150]
203,3034,[543],[25]
204,3051,[18223],[40]
205,3059,[18224],[40]
206,3214,[18627],[-50]
207,3264,[2538],[25]
208,3266,[480],[4]
209,3308,[24],[10]
210,3336,[20268],[-10]
211,3338,[20268],[22]
212,3404,[19257],[100]
213,3539,[20036],[2]
214,3552,[1606],[1]
215,3581,[4777],[100]
216,3582,[18140],[10]
217,3583,[19347],[50]
218,3585,[1193],[1]
219,3587,[19068],[100]
220,3595,[15774],[1]
221,3596,[17031],[12]
222,3597,[19047],[1]
223,3745,[21715],[1]
224,2453,[118],[-20]
225,2877,[119],[750]
226,2880,[119],[273]
227,2927,[3018],[500]
228,2944,[101],[5]
229,2998,[210],[12]
230,3188,[18417],[25]
231,3190,[18229],[15]
232,3224,[153],[12]
233,3274,[739],[1]
234,3300,[196],[-50]
235,3301,[9614],[50]
236,3303,"[12588,12726]","[1,1]"
237,3314,[19406],[1]
238,3337,[20268],[7]
239,3396,[18412],[12]
240,3403,[2038],[1]
241,3412,[7752],[25]
242,3513,[18109],[35]
243,3517,[1400],[4000]
244,3535,[1993],[-30]
245,3551,[5076],[1]
246,3609,[8181],[1]
247,3610,[8179],[1]
248,3611,[8189],[1]
249,3671,[7394],[1]
250,3672,[7698],[-1]
251,3871,[1475],[100]
252,3872,[18015],[100]
253,3877,[19796],[100]
254,2240,[138],[40]
255,2520,[127],[50]
256,2873,[119],[570]
257,3141,[947],[4]
258,3276,[17022],[75]
259,3283,[1886],[1]
260,3399,[16860],[1]
261,3405,[5491],[-5]
262,3406,[5492],[15]
263,3548,[4888],[300]
264,3549,[20296],[1]
265,3420,[19597],[1]
266,3421,[19582],[40]
267,3422,[19585],[1]
268,3320,[18782],[1]
